journal	date	n
Life	2021-07-01	337
Front Cell Dev Biol	2021-07-01	930
Sci Adv	2021-07-01	524
PeerJ	2021-07-01	578
BMJ Open	2021-07-01	936
IJMS	2021-07-01	3460
Heliyon	2021-07-01	835
Front Neurosci	2021-07-01	442
PLoS One	2021-07-01	4393
Cells	2021-07-01	872
Sci Rep	2021-07-01	6268
Elife	2021-07-01	519
Nat Commun	2021-07-01	2039
Life	2021-10-01	393
Front Cell Dev Biol	2021-10-01	1043
Sci Adv	2021-10-01	451
PeerJ	2021-10-01	544
BMJ Open	2021-10-01	1269
IJMS	2021-10-01	3535
Heliyon	2021-10-01	657
Front Neurosci	2021-10-01	491
PLoS One	2021-10-01	4139
Cells	2021-10-01	972
Sci Rep	2021-10-01	5902
Elife	2021-10-01	575
Nat Commun	2021-10-01	1704
Life	2022-01-01	459
Front Cell Dev Biol	2022-01-01	927
Sci Adv	2022-01-01	486
PeerJ	2022-01-01	453
BMJ Open	2022-01-01	1210
IJMS	2022-01-01	3483
Heliyon	2022-01-01	591
Front Neurosci	2022-01-01	488
PLoS One	2022-01-01	3657
Cells	2022-01-01	1112
Sci Rep	2022-01-01	4920
Elife	2022-01-01	503
Nat Commun	2022-01-01	1577
Life	2022-04-01	467
Front Cell Dev Biol	2022-04-01	968
Sci Adv	2022-04-01	561
PeerJ	2022-04-01	485
BMJ Open	2022-04-01	1291
IJMS	2022-04-01	3457
Heliyon	2022-04-01	529
Front Neurosci	2022-04-01	532
PLoS One	2022-04-01	3867
Cells	2022-04-01	1057
Sci Rep	2022-04-01	5551
Elife	2022-04-01	557
Nat Commun	2022-04-01	1789
Life	2022-07-01	462
Front Cell Dev Biol	2022-07-01	687
Sci Adv	2022-07-01	536
PeerJ	2022-07-01	457
BMJ Open	2022-07-01	1468
IJMS	2022-07-01	3424
Heliyon	2022-07-01	605
Front Neurosci	2022-07-01	645
PLoS One	2022-07-01	3783
Cells	2022-07-01	901
Sci Rep	2022-07-01	5639
Elife	2022-07-01	472
Nat Commun	2022-07-01	2008
Life	2022-10-01	548
Front Cell Dev Biol	2022-10-01	644
Sci Adv	2022-10-01	534
PeerJ	2022-10-01	455
BMJ Open	2022-10-01	1261
IJMS	2022-10-01	4294
Heliyon	2022-10-01	1003
Front Neurosci	2022-10-01	642
PLoS One	2022-10-01	4394
Cells	2022-10-01	1007
Sci Rep	2022-10-01	5286
Elife	2022-10-01	500
Nat Commun	2022-10-01	1962
Life	2023-01-01	737
Front Cell Dev Biol	2023-01-01	460
Sci Adv	2023-01-01	573
PeerJ	2023-01-01	457
BMJ Open	2023-01-01	1135
IJMS	2023-01-01	5336
Heliyon	2023-01-01	1865
Front Neurosci	2023-01-01	553
PLoS One	2023-01-01	4023
Cells	2023-01-01	1216
Sci Rep	2023-01-01	6177
Elife	2023-01-01	516
Nat Commun	2023-01-01	2218
Life	2023-04-01	806
Front Cell Dev Biol	2023-04-01	421
Sci Adv	2023-04-01	539
PeerJ	2023-04-01	553
BMJ Open	2023-04-01	936
IJMS	2023-04-01	5854
Heliyon	2023-04-01	2365
Front Neurosci	2023-04-01	645
PLoS One	2023-04-01	3915
Cells	2023-04-01	889
Sci Rep	2023-04-01	5364
Elife	2023-04-01	485
Nat Commun	2023-04-01	1824
Life	2023-07-01	568
Front Cell Dev Biol	2023-07-01	383
Sci Adv	2023-07-01	548
PeerJ	2023-07-01	464
BMJ Open	2023-07-01	1049
IJMS	2023-07-01	4368
Heliyon	2023-07-01	2678
Front Neurosci	2023-07-01	637
PLoS One	2023-07-01	3595
Cells	2023-07-01	693
Sci Rep	2023-07-01	5321
Elife	2023-07-01	432
Nat Commun	2023-07-01	2057
Life	2023-10-01	505
Front Cell Dev Biol	2023-10-01	281
Sci Adv	2023-10-01	543
PeerJ	2023-10-01	519
BMJ Open	2023-10-01	979
IJMS	2023-10-01	3822
Heliyon	2023-10-01	2777
Front Neurosci	2023-10-01	530
PLoS One	2023-10-01	3481
Cells	2023-10-01	630
Sci Rep	2023-10-01	5806
Elife	2023-10-01	348
Nat Commun	2023-10-01	2226
Life	2024-01-01	431
Front Cell Dev Biol	2024-01-01	287
Sci Adv	2024-01-01	484
PeerJ	2024-01-01	557
BMJ Open	2024-01-01	1060
IJMS	2024-01-01	3395
Heliyon	2024-01-01	3418
Front Neurosci	2024-01-01	396
PLoS One	2024-01-01	3978
Cells	2024-01-01	559
Sci Rep	2024-01-01	6615
Elife	2024-01-01	352
Nat Commun	2024-01-01	2420
Life	2024-04-01	390
Front Cell Dev Biol	2024-04-01	257
Sci Adv	2024-04-01	535
PeerJ	2024-04-01	498
BMJ Open	2024-04-01	1075
IJMS	2024-04-01	3360
Heliyon	2024-04-01	4923
Front Neurosci	2024-04-01	408
PLoS One	2024-04-01	3983
Cells	2024-04-01	520
Sci Rep	2024-04-01	7682
Elife	2024-04-01	401
Nat Commun	2024-04-01	2819
Life	2024-07-01	377
Front Cell Dev Biol	2024-07-01	191
Sci Adv	2024-07-01	560
PeerJ	2024-07-01	454
