journal	date	pmc_id	Nchars	Nwords	delve	analyse	acknowledge	assess	appraise	dissect	explore	examine	extricate	expose	estimate	investigate	inquire	inspect	interpret	scrutinise	study	unearth	uncover	understand	ponder	research	reason	retrieve	avoid	discount	disregard	dismiss	ignore	neglect	overlook	omit	skip	reject
BMJ Open	2022-01-01	8499270	71205	6248	0	4	1	2	0	0	3	4	0	0	7	2	0	0	0	0	38	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
BMJ Open	2022-01-01	8499280	75413	6723	0	1	0	0	0	0	4	0	0	0	3	2	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BMJ Open	2022-01-01	8493896	42644	3560	0	3	1	0	0	0	2	4	0	0	1	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BMJ Open	2022-01-01	8493906	103479	8928	0	8	1	1	0	0	0	0	0	0	9	1	0	0	1	0	47	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0
BMJ Open	2022-01-01	8493900	57990	5778	0	3	0	2	0	0	0	3	0	0	0	6	0	1	0	0	67	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
BMJ Open	2022-01-01	8496378	97277	8249	0	13	1	2	0	0	0	4	0	0	13	3	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
BMJ Open	2022-01-01	8491005	139098	12736	0	6	0	4	0	0	3	0	0	0	14	1	0	0	1	0	36	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1
BMJ Open	2022-01-01	8491001	80445	8257	0	2	1	0	0	0	1	0	0	1	0	0	0	0	0	0	15	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BMJ Open	2022-01-01	8507407	105795	10001	0	0	1	6	0	0	1	0	0	0	3	4	0	0	0	0	44	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0
BMJ Open	2022-01-01	8499251	49085	4540	0	6	0	4	0	0	0	0	0	3	15	2	0	0	1	0	50	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
BMJ Open	2022-01-01	8493602	86832	7756	0	17	0	1	0	0	0	1	0	0	70	0	0	0	2	0	33	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0
BMJ Open	2022-01-01	8496401	74898	6774	0	1	2	1	0	0	1	0	0	0	2	5	0	0	0	0	60	0	0	0	0	0	5	1	0	0	0	0	0	0	1	0	0	0
BMJ Open	2022-01-01	8491292	84665	7030	0	9	0	2	0	0	3	6	0	1	7	0	0	0	0	0	52	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
BMJ Open	2022-01-01	8496397	93188	8205	0	3	0	3	0	0	0	1	0	0	3	1	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BMJ Open	2022-01-01	8499254	104751	9876	0	2	0	2	0	0	5	2	0	0	0	0	0	0	0	0	28	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0
BMJ Open	2022-01-01	8499338	93855	8735	0	10	0	2	0	0	1	4	0	1	3	0	1	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BMJ Open	2022-01-01	8491288	62371	5508	0	17	0	0	0	0	3	2	0	0	4	4	0	0	0	0	48	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BMJ Open	2022-01-01	8491289	86802	8885	0	2	1	0	0	0	2	1	0	0	0	3	0	0	0	0	35	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BMJ Open	2022-01-01	8499281	86915	7530	0	5	0	2	0	0	0	0	0	6	7	0	0	0	0	0	20	0	0	1	0	0	2	0	1	1	0	0	1	0	0	0	0	0
BMJ Open	2022-01-01	8493894	78963	7917	0	1	0	0	0	0	8	1	0	0	2	1	3	0	1	0	48	0	0	2	0	0	2	0	0	1	0	0	0	0	0	0	0	0
BMJ Open	2022-01-01	8504346	93674	8051	0	14	0	2	0	0	3	0	0	2	2	3	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BMJ Open	2022-01-01	8491422	86770	7062	0	5	1	0	0	0	1	2	0	0	10	3	0	0	0	0	48	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0
BMJ Open	2022-01-01	8496391	89516	7906	0	5	0	1	0	0	1	0	0	0	1	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BMJ Open	2022-01-01	8493926	48401	4179	0	5	0	3	0	0	0	1	0	0	1	0	0	0	0	0	46	0	0	2	0	0	1	3	0	2	0	0	0	0	0	0	0	0
BMJ Open	2022-01-01	8493915	130600	10020	0	4	0	14	0	0	2	1	0	0	6	1	0	0	0	0	85	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
BMJ Open	2022-01-01	8522658	99963	9114	0	15	0	10	0	0	1	1	0	0	2	14	0	0	0	0	74	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0
BMJ Open	2022-01-01	8506875	145272	12615	0	6	0	1	0	0	0	6	0	0	3	2	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BMJ Open	2022-01-01	8515464	82935	7542	0	3	0	1	0	0	0	0	0	0	12	0	0	0	1	0	38	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0
BMJ Open	2022-01-01	8506868	104699	9739	0	8	3	1	0	0	8	0	0	0	7	0	0	0	0	0	42	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
BMJ Open	2022-01-01	8506871	96549	9187	0	5	1	2	0	0	2	2	0	1	0	0	0	0	0	1	46	0	0	5	0	1	2	0	0	0	0	0	0	1	1	0	0	0
BMJ Open	2022-01-01	8522661	80977	8458	0	7	1	0	0	0	1	0	0	0	0	0	0	0	1	0	11	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0
BMJ Open	2022-01-01	8506890	86296	7401	0	7	0	4	0	0	0	0	0	0	2	0	0	0	1	0	68	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
BMJ Open	2022-01-01	8522665	173353	14981	0	5	0	2	0	0	1	1	0	0	12	2	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BMJ Open	2022-01-01	8520586	130654	9378	0	5	1	3	0	0	17	0	0	0	0	0	0	0	1	1	52	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BMJ Open	2022-01-01	8513273	106447	9248	0	9	0	2	0	0	0	0	0	0	3	5	1	0	0	0	36	0	0	2	0	0	2	0	0	0	0	0	0	0	0	1	0	0
BMJ Open	2022-01-01	8513337	71351	6633	0	8	0	21	0	0	0	0	0	0	2	2	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BMJ Open	2022-01-01	8559105	112122	10331	0	2	0	1	0	0	0	0	0	0	2	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BMJ Open	2022-01-01	8506858	109434	10827	0	39	4	3	0	0	3	3	0	0	6	4	0	0	0	0	33	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BMJ Open	2022-01-01	8506852	85035	7785	0	13	1	2	0	0	3	4	0	0	7	1	0	0	0	0	50	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
BMJ Open	2022-01-01	8520587	51774	5044	0	9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BMJ Open	2022-01-01	8513272	84014	7251	0	7	0	1	0	0	0	1	0	0	0	1	0	0	0	0	38	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
BMJ Open	2022-01-01	8506891	165206	12773	0	2	0	2	0	0	15	4	0	0	0	11	0	0	1	0	34	0	0	7	0	0	1	1	0	0	0	0	0	0	0	0	0	0
BMJ Open	2022-01-01	8506873	159119	13605	0	6	2	3	0	0	1	4	0	0	7	2	0	0	0	0	25	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BMJ Open	2022-01-01	8513268	107504	9415	0	13	0	2	0	0	2	1	0	0	4	2	0	0	1	0	42	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
BMJ Open	2022-01-01	8506865	78259	7432	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	2
BMJ Open	2022-01-01	8506866	59374	5154	0	2	0	4	0	0	3	0	0	0	4	0	0	0	0	0	32	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
BMJ Open	2022-01-01	8515426	97908	8544	0	6	0	2	0	0	1	4	0	0	1	5	0	0	0	1	77	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0
BMJ Open	2022-01-01	8506854	62684	5318	0	4	1	2	0	0	0	0	0	0	5	3	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BMJ Open	2022-01-01	8522672	141933	12379	0	4	3	8	0	0	0	9	0	2	0	4	0	1	0	0	46	0	1	1	0	0	2	0	0	0	0	0	0	0	1	1	0	0
BMJ Open	2022-01-01	8520596	76281	7106	0	2	0	1	0	0	1	5	0	1	1	0	0	0	0	0	12	0	0	7	0	0	1	0	2	0	0	0	0	0	0	0	0	0
BMJ Open	2022-01-01	8532555	89018	9016	0	9	1	1	0	0	2	1	0	2	0	2	0	0	1	0	43	0	0	4	0	0	5	0	1	0	0	0	0	0	0	1	0	0
BMJ Open	2022-01-01	8524296	141800	12831	0	9	1	10	0	0	11	1	0	0	4	0	0	0	1	0	70	0	0	3	0	0	3	0	1	0	0	0	0	0	0	2	0	0
BMJ Open	2022-01-01	8532551	110052	9746	0	5	1	0	0	0	0	4	0	1	7	1	0	0	0	0	51	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BMJ Open	2022-01-01	8529978	111736	9564	0	9	0	4	0	0	2	0	0	0	0	0	0	0	0	0	27	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
BMJ Open	2022-01-01	8524277	95091	8939	0	11	0	2	0	0	0	1	0	0	4	0	0	0	0	0	55	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
BMJ Open	2022-01-01	8527129	72968	6521	0	4	0	1	0	0	1	1	0	0	4	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BMJ Open	2022-01-01	8524274	83738	7023	0	2	0	4	0	0	6	0	0	0	1	0	0	0	0	0	49	0	0	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0
BMJ Open	2022-01-01	8524269	93717	7570	0	1	1	13	0	0	1	2	0	0	0	4	0	0	0	0	53	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0
BMJ Open	2022-01-01	8527120	88751	8599	0	1	1	0	0	0	0	3	0	0	5	1	0	0	0	0	41	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3	0
BMJ Open	2022-01-01	8524279	54515	4850	0	16	0	4	0	0	2	2	0	0	1	0	0	0	0	0	61	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
BMJ Open	2022-01-01	8532543	77052	7166	0	1	3	4	0	0	1	0	0	0	1	3	0	0	0	0	36	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0
BMJ Open	2022-01-01	8523961	180966	16132	0	4	4	4	0	0	0	4	0	3	4	2	0	0	1	0	85	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BMJ Open	2022-01-01	8524288	94282	8642	0	28	0	1	0	0	1	0	0	0	2	2	0	0	1	0	46	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0
BMJ Open	2022-01-01	8524278	64955	5348	0	2	0	0	0	0	0	1	0	0	3	3	0	0	1	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BMJ Open	2022-01-01	8529616	115513	9989	0	1	1	1	0	0	0	2	0	0	1	3	0	0	0	0	49	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
