journal	date	pmc_id	Nchars	Nwords	delve	analyse	acknowledge	assess	appraise	dissect	explore	examine	extricate	expose	estimate	investigate	inquire	inspect	interpret	scrutinise	study	unearth	uncover	understand	ponder	research	reason	retrieve	avoid	discount	disregard	dismiss	ignore	neglect	overlook	omit	skip	reject
Cells	2025-01-01	11476222	137126	11278	0	7	0	0	0	0	1	1	0	0	0	3	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cells	2025-01-01	11476333	212900	16444	0	0	0	1	0	0	3	2	0	1	0	1	0	0	0	0	39	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cells	2025-01-01	11475473	122648	10354	0	9	0	2	0	0	1	1	0	0	11	2	0	0	0	0	21	0	0	2	0	0	1	0	1	0	0	0	2	0	0	0	0	0
Cells	2025-01-01	11476267	133346	11513	0	5	0	7	0	0	0	4	0	0	0	5	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cells	2025-01-01	11475157	122420	10507	0	9	0	1	0	0	2	0	0	0	0	5	0	0	0	0	28	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cells	2025-01-01	11482602	117372	10128	0	2	0	2	0	0	0	0	0	1	0	9	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cells	2025-01-01	11476013	118006	9098	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	10	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cells	2025-01-01	11476282	95045	8383	0	1	0	2	0	0	3	1	0	0	1	2	0	0	0	0	12	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cells	2025-01-01	11475748	160454	13442	0	2	0	0	0	0	0	1	0	1	2	0	0	0	0	0	12	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Cells	2025-01-01	11476093	274498	20231	0	4	0	3	0	0	4	1	0	0	0	0	0	0	0	0	47	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0
