journal	date	pmc_id	Nchars	Nwords	delve	analyse	acknowledge	assess	appraise	dissect	explore	examine	extricate	expose	estimate	investigate	inquire	inspect	interpret	scrutinise	study	unearth	uncover	understand	ponder	research	reason	retrieve	avoid	discount	disregard	dismiss	ignore	neglect	overlook	omit	skip	reject
Elife	2024-04-01	10945508	263232	26578	0	52	1	0	0	0	7	4	0	4	1	7	1	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Elife	2024-04-01	10963025	192431	19988	0	2	0	0	0	0	2	5	0	0	50	3	0	0	0	0	40	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
Elife	2024-04-01	10890785	175841	15783	0	4	0	8	0	1	3	7	0	0	0	5	0	0	2	0	56	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Elife	2024-04-01	10942766	191368	19537	0	8	0	0	0	0	3	1	0	0	1	2	0	0	0	0	9	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Elife	2024-04-01	10764005	18152	1656	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Elife	2024-04-01	10945307	343235	33718	0	41	1	9	0	0	2	6	0	0	0	1	0	0	0	0	21	0	0	1	0	0	5	0	4	0	0	0	0	0	0	0	0	0
Elife	2024-04-01	10807864	473070	35664	0	8	0	1	0	0	6	7	0	0	2	5	0	0	2	0	31	0	3	3	0	0	0	0	1	0	0	0	1	0	0	2	0	0
Elife	2024-04-01	10803022	323089	33440	0	17	1	5	0	0	0	0	0	1	0	14	0	0	0	0	24	0	0	4	0	0	1	0	1	0	0	0	0	0	0	1	0	1
Elife	2024-04-01	10945439	203971	19656	0	31	0	3	0	1	3	1	0	9	1	4	0	0	0	0	50	0	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Elife	2024-04-01	10805384	369767	30984	0	30	4	14	0	0	4	2	0	0	33	5	0	4	0	0	40	0	0	2	0	0	2	0	2	0	0	0	0	0	0	0	0	0
Elife	2024-04-01	10945504	209425	18186	0	1	1	0	0	0	2	0	0	7	8	0	0	0	0	0	21	0	0	4	0	0	3	0	1	0	0	0	1	2	0	0	0	0
