journal	date	pmc_id	Nchars	Nwords	delve	analyse	acknowledge	assess	appraise	dissect	explore	examine	extricate	expose	estimate	investigate	inquire	inspect	interpret	scrutinise	study	unearth	uncover	understand	ponder	research	reason	retrieve	avoid	discount	disregard	dismiss	ignore	neglect	overlook	omit	skip	reject
Front Neurosci	2023-04-01	9850221	16088	1641	0	1	0	0	0	0	1	0	0	1	0	3	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Front Neurosci	2023-04-01	9847240	115121	11398	0	16	0	24	0	0	4	6	0	4	0	5	0	2	2	0	77	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Front Neurosci	2023-04-01	9846176	93285	7066	0	2	0	0	0	0	0	2	0	0	1	2	0	0	0	0	20	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Front Neurosci	2023-04-01	9845639	113526	9535	0	3	0	2	0	0	1	4	0	3	0	3	0	0	0	0	15	0	0	2	0	0	0	8	0	0	0	0	0	1	0	0	0	0
Front Neurosci	2023-04-01	9853426	132484	11475	0	8	0	1	0	0	1	1	0	0	0	1	0	0	0	0	30	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Front Neurosci	2023-04-01	9846048	124740	9850	0	3	0	0	0	0	4	10	0	0	0	1	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Front Neurosci	2023-04-01	9853453	72482	5979	0	1	0	1	0	0	1	0	0	0	3	3	0	0	1	0	12	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Front Neurosci	2023-04-01	9845622	123468	10379	0	12	0	1	1	0	0	0	0	0	1	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Front Neurosci	2023-04-01	9846853	49552	4192	0	5	0	1	0	0	0	2	0	0	1	2	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Front Neurosci	2023-04-01	9850424	20733	1843	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Front Neurosci	2023-04-01	9846145	120455	12109	0	6	0	1	0	0	0	0	0	0	3	2	0	0	1	0	9	0	0	2	0	0	2	0	0	0	0	0	0	1	0	0	0	0
Front Neurosci	2023-04-01	9853968	17452	1757	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Front Neurosci	2023-04-01	9846047	146578	11100	0	3	2	3	0	0	0	0	0	0	15	2	0	0	0	0	26	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Front Neurosci	2023-04-01	9853432	200838	15917	0	1	1	0	0	0	0	4	0	1	12	0	0	0	1	0	32	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Front Neurosci	2023-04-01	9854259	16564	1541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Front Neurosci	2023-04-01	9854123	66059	6322	0	2	0	0	0	1	1	2	0	2	0	0	0	0	0	0	21	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Front Neurosci	2023-04-01	9846124	23518	2001	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Front Neurosci	2023-04-01	9853298	135943	10329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0
Front Neurosci	2023-04-01	9846135	186728	14909	0	9	0	2	0	0	1	5	0	0	0	6	0	1	1	0	23	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	1
Front Neurosci	2023-04-01	9853279	147273	13363	0	37	1	5	0	1	0	0	0	1	0	3	0	0	0	0	36	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Front Neurosci	2023-04-01	9846144	202841	14016	0	2	0	3	0	0	7	0	0	2	1	0	0	0	0	0	49	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0
Front Neurosci	2023-04-01	9853295	86761	7116	0	4	0	0	0	0	0	4	0	0	0	2	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Front Neurosci	2023-04-01	9853378	116587	10082	0	6	0	8	0	0	0	0	0	0	0	1	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Front Neurosci	2023-04-01	9853379	111430	8664	0	8	0	0	0	0	6	0	0	2	0	5	0	0	1	0	47	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Front Neurosci	2023-04-01	9846533	124732	11869	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	15	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Front Neurosci	2023-04-01	9880407	115637	9549	0	6	0	0	0	0	2	0	0	0	1	1	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Front Neurosci	2023-04-01	9868830	89331	7666	0	3	0	2	0	0	3	0	0	0	3	0	0	0	0	0	39	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Front Neurosci	2023-04-01	9869134	97227	9127	0	4	0	0	0	0	1	0	0	0	0	12	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Front Neurosci	2023-04-01	9872017	138810	11874	0	7	0	6	0	0	1	6	0	0	0	3	0	0	0	0	22	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Front Neurosci	2023-04-01	9875136	79461	6584	0	7	0	4	0	0	1	0	0	0	1	2	0	0	2	0	17	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Front Neurosci	2023-04-01	9871896	134151	11869	0	16	0	1	0	0	0	2	0	0	3	4	0	0	0	0	31	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Front Neurosci	2023-04-01	9879291	108345	9418	0	0	1	0	0	0	5	0	0	1	0	1	0	0	0	0	60	0	1	3	3	0	1	0	0	0	0	0	0	0	0	0	0	0
Front Neurosci	2023-04-01	9871790	189170	14203	0	6	1	0	0	0	1	6	0	0	0	9	0	0	1	0	65	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Front Neurosci	2023-04-01	9869254	15522	1659	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Front Neurosci	2023-04-01	9868963	116411	11630	0	7	0	1	0	0	1	4	0	0	3	6	0	0	0	0	25	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
Front Neurosci	2023-04-01	9869268	14252	1503	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Front Neurosci	2023-04-01	9880216	111116	9026	0	1	0	1	0	0	2	2	0	0	5	10	0	0	0	0	22	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0
Front Neurosci	2023-04-01	9868815	81658	6319	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	8	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Front Neurosci	2023-04-01	9874310	118009	9198	0	1	0	7	0	0	1	0	0	0	0	3	0	1	0	0	41	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0
Front Neurosci	2023-04-01	9872721	186715	12921	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	3	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0
Front Neurosci	2023-04-01	9868740	87022	8506	0	2	0	6	0	0	6	0	0	0	1	1	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Front Neurosci	2023-04-01	9871886	113236	10267	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Front Neurosci	2023-04-01	9869277	196522	20211	0	10	0	7	0	0	10	3	0	1	16	3	0	0	1	0	67	0	0	31	0	0	0	0	0	0	0	0	10	0	0	1	0	0
Front Neurosci	2023-04-01	9868944	180250	12829	0	7	0	0	0	0	0	0	0	0	0	4	0	0	1	0	19	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Front Neurosci	2023-04-01	9869156	117113	9926	0	7	0	1	0	0	7	0	0	0	0	4	0	0	0	0	17	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Front Neurosci	2023-04-01	9871770	64673	4687	0	8	0	0	0	0	0	2	0	0	5	4	0	0	0	0	15	0	0	3	0	0	0	0	1	0	0	0	0	1	0	0	0	0
Front Neurosci	2023-04-01	9871931	122013	11014	0	5	0	3	0	0	1	4	0	4	0	1	0	0	0	0	27	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Front Neurosci	2023-04-01	9869671	26710	2028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Front Neurosci	2023-04-01	9892759	119903	10684	0	12	0	7	0	2	2	2	0	1	1	1	0	0	0	0	27	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
