journal	date	pmc_id	Nchars	Nwords	delve	analyse	acknowledge	assess	appraise	dissect	explore	examine	extricate	expose	estimate	investigate	inquire	inspect	interpret	scrutinise	study	unearth	uncover	understand	ponder	research	reason	retrieve	avoid	discount	disregard	dismiss	ignore	neglect	overlook	omit	skip	reject
Heliyon	2021-10-01	8282987	163144	13093	0	26	0	0	0	0	2	0	0	0	1	0	0	0	1	0	43	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0
Heliyon	2021-10-01	8282965	221230	16102	0	8	0	1	0	0	1	1	0	0	1	2	0	0	1	0	54	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Heliyon	2021-10-01	8287149	59993	5502	0	5	0	0	0	0	0	1	0	3	0	6	0	0	2	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Heliyon	2021-10-01	8264613	89446	7855	0	6	0	1	0	0	0	1	0	0	11	1	0	0	3	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Heliyon	2021-10-01	8273425	99113	8854	0	10	0	1	0	0	0	4	0	0	0	0	0	0	5	1	18	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Heliyon	2021-10-01	8319484	271137	8470	0	3	1	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Heliyon	2021-10-01	8264606	81282	5715	0	3	0	0	0	0	0	3	0	0	0	0	0	0	3	0	13	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Heliyon	2021-10-01	8273216	77643	7647	0	3	3	3	0	0	0	0	0	0	2	4	0	0	3	0	15	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Heliyon	2021-10-01	8318852	76373	8045	0	15	0	6	0	0	1	1	0	0	1	0	0	0	1	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Heliyon	2021-10-01	8273207	94826	8042	0	6	1	2	1	0	0	1	0	1	6	1	0	0	1	0	17	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Heliyon	2021-10-01	8278428	78209	5914	0	6	0	1	0	0	0	0	0	1	4	1	0	1	2	0	99	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0
Heliyon	2021-10-01	8281371	115443	12129	0	10	1	1	0	0	7	0	0	0	0	1	0	0	7	0	87	0	0	11	0	0	2	0	0	0	0	0	0	0	0	0	0	1
Heliyon	2021-10-01	8327500	119219	11746	0	5	1	0	0	0	4	0	0	0	0	0	0	0	1	0	13	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Heliyon	2021-10-01	8282973	88175	9549	0	8	1	1	0	0	3	1	0	0	13	3	0	0	1	0	16	0	0	0	0	0	2	0	1	0	0	0	2	0	0	0	0	0
Heliyon	2021-10-01	8264604	127974	11698	0	6	1	0	0	0	0	0	0	1	1	2	0	0	1	0	18	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Heliyon	2021-10-01	8273203	81082	8471	0	9	1	5	0	0	1	14	0	0	0	4	0	0	2	0	58	0	0	4	0	1	0	2	0	0	0	0	0	0	0	0	0	0
Heliyon	2021-10-01	8278432	81266	7735	0	7	0	1	0	0	0	2	0	7	1	0	0	0	2	0	23	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
Heliyon	2021-10-01	8287237	155945	12700	0	3	0	1	0	0	0	1	0	0	1	1	0	0	1	0	24	0	0	3	0	1	1	7	0	0	0	0	0	0	0	0	0	0
Heliyon	2021-10-01	8282975	65853	5415	0	7	0	1	0	1	0	3	0	0	0	2	0	0	2	0	16	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
