journal	date	pmc_id	Nchars	Nwords	delve	analyse	acknowledge	assess	appraise	dissect	explore	examine	extricate	expose	estimate	investigate	inquire	inspect	interpret	scrutinise	study	unearth	uncover	understand	ponder	research	reason	retrieve	avoid	discount	disregard	dismiss	ignore	neglect	overlook	omit	skip	reject
IJMS	2022-04-01	8775989	142076	12225	0	4	0	0	0	0	0	8	0	1	0	18	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IJMS	2022-04-01	8775816	178610	14556	0	10	2	6	0	0	5	11	0	0	1	4	0	0	0	0	27	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IJMS	2022-04-01	8775400	154660	11904	0	2	0	0	0	0	4	0	0	0	1	0	0	0	0	0	17	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IJMS	2022-04-01	8776117	137152	12671	0	7	0	1	0	0	5	11	0	9	0	8	0	0	1	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IJMS	2022-04-01	8775552	163295	14313	0	6	0	6	0	0	1	0	0	2	13	9	0	0	1	0	9	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0
IJMS	2022-04-01	8775644	242233	20448	0	6	0	0	0	0	0	0	0	6	0	1	0	0	0	0	26	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IJMS	2022-04-01	8775416	63976	5404	0	3	0	0	0	0	0	0	0	1	1	1	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IJMS	2022-04-01	8775870	82429	7652	0	6	0	0	0	0	1	2	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
IJMS	2022-04-01	8776054	276883	22007	0	1	0	3	0	0	0	0	0	2	1	5	0	0	0	0	63	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0
IJMS	2022-04-01	8775934	114287	9386	0	3	0	5	0	0	0	1	0	2	0	0	0	0	1	0	15	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IJMS	2022-04-01	8775350	86200	7617	0	5	0	0	0	0	0	0	0	23	0	0	0	0	0	0	9	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
IJMS	2022-04-01	8776240	111885	12072	0	16	1	3	0	0	0	2	0	0	6	3	0	1	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
IJMS	2022-04-01	8775614	131309	11636	0	11	0	0	0	0	3	0	0	1	0	6	0	0	0	0	7	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1
IJMS	2022-04-01	8775530	134830	11117	0	1	0	0	0	0	0	3	0	0	2	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IJMS	2022-04-01	8775746	91564	8689	0	4	1	0	0	0	1	9	0	29	2	5	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IJMS	2022-04-01	8775975	111669	9935	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	19	0	0	2	0	1	1	0	1	0	0	0	0	0	0	0	0	0
IJMS	2022-04-01	8775597	128833	11164	0	8	0	2	0	1	0	4	0	22	0	1	0	0	1	0	17	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IJMS	2022-04-01	8776214	110170	9411	0	3	0	3	0	0	0	1	0	10	0	2	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IJMS	2022-04-01	8775495	141239	12396	0	4	0	0	0	0	0	7	0	1	5	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IJMS	2022-04-01	8775971	370529	27454	0	12	0	1	0	1	14	5	0	0	4	3	0	0	1	0	14	0	1	19	0	0	1	1	2	0	0	0	1	0	0	0	0	0
IJMS	2022-04-01	8776130	59675	6010	0	5	0	2	0	0	0	4	0	0	0	1	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IJMS	2022-04-01	8776218	82088	8261	0	15	0	1	0	0	0	0	0	0	2	4	0	0	1	0	29	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0
IJMS	2022-04-01	8776217	106113	9100	0	22	0	1	0	0	1	0	0	0	2	10	0	0	0	0	24	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IJMS	2022-04-01	8775347	164432	12632	0	4	0	0	0	1	0	0	0	0	0	2	0	0	2	0	16	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IJMS	2022-04-01	8776106	229029	19817	0	8	1	0	0	1	1	0	0	1	5	4	0	0	0	0	27	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IJMS	2022-04-01	8779001	140728	11219	0	4	0	0	0	0	1	0	0	0	2	1	0	0	0	0	26	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
IJMS	2022-04-01	8777952	205323	16969	0	7	0	1	0	0	0	0	0	1	0	4	0	0	0	0	13	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IJMS	2022-04-01	8775962	131708	10777	0	3	0	3	0	0	0	1	0	0	1	6	0	0	0	0	43	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IJMS	2022-04-01	8776182	102809	9258	0	12	0	0	0	0	0	2	0	0	1	0	0	0	0	0	15	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
IJMS	2022-04-01	8776203	107332	9583	0	3	0	2	0	0	1	0	0	1	3	0	0	1	0	0	19	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
IJMS	2022-04-01	8780864	290304	27371	0	28	0	7	0	0	0	0	0	1	12	4	0	0	1	0	29	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
IJMS	2022-04-01	8779196	385270	29496	0	0	2	0	0	1	7	1	0	1	0	1	0	0	0	0	32	0	2	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0
IJMS	2022-04-01	8780452	127835	11812	0	11	0	1	0	0	0	1	0	0	2	0	0	0	0	0	22	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IJMS	2022-04-01	8778332	120958	10288	0	12	0	0	0	0	1	3	0	2	1	1	0	0	0	0	10	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IJMS	2022-04-01	8779764	97296	8812	0	6	0	2	0	0	2	3	0	0	0	8	0	0	0	0	45	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IJMS	2022-04-01	8778486	79945	7438	0	8	0	0	0	0	2	2	0	1	2	7	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
IJMS	2022-04-01	8778372	165335	13834	0	15	0	1	0	0	2	6	0	0	0	1	0	0	0	0	31	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IJMS	2022-04-01	8779119	189836	15461	0	0	0	1	0	0	0	1	0	0	0	3	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IJMS	2022-04-01	8781843	114786	10128	0	2	0	0	0	0	0	3	0	0	0	2	0	0	0	0	27	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
IJMS	2022-04-01	8781560	146506	11545	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IJMS	2022-04-01	8776154	174029	13317	0	5	0	1	0	0	0	1	0	0	2	0	0	0	0	0	25	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0
IJMS	2022-04-01	8775978	127553	12350	0	17	0	2	0	0	2	0	0	2	0	7	0	0	2	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IJMS	2022-04-01	8776048	669086	48450	0	10	0	2	0	0	1	0	0	0	2	1	0	0	1	0	46	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IJMS	2022-04-01	8776187	132538	10942	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IJMS	2022-04-01	8778796	221279	16916	0	2	0	4	0	0	0	2	0	2	3	1	0	0	0	0	60	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
IJMS	2022-04-01	8778449	108524	9215	0	8	0	0	0	0	3	1	0	0	2	6	0	0	0	0	10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IJMS	2022-04-01	8846361	286069	25601	0	4	0	1	0	0	0	2	0	1	3	4	0	0	0	0	39	0	0	4	0	0	1	1	0	0	0	0	0	0	0	1	0	0
IJMS	2022-04-01	8779828	123411	10210	0	4	0	0	0	1	0	3	0	11	0	2	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IJMS	2022-04-01	8778905	91975	8733	0	15	0	2	0	0	0	4	0	0	0	1	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IJMS	2022-04-01	8775838	254803	18747	0	13	0	0	0	0	1	0	0	1	0	0	0	0	0	0	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
IJMS	2022-04-01	8835840	120764	10581	0	7	1	2	0	0	0	0	0	5	0	2	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IJMS	2022-04-01	8835445	79464	7043	0	6	0	0	0	0	0	1	0	0	0	1	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IJMS	2022-04-01	8835655	252208	22274	0	23	0	0	0	1	0	1	0	1	2	0	0	0	0	0	25	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
IJMS	2022-04-01	8834995	172379	12630	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	7	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IJMS	2022-04-01	8835798	89000	9010	0	6	0	8	0	0	0	3	0	0	1	0	0	0	0	0	47	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
IJMS	2022-04-01	8835044	77819	7055	0	8	0	1	0	0	1	1	0	0	0	12	0	0	2	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IJMS	2022-04-01	8835579	144655	12320	0	16	0	6	0	0	1	0	0	0	6	2	0	0	0	0	40	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0
IJMS	2022-04-01	8834753	142315	12966	0	5	0	2	0	0	11	0	0	0	2	1	0	0	0	0	8	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0
