journal	date	pmc_id	Nchars	Nwords	delve	analyse	acknowledge	assess	appraise	dissect	explore	examine	extricate	expose	estimate	investigate	inquire	inspect	interpret	scrutinise	study	unearth	uncover	understand	ponder	research	reason	retrieve	avoid	discount	disregard	dismiss	ignore	neglect	overlook	omit	skip	reject
Life	2021-10-01	8304512	204588	15408	0	9	2	1	0	0	1	2	0	4	0	0	0	0	0	0	17	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
Life	2021-10-01	8303344	76497	6803	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Life	2021-10-01	8303697	159655	13293	0	3	0	0	0	0	1	1	0	0	7	0	0	0	1	0	11	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Life	2021-10-01	8303319	212758	15836	0	11	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0
Life	2021-10-01	8307979	116669	10478	0	6	1	2	0	0	1	1	0	0	4	3	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Life	2021-10-01	8303441	74510	7023	0	1	0	2	0	0	0	1	0	0	1	2	0	0	0	0	25	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Life	2021-10-01	8306804	108710	9102	0	7	0	2	0	0	1	4	0	0	0	4	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Life	2021-10-01	8304221	133470	11119	0	4	0	1	0	0	1	1	0	1	1	1	0	0	0	0	11	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Life	2021-10-01	8307162	184201	15040	0	6	1	2	0	0	0	5	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Life	2021-10-01	8303804	120950	9936	0	14	1	1	0	0	1	0	0	0	3	0	0	0	0	0	16	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Life	2021-10-01	8307436	155992	12226	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	17	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Life	2021-10-01	8305168	89822	8724	0	9	0	1	0	0	2	1	0	4	0	2	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Life	2021-10-01	8306098	69707	5958	0	1	0	0	0	0	0	0	0	0	3	5	0	0	0	0	17	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Life	2021-10-01	8305185	176743	15034	0	7	2	0	0	0	0	0	0	1	0	1	0	0	0	0	15	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Life	2021-10-01	8306010	165210	12348	0	1	0	0	0	0	2	3	0	0	1	2	0	0	0	0	30	0	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Life	2021-10-01	8304041	99638	8623	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Life	2021-10-01	8303243	80965	7450	0	6	0	1	0	0	0	0	0	0	0	2	0	0	0	0	9	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Life	2021-10-01	8306863	88288	7507	0	0	0	1	0	0	1	0	0	0	1	6	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Life	2021-10-01	8306624	87749	7881	0	3	0	6	0	0	0	0	0	0	3	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Life	2021-10-01	8307901	76079	7147	0	2	0	6	0	0	0	0	0	0	2	3	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Life	2021-10-01	8307003	130449	11044	0	8	0	2	0	0	0	0	0	4	0	7	0	0	0	0	51	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Life	2021-10-01	8304470	89979	7705	0	0	0	0	0	0	1	3	0	0	3	2	0	0	2	0	11	0	0	6	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Life	2021-10-01	8308056	109014	9033	0	2	0	17	0	0	0	1	0	0	2	2	0	0	0	0	23	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Life	2021-10-01	8307817	125618	9412	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	12	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	3	0
Life	2021-10-01	8306123	82835	6764	0	3	0	1	0	0	0	2	0	0	0	3	0	0	1	0	15	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Life	2021-10-01	8307628	111065	9267	0	2	0	2	0	0	0	0	0	0	2	0	0	0	0	0	25	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Life	2021-10-01	8303377	100206	8658	0	4	0	4	0	0	1	3	0	0	0	3	0	0	0	0	16	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Life	2021-10-01	8305939	94591	7962	0	17	0	0	0	0	0	0	0	0	4	0	0	1	0	0	10	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0
Life	2021-10-01	8306273	249997	21051	0	1	0	1	0	0	2	1	0	0	2	0	0	0	0	0	7	0	0	5	0	0	2	0	0	0	0	0	0	1	0	0	0	0
Life	2021-10-01	8304287	311959	26437	0	3	0	5	0	1	1	3	0	0	0	0	0	0	0	0	19	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Life	2021-10-01	8306207	89006	7752	0	15	0	6	0	0	0	2	0	0	0	1	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Life	2021-10-01	8307638	78866	7086	0	1	0	1	0	0	0	0	0	1	0	2	0	0	0	0	19	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Life	2021-10-01	8307149	231124	16168	0	1	0	0	0	0	2	0	0	3	1	4	0	0	0	0	25	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Life	2021-10-01	8303551	92538	9059	0	3	0	2	0	0	2	1	0	1	2	3	0	0	1	0	37	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Life	2021-10-01	8306788	109922	8786	0	3	0	1	0	0	2	0	0	2	1	0	0	0	0	0	12	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Life	2021-10-01	8303920	69410	6156	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Life	2021-10-01	8306239	89176	8257	0	3	1	2	0	1	0	0	0	0	1	6	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Life	2021-10-01	8303833	115598	10830	0	13	0	4	0	0	2	4	0	0	1	2	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Life	2021-10-01	8304989	187241	14553	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Life	2021-10-01	8308037	150914	12826	0	5	0	0	0	0	11	0	0	0	1	1	0	0	0	0	28	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Life	2021-10-01	8304270	185270	16971	0	14	0	13	0	0	8	3	0	0	0	10	0	0	0	0	47	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Life	2021-10-01	8304013	119183	9971	0	2	0	0	0	0	0	1	0	5	4	5	0	0	0	0	24	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Life	2021-10-01	8305280	56406	5635	0	0	0	0	0	0	9	1	0	0	0	1	0	0	0	0	3	0	3	4	0	0	3	0	0	0	0	0	0	0	1	0	0	0
Life	2021-10-01	8303528	87221	8344	0	6	0	2	0	0	0	6	0	0	76	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
Life	2021-10-01	8307172	64469	5381	0	1	0	2	0	0	0	0	0	0	0	2	0	0	1	0	9	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Life	2021-10-01	8308054	128172	9444	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Life	2021-10-01	8305484	84963	7344	0	16	0	3	0	1	0	0	0	0	4	2	0	0	0	0	65	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Life	2021-10-01	8307574	244553	18404	0	2	0	1	0	0	2	0	0	1	1	1	0	0	0	0	27	0	0	4	0	0	0	0	1	0	1	0	0	0	1	0	0	0
