journal	date	pmc_id	Nchars	Nwords	delve	analyse	acknowledge	assess	appraise	dissect	explore	examine	extricate	expose	estimate	investigate	inquire	inspect	interpret	scrutinise	study	unearth	uncover	understand	ponder	research	reason	retrieve	avoid	discount	disregard	dismiss	ignore	neglect	overlook	omit	skip	reject
Nat Commun	2024-04-01	10774282	391108	20935	0	8	0	0	0	1	1	4	0	0	18	0	0	0	2	0	72	0	1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Nat Commun	2024-04-01	10774283	196067	18898	0	20	0	2	0	0	2	0	0	1	0	12	0	0	1	0	31	0	1	7	0	0	1	2	0	0	0	0	0	0	0	0	0	0
Nat Commun	2024-04-01	10774320	283880	25676	0	23	0	4	0	0	1	1	0	4	32	5	0	0	1	0	31	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nat Commun	2024-04-01	10774258	74807	6775	0	1	1	0	0	0	1	0	0	0	0	5	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nat Commun	2024-04-01	10771524	107752	8801	0	3	0	2	0	0	0	0	0	0	37	2	0	0	0	0	5	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Nat Commun	2024-04-01	10771422	130773	14775	0	18	0	2	0	0	0	1	0	0	0	8	0	0	0	0	9	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Nat Commun	2024-04-01	10774273	46338	4027	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Nat Commun	2024-04-01	10774346	218944	12065	0	3	1	0	0	0	0	0	0	0	48	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nat Commun	2024-04-01	10770305	11535	780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nat Commun	2024-04-01	10766978	233496	12487	0	0	1	0	0	0	1	0	0	0	3	0	0	0	0	0	6	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0
Nat Commun	2024-04-01	10766944	9920	629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nat Commun	2024-04-01	10766965	177919	18701	0	8	0	0	0	0	0	11	0	1	0	4	0	0	1	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
