journal	date	pmc_id	Nchars	Nwords	delve	analyse	acknowledge	assess	appraise	dissect	explore	examine	extricate	expose	estimate	investigate	inquire	inspect	interpret	scrutinise	study	unearth	uncover	understand	ponder	research	reason	retrieve	avoid	discount	disregard	dismiss	ignore	neglect	overlook	omit	skip	reject
PLoS One	2022-04-01	8735598	150461	12357	0	3	0	0	0	0	0	5	0	0	0	0	1	0	0	0	23	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-04-01	8741013	178408	15728	0	1	1	2	1	0	1	5	0	0	5	1	0	0	1	0	59	0	0	4	0	0	4	3	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-04-01	8735608	100173	8113	0	1	0	0	0	0	1	2	0	0	2	0	0	0	1	0	30	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0
PLoS One	2022-04-01	8741014	105797	10001	0	4	1	0	0	0	2	0	0	0	3	1	0	0	0	0	44	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0
PLoS One	2022-04-01	8735629	157528	14112	0	13	3	6	0	0	1	0	0	0	10	4	0	0	1	0	25	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-04-01	8741045	88393	7278	0	5	1	2	0	0	1	2	0	0	0	1	2	0	1	0	51	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-04-01	8730439	161519	12187	0	7	0	10	0	0	1	1	0	1	2	3	0	0	1	0	12	0	0	2	0	0	2	0	1	29	0	0	0	0	0	0	0	1
PLoS One	2022-04-01	8741056	169760	14779	0	11	0	0	0	0	0	2	0	0	1	25	0	0	0	0	32	0	0	3	0	0	2	0	1	0	0	0	0	1	0	0	0	0
PLoS One	2022-04-01	8735602	166237	14501	0	7	0	1	0	0	2	1	0	0	0	6	0	0	1	0	32	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-04-01	8740976	79199	6270	0	3	0	0	0	0	2	2	0	0	0	0	0	1	0	0	18	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-04-01	8741011	133121	10439	0	5	0	0	0	1	0	4	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PLoS One	2022-04-01	8741040	143979	13701	0	10	0	0	0	0	0	0	0	0	1	0	0	0	1	0	19	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0
PLoS One	2022-04-01	8741060	132695	11986	0	6	0	6	0	0	1	0	0	0	3	0	1	0	0	0	27	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PLoS One	2022-04-01	8741059	207070	14663	0	9	0	0	0	1	1	0	0	0	1	7	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-04-01	8735611	64569	4637	0	7	0	0	0	0	4	0	0	0	2	3	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-04-01	8741021	200035	14046	0	6	0	0	0	0	3	2	0	0	71	1	0	0	0	0	9	0	0	0	0	0	2	0	4	0	0	0	2	0	0	0	0	0
PLoS One	2022-04-01	8740975	141567	15434	0	0	2	2	0	0	9	0	0	2	2	0	0	0	2	0	114	0	0	2	0	3	1	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-04-01	8741041	116783	11734	0	12	5	0	0	0	0	2	0	0	7	2	0	0	0	1	63	0	0	0	0	0	9	4	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-04-01	8741030	153036	12394	0	6	0	5	0	0	0	0	0	0	0	3	0	1	1	0	57	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0
PLoS One	2022-04-01	8741032	151810	13333	0	8	0	3	0	0	0	4	0	0	0	6	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
PLoS One	2022-04-01	8740973	194676	15382	0	3	2	7	0	0	14	13	0	0	7	3	0	0	1	0	75	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-04-01	8741033	141665	13459	0	3	3	0	0	0	5	1	0	0	1	0	0	0	5	0	17	0	0	5	0	1	2	0	0	1	0	0	0	0	0	0	0	0
PLoS One	2022-04-01	8741028	109451	8961	0	8	0	1	0	1	0	2	0	0	0	2	0	1	0	0	15	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
