journal	date	pmc_id	Nchars	Nwords	delve	analyse	acknowledge	assess	appraise	dissect	explore	examine	extricate	expose	estimate	investigate	inquire	inspect	interpret	scrutinise	study	unearth	uncover	understand	ponder	research	reason	retrieve	avoid	discount	disregard	dismiss	ignore	neglect	overlook	omit	skip	reject
PeerJ	2024-04-01	10771764	120624	10455	0	1	0	0	0	0	1	2	0	0	1	5	0	0	0	0	18	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PeerJ	2024-04-01	10771080	104155	9870	0	10	0	0	0	0	2	1	0	0	1	2	0	0	7	0	46	0	0	4	0	0	1	0	2	0	0	0	0	0	0	0	3	0
PeerJ	2024-04-01	10768667	81355	7664	0	5	0	3	0	0	0	0	0	0	0	1	0	0	1	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PeerJ	2024-04-01	10771081	241612	22677	0	6	0	5	0	0	1	3	0	10	38	2	0	0	7	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PeerJ	2024-04-01	10771083	166800	14918	0	6	1	1	0	0	1	0	0	1	1	0	0	0	1	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PeerJ	2024-04-01	10768661	190214	16667	0	4	0	8	0	0	0	2	0	0	6	0	0	0	2	0	19	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PeerJ	2024-04-01	10768656	114230	9471	0	2	0	2	0	1	4	0	0	20	4	4	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PeerJ	2024-04-01	10768659	123808	10358	0	6	0	3	0	0	7	0	0	0	0	2	0	0	0	1	32	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PeerJ	2024-04-01	10773451	166909	15534	0	9	0	0	0	0	3	0	0	1	0	3	0	0	0	0	30	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PeerJ	2024-04-01	10768679	195782	18416	0	12	0	4	0	0	1	1	0	2	2	4	0	0	0	0	44	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
