journal	date	pmc_id	Nchars	Nwords	delve	analyse	acknowledge	assess	appraise	dissect	explore	examine	extricate	expose	estimate	investigate	inquire	inspect	interpret	scrutinise	study	unearth	uncover	understand	ponder	research	reason	retrieve	avoid	discount	disregard	dismiss	ignore	neglect	overlook	omit	skip	reject
Sci Adv	2024-04-01	10775992	86885	6144	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sci Adv	2024-04-01	10776000	165844	14948	0	6	0	1	0	2	3	1	0	31	0	1	0	0	1	0	34	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Sci Adv	2024-04-01	10796079	214175	13997	0	9	0	12	0	0	1	0	0	0	1	2	0	0	0	0	27	0	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Sci Adv	2024-04-01	10776003	117228	8286	0	7	3	0	0	0	2	1	0	0	10	2	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sci Adv	2024-04-01	10796115	117479	8443	0	3	0	0	0	0	0	1	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0
Sci Adv	2024-04-01	10776022	134752	9806	0	2	0	0	0	0	3	0	0	0	5	1	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0
Sci Adv	2024-04-01	10776026	192604	13658	0	6	0	1	0	0	0	12	0	0	1	3	0	0	0	0	12	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sci Adv	2024-04-01	10776002	109514	6948	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0
Sci Adv	2024-04-01	10776027	110675	7502	0	0	3	0	0	0	0	0	0	1	11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Sci Adv	2024-04-01	10796076	9722	986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Sci Adv	2024-04-01	10776016	124367	9708	0	1	0	1	0	0	3	0	0	0	5	2	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Sci Adv	2024-04-01	10775994	136356	7421	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sci Adv	2024-04-01	10796113	102774	7475	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Sci Adv	2024-04-01	10776011	119004	8699	0	0	0	0	0	0	0	0	0	10	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sci Adv	2024-04-01	10796077	135621	7331	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sci Adv	2024-04-01	10775999	155572	15398	0	4	0	0	0	0	1	1	0	0	14	4	0	0	0	0	9	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Sci Adv	2024-04-01	10796117	138499	10122	0	4	0	1	0	0	0	0	0	2	0	0	0	0	2	0	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
