journal	date	pmc_id	Nchars	Nwords	delve	analyse	acknowledge	assess	appraise	dissect	explore	examine	extricate	expose	estimate	investigate	inquire	inspect	interpret	scrutinise	study	unearth	uncover	understand	ponder	research	reason	retrieve	avoid	discount	disregard	dismiss	ignore	neglect	overlook	omit	skip	reject
Sci Rep	2022-01-01	8497511	131976	11667	0	11	0	1	0	0	0	1	0	0	0	2	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
Sci Rep	2022-01-01	8501022	75882	8463	0	6	0	6	0	0	2	1	0	0	2	7	0	0	0	0	65	0	0	4	0	0	3	0	0	0	1	0	0	0	0	0	0	0
Sci Rep	2022-01-01	8497542	7952	546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sci Rep	2022-01-01	8501033	102801	9328	0	15	0	1	0	0	0	2	0	5	4	5	0	0	1	0	19	0	0	2	0	0	1	0	0	0	0	0	1	1	2	0	0	0
Sci Rep	2022-01-01	8501029	119097	7712	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
Sci Rep	2022-01-01	8501109	133712	12334	0	13	1	1	0	0	0	0	0	0	1	1	0	0	6	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Sci Rep	2022-01-01	8501085	80522	7876	0	2	0	4	0	0	0	9	0	1	2	2	0	0	0	0	60	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Sci Rep	2022-01-01	8497477	70444	6169	0	7	0	0	0	0	0	2	0	1	0	1	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sci Rep	2022-01-01	8501135	74176	6800	0	6	0	3	0	0	1	5	0	0	0	5	0	0	0	0	37	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sci Rep	2022-01-01	8501113	151100	8787	0	7	0	0	0	0	0	1	0	0	0	0	0	0	1	0	9	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Sci Rep	2022-01-01	8501055	89186	5394	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sci Rep	2022-01-01	8501059	72542	7239	0	7	0	2	0	0	0	1	0	0	1	0	0	0	0	0	14	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Sci Rep	2022-01-01	8501063	262964	14878	0	10	0	0	0	0	0	2	0	0	33	4	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0
Sci Rep	2022-01-01	8501041	114776	11122	0	1	0	2	0	1	1	0	0	1	0	6	0	0	4	0	28	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Sci Rep	2022-01-01	8497599	7270	618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Sci Rep	2022-01-01	8501091	89312	8214	0	9	0	4	0	0	0	0	0	0	4	1	0	0	0	0	30	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sci Rep	2022-01-01	8501056	51139	4975	0	6	0	1	0	0	3	2	0	3	0	0	0	0	2	0	13	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Sci Rep	2022-01-01	8501079	145018	13724	0	2	0	0	0	4	1	1	0	0	0	2	0	0	0	0	11	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sci Rep	2022-01-01	8497525	106220	10300	0	11	0	1	0	0	0	2	0	0	2	2	0	0	0	0	24	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Sci Rep	2022-01-01	8501141	157279	9843	0	2	0	0	0	0	0	0	0	1	3	1	0	0	0	0	9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Sci Rep	2022-01-01	8501012	84439	7769	0	8	0	2	0	0	2	0	0	0	5	1	0	0	0	0	35	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sci Rep	2022-01-01	8501042	8206	539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sci Rep	2022-01-01	8501030	90163	8962	0	7	0	0	0	0	0	2	0	4	0	0	0	0	0	0	16	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	3
Sci Rep	2022-01-01	8501053	120939	11557	0	12	0	5	0	0	2	0	0	1	0	2	0	0	0	0	14	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Sci Rep	2022-01-01	8497468	9133	698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Sci Rep	2022-01-01	8521595	101161	9002	0	13	0	2	0	1	1	1	0	0	0	1	0	0	1	0	75	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
Sci Rep	2022-01-01	8516923	115223	10525	0	4	0	4	0	0	1	4	0	0	1	3	0	0	1	0	35	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sci Rep	2022-01-01	8519954	130708	12662	0	9	2	8	0	0	0	2	0	0	2	1	0	0	0	0	56	0	0	1	0	0	5	0	0	0	0	0	0	0	0	1	0	0
Sci Rep	2022-01-01	8519921	107904	9782	0	11	0	8	0	0	0	1	0	0	6	1	0	0	0	0	23	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Sci Rep	2022-01-01	8519917	60466	4963	0	0	0	0	0	0	2	1	0	2	1	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sci Rep	2022-01-01	8516888	73722	7010	0	2	0	1	0	0	0	3	0	1	3	9	0	0	0	0	14	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
Sci Rep	2022-01-01	8519933	200165	14315	0	0	1	0	0	0	5	0	0	0	28	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Sci Rep	2022-01-01	8516961	82023	7217	0	14	0	2	0	0	1	0	0	0	0	1	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sci Rep	2022-01-01	8516921	65904	6555	0	6	0	2	0	0	0	0	0	0	14	0	0	0	1	0	10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sci Rep	2022-01-01	8519993	92232	8514	0	15	0	7	0	0	0	1	0	0	1	2	0	0	3	0	34	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sci Rep	2022-01-01	8520004	55548	5201	0	16	0	3	0	0	0	0	0	0	0	2	0	0	1	10	24	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
Sci Rep	2022-01-01	8521594	130544	11954	0	9	0	2	0	0	0	0	0	2	3	2	0	0	1	0	43	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0
Sci Rep	2022-01-01	8521589	123430	10483	0	5	0	2	0	0	0	0	0	1	7	1	0	0	0	0	18	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sci Rep	2022-01-01	8516854	103382	8943	0	1	0	5	0	0	0	3	0	0	1	1	0	0	1	0	35	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Sci Rep	2022-01-01	8516896	111460	9276	0	5	0	0	0	0	0	2	0	0	1	5	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Sci Rep	2022-01-01	8516898	68024	6178	0	2	0	3	0	0	0	0	0	0	0	3	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sci Rep	2022-01-01	8519992	71196	6356	0	15	0	2	0	0	0	2	0	0	0	2	0	0	1	0	48	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sci Rep	2022-01-01	8519937	141195	13391	0	30	0	5	0	0	0	0	0	10	8	3	0	0	0	0	16	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Sci Rep	2022-01-01	8516875	71849	7113	0	7	0	0	0	0	1	0	0	1	2	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sci Rep	2022-01-01	8520014	79029	7359	0	12	0	0	0	0	0	0	0	1	6	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
