journal	date	pmc_id	paper_section	word	Nchar	Nwords	n
Elife	2021-07-01	8024024	introduction	acknowledge	4720	611	0
Elife	2021-07-01	8024024	results	acknowledge	36081	4053	0
Elife	2021-07-01	8024024	discussion	acknowledge	26097	2739	0
Elife	2021-07-01	8024024	methods	acknowledge	9771	1174	0
Elife	2021-07-01	8024024	sa1	acknowledge	5270	815	0
Elife	2021-07-01	8024024	sa2	acknowledge	8960	1382	0
Elife	2021-07-01	8024024	sa3	acknowledge	-1	-1	-1
Elife	2021-07-01	8024024	sa4	acknowledge	-1	-1	-1
Elife	2021-07-01	8024024	sa5	acknowledge	-1	-1	-1
Elife	2021-07-01	8024024	sa6	acknowledge	-1	-1	-1
Elife	2021-07-01	8087445	introduction	acknowledge	5093	644	0
Elife	2021-07-01	8087445	results	acknowledge	36411	4444	0
Elife	2021-07-01	8087445	discussion	acknowledge	8578	1107	0
Elife	2021-07-01	8087445	methods	acknowledge	29888	3641	0
Elife	2021-07-01	8087445	sa1	acknowledge	8566	1297	0
Elife	2021-07-01	8087445	sa2	acknowledge	78499	11580	0
Elife	2021-07-01	8087445	sa3	acknowledge	-1	-1	-1
Elife	2021-07-01	8087445	sa4	acknowledge	-1	-1	-1
Elife	2021-07-01	8087445	sa5	acknowledge	-1	-1	-1
Elife	2021-07-01	8087445	sa6	acknowledge	-1	-1	-1
Elife	2021-07-01	8096433	introduction	acknowledge	9572	1180	0
Elife	2021-07-01	8096433	results	acknowledge	61774	7677	0
Elife	2021-07-01	8096433	discussion	acknowledge	14271	1948	0
Elife	2021-07-01	8096433	methods	acknowledge	42423	4260	0
Elife	2021-07-01	8096433	sa1	acknowledge	4432	616	0
Elife	2021-07-01	8096433	sa2	acknowledge	6759	960	0
Elife	2021-07-01	8096433	sa3	acknowledge	-1	-1	-1
Elife	2021-07-01	8096433	sa4	acknowledge	-1	-1	-1
Elife	2021-07-01	8096433	sa5	acknowledge	-1	-1	-1
Elife	2021-07-01	8096433	sa6	acknowledge	-1	-1	-1
Elife	2021-07-01	8032397	introduction	acknowledge	8578	1083	0
Elife	2021-07-01	8032397	results	acknowledge	47031	6004	0
Elife	2021-07-01	8032397	discussion	acknowledge	10063	1416	0
Elife	2021-07-01	8032397	methods	acknowledge	15387	2293	0
Elife	2021-07-01	8032397	sa1	acknowledge	8821	1304	0
Elife	2021-07-01	8032397	sa2	acknowledge	20489	3027	0
Elife	2021-07-01	8032397	sa3	acknowledge	-1	-1	-1
Elife	2021-07-01	8032397	sa4	acknowledge	-1	-1	-1
Elife	2021-07-01	8032397	sa5	acknowledge	-1	-1	-1
Elife	2021-07-01	8032397	sa6	acknowledge	-1	-1	-1
Elife	2021-07-01	8087447	introduction	acknowledge	8013	1089	0
Elife	2021-07-01	8087447	results	acknowledge	74265	8817	0
Elife	2021-07-01	8087447	discussion	acknowledge	10524	1489	0
Elife	2021-07-01	8087447	methods	acknowledge	40120	4473	0
Elife	2021-07-01	8087447	sa1	acknowledge	12129	1838	1
Elife	2021-07-01	8087447	sa2	acknowledge	19027	2802	0
Elife	2021-07-01	8087447	sa3	acknowledge	-1	-1	-1
Elife	2021-07-01	8087447	sa4	acknowledge	-1	-1	-1
Elife	2021-07-01	8087447	sa5	acknowledge	-1	-1	-1
Elife	2021-07-01	8087447	sa6	acknowledge	-1	-1	-1
Elife	2021-07-01	8043743	introduction	acknowledge	6544	872	0
Elife	2021-07-01	8043743	results	acknowledge	25842	3400	0
Elife	2021-07-01	8043743	discussion	acknowledge	7666	1019	0
Elife	2021-07-01	8043743	methods	acknowledge	13531	1904	0
Elife	2021-07-01	8043743	sa1	acknowledge	6296	937	0
Elife	2021-07-01	8043743	sa2	acknowledge	5264	774	0
Elife	2021-07-01	8043743	sa3	acknowledge	-1	-1	-1
Elife	2021-07-01	8043743	sa4	acknowledge	-1	-1	-1
Elife	2021-07-01	8043743	sa5	acknowledge	-1	-1	-1
Elife	2021-07-01	8043743	sa6	acknowledge	-1	-1	-1
Elife	2021-07-01	8116059	introduction	acknowledge	14035	1799	0
Elife	2021-07-01	8116059	results	acknowledge	76577	9374	0
Elife	2021-07-01	8116059	discussion	acknowledge	21587	3011	0
Elife	2021-07-01	8116059	methods	acknowledge	27434	2749	0
Elife	2021-07-01	8116059	sa1	acknowledge	17515	2663	0
Elife	2021-07-01	8116059	sa2	acknowledge	26598	4115	0
Elife	2021-07-01	8116059	sa3	acknowledge	-1	-1	-1
Elife	2021-07-01	8116059	sa4	acknowledge	-1	-1	-1
Elife	2021-07-01	8116059	sa5	acknowledge	-1	-1	-1
Elife	2021-07-01	8116059	sa6	acknowledge	-1	-1	-1
Elife	2021-07-01	8049743	introduction	acknowledge	5040	607	0
Elife	2021-07-01	8049743	results	acknowledge	44364	5263	0
Elife	2021-07-01	8049743	discussion	acknowledge	13103	1769	0
Elife	2021-07-01	8049743	methods	acknowledge	16667	2344	0
