journal	date	pmc_id	paper_section	word	Nchar	Nwords	n
Elife	2021-07-01	8024024	introduction	appraise	4720	611	0
Elife	2021-07-01	8024024	results	appraise	36081	4053	0
Elife	2021-07-01	8024024	discussion	appraise	26097	2739	0
Elife	2021-07-01	8024024	methods	appraise	9771	1174	0
Elife	2021-07-01	8024024	sa1	appraise	5270	815	0
Elife	2021-07-01	8024024	sa2	appraise	8960	1382	0
Elife	2021-07-01	8024024	sa3	appraise	-1	-1	-1
Elife	2021-07-01	8024024	sa4	appraise	-1	-1	-1
Elife	2021-07-01	8024024	sa5	appraise	-1	-1	-1
Elife	2021-07-01	8024024	sa6	appraise	-1	-1	-1
Elife	2021-07-01	8087445	introduction	appraise	5093	644	0
Elife	2021-07-01	8087445	results	appraise	36411	4444	0
Elife	2021-07-01	8087445	discussion	appraise	8578	1107	0
Elife	2021-07-01	8087445	methods	appraise	29888	3641	0
Elife	2021-07-01	8087445	sa1	appraise	8566	1297	0
Elife	2021-07-01	8087445	sa2	appraise	78499	11580	0
Elife	2021-07-01	8087445	sa3	appraise	-1	-1	-1
Elife	2021-07-01	8087445	sa4	appraise	-1	-1	-1
Elife	2021-07-01	8087445	sa5	appraise	-1	-1	-1
Elife	2021-07-01	8087445	sa6	appraise	-1	-1	-1
Elife	2021-07-01	8096433	introduction	appraise	9572	1180	0
Elife	2021-07-01	8096433	results	appraise	61774	7677	0
Elife	2021-07-01	8096433	discussion	appraise	14271	1948	0
Elife	2021-07-01	8096433	methods	appraise	42423	4260	0
Elife	2021-07-01	8096433	sa1	appraise	4432	616	0
Elife	2021-07-01	8096433	sa2	appraise	6759	960	0
Elife	2021-07-01	8096433	sa3	appraise	-1	-1	-1
Elife	2021-07-01	8096433	sa4	appraise	-1	-1	-1
Elife	2021-07-01	8096433	sa5	appraise	-1	-1	-1
Elife	2021-07-01	8096433	sa6	appraise	-1	-1	-1
Elife	2021-07-01	8032397	introduction	appraise	8578	1083	0
Elife	2021-07-01	8032397	results	appraise	47031	6004	0
Elife	2021-07-01	8032397	discussion	appraise	10063	1416	0
Elife	2021-07-01	8032397	methods	appraise	15387	2293	0
Elife	2021-07-01	8032397	sa1	appraise	8821	1304	0
Elife	2021-07-01	8032397	sa2	appraise	20489	3027	0
Elife	2021-07-01	8032397	sa3	appraise	-1	-1	-1
Elife	2021-07-01	8032397	sa4	appraise	-1	-1	-1
Elife	2021-07-01	8032397	sa5	appraise	-1	-1	-1
Elife	2021-07-01	8032397	sa6	appraise	-1	-1	-1
Elife	2021-07-01	8087447	introduction	appraise	8013	1089	0
Elife	2021-07-01	8087447	results	appraise	74265	8817	0
Elife	2021-07-01	8087447	discussion	appraise	10524	1489	0
Elife	2021-07-01	8087447	methods	appraise	40120	4473	0
Elife	2021-07-01	8087447	sa1	appraise	12129	1838	0
Elife	2021-07-01	8087447	sa2	appraise	19027	2802	0
Elife	2021-07-01	8087447	sa3	appraise	-1	-1	-1
Elife	2021-07-01	8087447	sa4	appraise	-1	-1	-1
Elife	2021-07-01	8087447	sa5	appraise	-1	-1	-1
Elife	2021-07-01	8087447	sa6	appraise	-1	-1	-1
Elife	2021-07-01	8043743	introduction	appraise	6544	872	0
Elife	2021-07-01	8043743	results	appraise	25842	3400	0
Elife	2021-07-01	8043743	discussion	appraise	7666	1019	0
Elife	2021-07-01	8043743	methods	appraise	13531	1904	0
Elife	2021-07-01	8043743	sa1	appraise	6296	937	0
Elife	2021-07-01	8043743	sa2	appraise	5264	774	0
Elife	2021-07-01	8043743	sa3	appraise	-1	-1	-1
Elife	2021-07-01	8043743	sa4	appraise	-1	-1	-1
Elife	2021-07-01	8043743	sa5	appraise	-1	-1	-1
Elife	2021-07-01	8043743	sa6	appraise	-1	-1	-1
Elife	2021-07-01	8116059	introduction	appraise	14035	1799	0
Elife	2021-07-01	8116059	results	appraise	76577	9374	0
Elife	2021-07-01	8116059	discussion	appraise	21587	3011	0
Elife	2021-07-01	8116059	methods	appraise	27434	2749	0
Elife	2021-07-01	8116059	sa1	appraise	17515	2663	0
Elife	2021-07-01	8116059	sa2	appraise	26598	4115	0
Elife	2021-07-01	8116059	sa3	appraise	-1	-1	-1
Elife	2021-07-01	8116059	sa4	appraise	-1	-1	-1
Elife	2021-07-01	8116059	sa5	appraise	-1	-1	-1
Elife	2021-07-01	8116059	sa6	appraise	-1	-1	-1
Elife	2021-07-01	8049743	introduction	appraise	5040	607	0
Elife	2021-07-01	8049743	results	appraise	44364	5263	0
Elife	2021-07-01	8049743	discussion	appraise	13103	1769	0
Elife	2021-07-01	8049743	methods	appraise	16667	2344	0
Elife	2021-07-01	8049743	sa1	appraise	5046	731	0
Elife	2021-07-01	8049743	sa2	appraise	5360	794	0
Elife	2021-07-01	8049743	sa3	appraise	-1	-1	-1
Elife	2021-07-01	8049743	sa4	appraise	-1	-1	-1
Elife	2021-07-01	8049743	sa5	appraise	-1	-1	-1
