journal	date	pmc_id	paper_section	word	Nchar	Nwords	n
Elife	2021-07-01	8024024	introduction	assess	4720	611	0
Elife	2021-07-01	8024024	results	assess	36081	4053	0
Elife	2021-07-01	8024024	discussion	assess	26097	2739	0
Elife	2021-07-01	8024024	methods	assess	9771	1174	0
Elife	2021-07-01	8024024	sa1	assess	5270	815	0
Elife	2021-07-01	8024024	sa2	assess	8960	1382	0
Elife	2021-07-01	8024024	sa3	assess	-1	-1	-1
Elife	2021-07-01	8024024	sa4	assess	-1	-1	-1
Elife	2021-07-01	8024024	sa5	assess	-1	-1	-1
Elife	2021-07-01	8024024	sa6	assess	-1	-1	-1
Elife	2021-07-01	8087445	introduction	assess	5093	644	1
Elife	2021-07-01	8087445	results	assess	36411	4444	0
Elife	2021-07-01	8087445	discussion	assess	8578	1107	0
Elife	2021-07-01	8087445	methods	assess	29888	3641	1
Elife	2021-07-01	8087445	sa1	assess	8566	1297	0
Elife	2021-07-01	8087445	sa2	assess	78499	11580	4
Elife	2021-07-01	8087445	sa3	assess	-1	-1	-1
Elife	2021-07-01	8087445	sa4	assess	-1	-1	-1
Elife	2021-07-01	8087445	sa5	assess	-1	-1	-1
Elife	2021-07-01	8087445	sa6	assess	-1	-1	-1
Elife	2021-07-01	8096433	introduction	assess	9572	1180	0
Elife	2021-07-01	8096433	results	assess	61774	7677	6
Elife	2021-07-01	8096433	discussion	assess	14271	1948	0
Elife	2021-07-01	8096433	methods	assess	42423	4260	1
Elife	2021-07-01	8096433	sa1	assess	4432	616	0
Elife	2021-07-01	8096433	sa2	assess	6759	960	2
Elife	2021-07-01	8096433	sa3	assess	-1	-1	-1
Elife	2021-07-01	8096433	sa4	assess	-1	-1	-1
Elife	2021-07-01	8096433	sa5	assess	-1	-1	-1
Elife	2021-07-01	8096433	sa6	assess	-1	-1	-1
Elife	2021-07-01	8032397	introduction	assess	8578	1083	0
Elife	2021-07-01	8032397	results	assess	47031	6004	1
Elife	2021-07-01	8032397	discussion	assess	10063	1416	0
Elife	2021-07-01	8032397	methods	assess	15387	2293	0
Elife	2021-07-01	8032397	sa1	assess	8821	1304	0
Elife	2021-07-01	8032397	sa2	assess	20489	3027	0
Elife	2021-07-01	8032397	sa3	assess	-1	-1	-1
Elife	2021-07-01	8032397	sa4	assess	-1	-1	-1
Elife	2021-07-01	8032397	sa5	assess	-1	-1	-1
Elife	2021-07-01	8032397	sa6	assess	-1	-1	-1
Elife	2021-07-01	8087447	introduction	assess	8013	1089	0
Elife	2021-07-01	8087447	results	assess	74265	8817	0
Elife	2021-07-01	8087447	discussion	assess	10524	1489	0
Elife	2021-07-01	8087447	methods	assess	40120	4473	0
Elife	2021-07-01	8087447	sa1	assess	12129	1838	0
Elife	2021-07-01	8087447	sa2	assess	19027	2802	0
Elife	2021-07-01	8087447	sa3	assess	-1	-1	-1
Elife	2021-07-01	8087447	sa4	assess	-1	-1	-1
Elife	2021-07-01	8087447	sa5	assess	-1	-1	-1
Elife	2021-07-01	8087447	sa6	assess	-1	-1	-1
Elife	2021-07-01	8043743	introduction	assess	6544	872	0
Elife	2021-07-01	8043743	results	assess	25842	3400	0
Elife	2021-07-01	8043743	discussion	assess	7666	1019	0
Elife	2021-07-01	8043743	methods	assess	13531	1904	0
Elife	2021-07-01	8043743	sa1	assess	6296	937	0
Elife	2021-07-01	8043743	sa2	assess	5264	774	0
Elife	2021-07-01	8043743	sa3	assess	-1	-1	-1
Elife	2021-07-01	8043743	sa4	assess	-1	-1	-1
Elife	2021-07-01	8043743	sa5	assess	-1	-1	-1
Elife	2021-07-01	8043743	sa6	assess	-1	-1	-1
Elife	2021-07-01	8116059	introduction	assess	14035	1799	0
Elife	2021-07-01	8116059	results	assess	76577	9374	0
Elife	2021-07-01	8116059	discussion	assess	21587	3011	0
Elife	2021-07-01	8116059	methods	assess	27434	2749	0
Elife	2021-07-01	8116059	sa1	assess	17515	2663	0
