journal	date	pmc_id	paper_section	word	Nchar	Nwords	n
Elife	2021-07-01	8024024	introduction	avoid	4720	611	0
Elife	2021-07-01	8024024	results	avoid	36081	4053	0
Elife	2021-07-01	8024024	discussion	avoid	26097	2739	0
Elife	2021-07-01	8024024	methods	avoid	9771	1174	0
Elife	2021-07-01	8024024	sa1	avoid	5270	815	0
Elife	2021-07-01	8024024	sa2	avoid	8960	1382	0
Elife	2021-07-01	8024024	sa3	avoid	-1	-1	-1
Elife	2021-07-01	8024024	sa4	avoid	-1	-1	-1
Elife	2021-07-01	8024024	sa5	avoid	-1	-1	-1
Elife	2021-07-01	8024024	sa6	avoid	-1	-1	-1
Elife	2021-07-01	8087445	introduction	avoid	5093	644	0
Elife	2021-07-01	8087445	results	avoid	36411	4444	0
Elife	2021-07-01	8087445	discussion	avoid	8578	1107	0
Elife	2021-07-01	8087445	methods	avoid	29888	3641	0
Elife	2021-07-01	8087445	sa1	avoid	8566	1297	0
Elife	2021-07-01	8087445	sa2	avoid	78499	11580	0
Elife	2021-07-01	8087445	sa3	avoid	-1	-1	-1
Elife	2021-07-01	8087445	sa4	avoid	-1	-1	-1
Elife	2021-07-01	8087445	sa5	avoid	-1	-1	-1
Elife	2021-07-01	8087445	sa6	avoid	-1	-1	-1
Elife	2021-07-01	8096433	introduction	avoid	9572	1180	0
Elife	2021-07-01	8096433	results	avoid	61774	7677	0
Elife	2021-07-01	8096433	discussion	avoid	14271	1948	0
Elife	2021-07-01	8096433	methods	avoid	42423	4260	0
Elife	2021-07-01	8096433	sa1	avoid	4432	616	0
Elife	2021-07-01	8096433	sa2	avoid	6759	960	0
Elife	2021-07-01	8096433	sa3	avoid	-1	-1	-1
Elife	2021-07-01	8096433	sa4	avoid	-1	-1	-1
Elife	2021-07-01	8096433	sa5	avoid	-1	-1	-1
Elife	2021-07-01	8096433	sa6	avoid	-1	-1	-1
Elife	2021-07-01	8032397	introduction	avoid	8578	1083	0
Elife	2021-07-01	8032397	results	avoid	47031	6004	1
Elife	2021-07-01	8032397	discussion	avoid	10063	1416	0
Elife	2021-07-01	8032397	methods	avoid	15387	2293	0
Elife	2021-07-01	8032397	sa1	avoid	8821	1304	0
Elife	2021-07-01	8032397	sa2	avoid	20489	3027	0
Elife	2021-07-01	8032397	sa3	avoid	-1	-1	-1
Elife	2021-07-01	8032397	sa4	avoid	-1	-1	-1
Elife	2021-07-01	8032397	sa5	avoid	-1	-1	-1
Elife	2021-07-01	8032397	sa6	avoid	-1	-1	-1
Elife	2021-07-01	8087447	introduction	avoid	8013	1089	0
Elife	2021-07-01	8087447	results	avoid	74265	8817	0
Elife	2021-07-01	8087447	discussion	avoid	10524	1489	0
Elife	2021-07-01	8087447	methods	avoid	40120	4473	0
Elife	2021-07-01	8087447	sa1	avoid	12129	1838	0
Elife	2021-07-01	8087447	sa2	avoid	19027	2802	0
Elife	2021-07-01	8087447	sa3	avoid	-1	-1	-1
Elife	2021-07-01	8087447	sa4	avoid	-1	-1	-1
Elife	2021-07-01	8087447	sa5	avoid	-1	-1	-1
Elife	2021-07-01	8087447	sa6	avoid	-1	-1	-1
