journal	date	pmc_id	paper_section	word	Nchar	Nwords	n
Elife	2021-07-01	8024024	introduction	estimate	4720	611	0
Elife	2021-07-01	8024024	results	estimate	36081	4053	0
Elife	2021-07-01	8024024	discussion	estimate	26097	2739	0
Elife	2021-07-01	8024024	methods	estimate	9771	1174	0
Elife	2021-07-01	8024024	sa1	estimate	5270	815	0
Elife	2021-07-01	8024024	sa2	estimate	8960	1382	0
Elife	2021-07-01	8024024	sa3	estimate	-1	-1	-1
Elife	2021-07-01	8024024	sa4	estimate	-1	-1	-1
Elife	2021-07-01	8024024	sa5	estimate	-1	-1	-1
Elife	2021-07-01	8024024	sa6	estimate	-1	-1	-1
Elife	2021-07-01	8087445	introduction	estimate	5093	644	2
Elife	2021-07-01	8087445	results	estimate	36411	4444	6
Elife	2021-07-01	8087445	discussion	estimate	8578	1107	0
Elife	2021-07-01	8087445	methods	estimate	29888	3641	5
Elife	2021-07-01	8087445	sa1	estimate	8566	1297	0
Elife	2021-07-01	8087445	sa2	estimate	78499	11580	10
Elife	2021-07-01	8087445	sa3	estimate	-1	-1	-1
Elife	2021-07-01	8087445	sa4	estimate	-1	-1	-1
Elife	2021-07-01	8087445	sa5	estimate	-1	-1	-1
Elife	2021-07-01	8087445	sa6	estimate	-1	-1	-1
Elife	2021-07-01	8096433	introduction	estimate	9572	1180	0
Elife	2021-07-01	8096433	results	estimate	61774	7677	0
Elife	2021-07-01	8096433	discussion	estimate	14271	1948	0
Elife	2021-07-01	8096433	methods	estimate	42423	4260	0
Elife	2021-07-01	8096433	sa1	estimate	4432	616	0
Elife	2021-07-01	8096433	sa2	estimate	6759	960	0
Elife	2021-07-01	8096433	sa3	estimate	-1	-1	-1
Elife	2021-07-01	8096433	sa4	estimate	-1	-1	-1
Elife	2021-07-01	8096433	sa5	estimate	-1	-1	-1
Elife	2021-07-01	8096433	sa6	estimate	-1	-1	-1
Elife	2021-07-01	8032397	introduction	estimate	8578	1083	0
Elife	2021-07-01	8032397	results	estimate	47031	6004	0
Elife	2021-07-01	8032397	discussion	estimate	10063	1416	0
Elife	2021-07-01	8032397	methods	estimate	15387	2293	0
Elife	2021-07-01	8032397	sa1	estimate	8821	1304	0
Elife	2021-07-01	8032397	sa2	estimate	20489	3027	0
Elife	2021-07-01	8032397	sa3	estimate	-1	-1	-1
Elife	2021-07-01	8032397	sa4	estimate	-1	-1	-1
Elife	2021-07-01	8032397	sa5	estimate	-1	-1	-1
Elife	2021-07-01	8032397	sa6	estimate	-1	-1	-1
Elife	2021-07-01	8087447	introduction	estimate	8013	1089	0
Elife	2021-07-01	8087447	results	estimate	74265	8817	4
Elife	2021-07-01	8087447	discussion	estimate	10524	1489	0
Elife	2021-07-01	8087447	methods	estimate	40120	4473	1
Elife	2021-07-01	8087447	sa1	estimate	12129	1838	0
Elife	2021-07-01	8087447	sa2	estimate	19027	2802	1
Elife	2021-07-01	8087447	sa3	estimate	-1	-1	-1
