journal	date	pmc_id	paper_section	word	Nchar	Nwords	n
Elife	2021-07-01	8024024	introduction	examine	4720	611	0
Elife	2021-07-01	8024024	results	examine	36081	4053	0
Elife	2021-07-01	8024024	discussion	examine	26097	2739	0
Elife	2021-07-01	8024024	methods	examine	9771	1174	0
Elife	2021-07-01	8024024	sa1	examine	5270	815	0
Elife	2021-07-01	8024024	sa2	examine	8960	1382	0
Elife	2021-07-01	8024024	sa3	examine	-1	-1	-1
Elife	2021-07-01	8024024	sa4	examine	-1	-1	-1
Elife	2021-07-01	8024024	sa5	examine	-1	-1	-1
Elife	2021-07-01	8024024	sa6	examine	-1	-1	-1
Elife	2021-07-01	8087445	introduction	examine	5093	644	0
Elife	2021-07-01	8087445	results	examine	36411	4444	0
Elife	2021-07-01	8087445	discussion	examine	8578	1107	0
Elife	2021-07-01	8087445	methods	examine	29888	3641	0
Elife	2021-07-01	8087445	sa1	examine	8566	1297	0
Elife	2021-07-01	8087445	sa2	examine	78499	11580	0
Elife	2021-07-01	8087445	sa3	examine	-1	-1	-1
Elife	2021-07-01	8087445	sa4	examine	-1	-1	-1
Elife	2021-07-01	8087445	sa5	examine	-1	-1	-1
Elife	2021-07-01	8087445	sa6	examine	-1	-1	-1
Elife	2021-07-01	8096433	introduction	examine	9572	1180	0
Elife	2021-07-01	8096433	results	examine	61774	7677	3
Elife	2021-07-01	8096433	discussion	examine	14271	1948	0
Elife	2021-07-01	8096433	methods	examine	42423	4260	0
Elife	2021-07-01	8096433	sa1	examine	4432	616	0
Elife	2021-07-01	8096433	sa2	examine	6759	960	0
Elife	2021-07-01	8096433	sa3	examine	-1	-1	-1
Elife	2021-07-01	8096433	sa4	examine	-1	-1	-1
Elife	2021-07-01	8096433	sa5	examine	-1	-1	-1
Elife	2021-07-01	8096433	sa6	examine	-1	-1	-1
Elife	2021-07-01	8032397	introduction	examine	8578	1083	0
Elife	2021-07-01	8032397	results	examine	47031	6004	0
Elife	2021-07-01	8032397	discussion	examine	10063	1416	0
Elife	2021-07-01	8032397	methods	examine	15387	2293	0
Elife	2021-07-01	8032397	sa1	examine	8821	1304	0
Elife	2021-07-01	8032397	sa2	examine	20489	3027	0
Elife	2021-07-01	8032397	sa3	examine	-1	-1	-1
Elife	2021-07-01	8032397	sa4	examine	-1	-1	-1
Elife	2021-07-01	8032397	sa5	examine	-1	-1	-1
Elife	2021-07-01	8032397	sa6	examine	-1	-1	-1
Elife	2021-07-01	8087447	introduction	examine	8013	1089	0
Elife	2021-07-01	8087447	results	examine	74265	8817	0
Elife	2021-07-01	8087447	discussion	examine	10524	1489	0
Elife	2021-07-01	8087447	methods	examine	40120	4473	0
Elife	2021-07-01	8087447	sa1	examine	12129	1838	0
Elife	2021-07-01	8087447	sa2	examine	19027	2802	0
Elife	2021-07-01	8087447	sa3	examine	-1	-1	-1
Elife	2021-07-01	8087447	sa4	examine	-1	-1	-1
Elife	2021-07-01	8087447	sa5	examine	-1	-1	-1
Elife	2021-07-01	8087447	sa6	examine	-1	-1	-1
Elife	2021-07-01	8043743	introduction	examine	6544	872	0
Elife	2021-07-01	8043743	results	examine	25842	3400	0
Elife	2021-07-01	8043743	discussion	examine	7666	1019	0
Elife	2021-07-01	8043743	methods	examine	13531	1904	0
Elife	2021-07-01	8043743	sa1	examine	6296	937	0
Elife	2021-07-01	8043743	sa2	examine	5264	774	0
Elife	2021-07-01	8043743	sa3	examine	-1	-1	-1
Elife	2021-07-01	8043743	sa4	examine	-1	-1	-1
Elife	2021-07-01	8043743	sa5	examine	-1	-1	-1
Elife	2021-07-01	8043743	sa6	examine	-1	-1	-1
Elife	2021-07-01	8116059	introduction	examine	14035	1799	2
Elife	2021-07-01	8116059	results	examine	76577	9374	15
Elife	2021-07-01	8116059	discussion	examine	21587	3011	2
Elife	2021-07-01	8116059	methods	examine	27434	2749	1
Elife	2021-07-01	8116059	sa1	examine	17515	2663	2
Elife	2021-07-01	8116059	sa2	examine	26598	4115	1
Elife	2021-07-01	8116059	sa3	examine	-1	-1	-1
Elife	2021-07-01	8116059	sa4	examine	-1	-1	-1
Elife	2021-07-01	8116059	sa5	examine	-1	-1	-1
Elife	2021-07-01	8116059	sa6	examine	-1	-1	-1
Elife	2021-07-01	8049743	introduction	examine	5040	607	0
Elife	2021-07-01	8049743	results	examine	44364	5263	0
Elife	2021-07-01	8049743	discussion	examine	13103	1769	0
Elife	2021-07-01	8049743	methods	examine	16667	2344	0
Elife	2021-07-01	8049743	sa1	examine	5046	731	0
Elife	2021-07-01	8049743	sa2	examine	5360	794	1
Elife	2021-07-01	8049743	sa3	examine	-1	-1	-1
Elife	2021-07-01	8049743	sa4	examine	-1	-1	-1
Elife	2021-07-01	8049743	sa5	examine	-1	-1	-1
Elife	2021-07-01	8049743	sa6	examine	-1	-1	-1
Elife	2021-07-01	8024021	introduction	examine	6607	843	0
Elife	2021-07-01	8024021	results	examine	43694	4924	2
Elife	2021-07-01	8024021	discussion	examine	15052	2074	1
Elife	2021-07-01	8024021	methods	examine	37401	3643	0
Elife	2021-07-01	8024021	sa1	examine	5569	825	0
Elife	2021-07-01	8024021	sa2	examine	11564	1640	0
Elife	2021-07-01	8024021	sa3	examine	-1	-1	-1
Elife	2021-07-01	8024021	sa4	examine	-1	-1	-1
Elife	2021-07-01	8024021	sa5	examine	-1	-1	-1
Elife	2021-07-01	8024021	sa6	examine	-1	-1	-1
Elife	2021-07-01	8110307	introduction	examine	7533	903	0
Elife	2021-07-01	8110307	results	examine	60680	7038	6
Elife	2021-07-01	8110307	discussion	examine	21151	2679	0
Elife	2021-07-01	8110307	methods	examine	52444	4770	0
Elife	2021-07-01	8110307	sa1	examine	15351	2257	0
Elife	2021-07-01	8110307	sa2	examine	24115	3446	1
Elife	2021-07-01	8110307	sa3	examine	-1	-1	-1
Elife	2021-07-01	8110307	sa4	examine	-1	-1	-1
Elife	2021-07-01	8110307	sa5	examine	-1	-1	-1
Elife	2021-07-01	8110307	sa6	examine	-1	-1	-1
Elife	2021-07-01	8057812	introduction	examine	4811	573	0
Elife	2021-07-01	8057812	results	examine	45587	5547	4
Elife	2021-07-01	8057812	discussion	examine	6298	877	0
Elife	2021-07-01	8057812	methods	examine	29552	3547	0
Elife	2021-07-01	8057812	sa1	examine	17567	2720	0
Elife	2021-07-01	8057812	sa2	examine	28236	4259	0
Elife	2021-07-01	8057812	sa3	examine	-1	-1	-1
Elife	2021-07-01	8057812	sa4	examine	-1	-1	-1
Elife	2021-07-01	8057812	sa5	examine	-1	-1	-1
Elife	2021-07-01	8057812	sa6	examine	-1	-1	-1
Elife	2021-07-01	8102064	introduction	examine	72456	6059	0
Elife	2021-07-01	8102064	results	examine	38196	4299	0
Elife	2021-07-01	8102064	discussion	examine	21224	2794	0
Elife	2021-07-01	8102064	methods	examine	68325	3956	0
Elife	2021-07-01	8102064	sa1	examine	15024	2298	0
Elife	2021-07-01	8102064	sa2	examine	24755	3834	0
Elife	2021-07-01	8102064	sa3	examine	-1	-1	-1
Elife	2021-07-01	8102064	sa4	examine	-1	-1	-1
Elife	2021-07-01	8102064	sa5	examine	-1	-1	-1
Elife	2021-07-01	8102064	sa6	examine	-1	-1	-1
Elife	2021-07-01	8064747	introduction	examine	1901	247	0
Elife	2021-07-01	8064747	results	examine	9753	1037	2
Elife	2021-07-01	8064747	discussion	examine	2881	384	0
Elife	2021-07-01	8064747	methods	examine	-1	-1	-1
Elife	2021-07-01	8064747	sa1	examine	1365	172	0
Elife	2021-07-01	8064747	sa2	examine	44923	6885	7
Elife	2021-07-01	8064747	sa3	examine	-1	-1	-1
Elife	2021-07-01	8064747	sa4	examine	-1	-1	-1
Elife	2021-07-01	8064747	sa5	examine	-1	-1	-1
Elife	2021-07-01	8064747	sa6	examine	-1	-1	-1
Elife	2021-07-01	8051950	introduction	examine	6778	767	0
Elife	2021-07-01	8051950	results	examine	21694	2987	0
Elife	2021-07-01	8051950	discussion	examine	27259	3409	1
Elife	2021-07-01	8051950	methods	examine	24057	3204	1
Elife	2021-07-01	8051950	sa1	examine	10384	1670	0
Elife	2021-07-01	8051950	sa2	examine	40337	5969	1
Elife	2021-07-01	8051950	sa3	examine	-1	-1	-1
Elife	2021-07-01	8051950	sa4	examine	-1	-1	-1
Elife	2021-07-01	8051950	sa5	examine	-1	-1	-1
Elife	2021-07-01	8051950	sa6	examine	-1	-1	-1
Elife	2021-07-01	8032402	introduction	examine	8831	1041	1
Elife	2021-07-01	8032402	results	examine	47392	5947	1
Elife	2021-07-01	8032402	discussion	examine	16980	2265	0
Elife	2021-07-01	8032402	methods	examine	26071	2059	0
Elife	2021-07-01	8032402	sa1	examine	11153	1664	0
Elife	2021-07-01	8032402	sa2	examine	17437	2635	0
Elife	2021-07-01	8032402	sa3	examine	-1	-1	-1
Elife	2021-07-01	8032402	sa4	examine	-1	-1	-1
Elife	2021-07-01	8032402	sa5	examine	-1	-1	-1
Elife	2021-07-01	8032402	sa6	examine	-1	-1	-1
Elife	2021-07-01	8075579	introduction	examine	13427	1640	0
Elife	2021-07-01	8075579	results	examine	50516	6508	4
Elife	2021-07-01	8075579	discussion	examine	10700	1422	6
Elife	2021-07-01	8075579	methods	examine	17616	2309	0
Elife	2021-07-01	8075579	sa1	examine	24048	3501	3
Elife	2021-07-01	8075579	sa2	examine	29246	4394	1
Elife	2021-07-01	8075579	sa3	examine	-1	-1	-1
Elife	2021-07-01	8075579	sa4	examine	-1	-1	-1
Elife	2021-07-01	8075579	sa5	examine	-1	-1	-1
Elife	2021-07-01	8075579	sa6	examine	-1	-1	-1
Elife	2021-07-01	8064750	introduction	examine	5594	679	0
Elife	2021-07-01	8064750	results	examine	45963	5562	0
Elife	2021-07-01	8064750	discussion	examine	17282	2232	0
Elife	2021-07-01	8064750	methods	examine	25444	3007	1
Elife	2021-07-01	8064750	sa1	examine	21364	3266	1
Elife	2021-07-01	8064750	sa2	examine	53688	8169	1
Elife	2021-07-01	8064750	sa3	examine	-1	-1	-1
Elife	2021-07-01	8064750	sa4	examine	-1	-1	-1
Elife	2021-07-01	8064750	sa5	examine	-1	-1	-1
Elife	2021-07-01	8064750	sa6	examine	-1	-1	-1
Elife	2021-07-01	8062133	introduction	examine	10996	1442	0
Elife	2021-07-01	8062133	results	examine	30440	3405	0
Elife	2021-07-01	8062133	discussion	examine	10887	1538	0
Elife	2021-07-01	8062133	methods	examine	19012	2384	0
Elife	2021-07-01	8062133	sa1	examine	5471	836	0
Elife	2021-07-01	8062133	sa2	examine	6632	964	0
Elife	2021-07-01	8062133	sa3	examine	-1	-1	-1
Elife	2021-07-01	8062133	sa4	examine	-1	-1	-1
Elife	2021-07-01	8062133	sa5	examine	-1	-1	-1
Elife	2021-07-01	8062133	sa6	examine	-1	-1	-1
Elife	2021-07-01	8060034	introduction	examine	14022	1837	2
Elife	2021-07-01	8060034	results	examine	46363	6202	3
Elife	2021-07-01	8060034	discussion	examine	15900	2088	0
Elife	2021-07-01	8060034	methods	examine	27965	3921	0
Elife	2021-07-01	8060034	sa1	examine	13145	2018	0
Elife	2021-07-01	8060034	sa2	examine	54445	8081	3
Elife	2021-07-01	8060034	sa3	examine	-1	-1	-1
Elife	2021-07-01	8060034	sa4	examine	-1	-1	-1
Elife	2021-07-01	8060034	sa5	examine	-1	-1	-1
Elife	2021-07-01	8060034	sa6	examine	-1	-1	-1
Elife	2021-07-01	8024005	introduction	examine	-1	-1	-1
Elife	2021-07-01	8024005	results	examine	-1	-1	-1
Elife	2021-07-01	8024005	discussion	examine	-1	-1	-1
Elife	2021-07-01	8024005	methods	examine	-1	-1	-1
Elife	2021-07-01	8024005	sa1	examine	-1	-1	-1
Elife	2021-07-01	8024005	sa2	examine	-1	-1	-1
Elife	2021-07-01	8024005	sa3	examine	-1	-1	-1
Elife	2021-07-01	8024005	sa4	examine	-1	-1	-1
Elife	2021-07-01	8024005	sa5	examine	-1	-1	-1
Elife	2021-07-01	8024005	sa6	examine	-1	-1	-1
Elife	2021-07-01	8137144	introduction	examine	4816	608	0
Elife	2021-07-01	8137144	results	examine	70258	8541	0
Elife	2021-07-01	8137144	discussion	examine	9126	1265	0
Elife	2021-07-01	8137144	methods	examine	23734	3006	1
Elife	2021-07-01	8137144	sa1	examine	8912	1302	0
Elife	2021-07-01	8137144	sa2	examine	16247	2403	0
Elife	2021-07-01	8137144	sa3	examine	-1	-1	-1
Elife	2021-07-01	8137144	sa4	examine	-1	-1	-1
Elife	2021-07-01	8137144	sa5	examine	-1	-1	-1
Elife	2021-07-01	8137144	sa6	examine	-1	-1	-1
Elife	2021-07-01	8024007	introduction	examine	3141	369	0
Elife	2021-07-01	8024007	results	examine	39206	4446	3
Elife	2021-07-01	8024007	discussion	examine	9569	1173	0
Elife	2021-07-01	8024007	methods	examine	10454	1336	0
Elife	2021-07-01	8024007	sa1	examine	9549	1373	0
Elife	2021-07-01	8024007	sa2	examine	9006	1294	0
Elife	2021-07-01	8024007	sa3	examine	-1	-1	-1
Elife	2021-07-01	8024007	sa4	examine	-1	-1	-1
Elife	2021-07-01	8024007	sa5	examine	-1	-1	-1
Elife	2021-07-01	8024007	sa6	examine	-1	-1	-1
Elife	2021-07-01	8102067	introduction	examine	6350	758	0
Elife	2021-07-01	8102067	results	examine	103141	12201	3
Elife	2021-07-01	8102067	discussion	examine	14899	1938	0
Elife	2021-07-01	8102067	methods	examine	65218	6726	2
Elife	2021-07-01	8102067	sa1	examine	4358	608	0
Elife	2021-07-01	8102067	sa2	examine	10259	1462	0
