journal	date	pmc_id	paper_section	word	Nchar	Nwords	n
Elife	2021-07-01	8024024	introduction	explore	4720	611	0
Elife	2021-07-01	8024024	results	explore	36081	4053	0
Elife	2021-07-01	8024024	discussion	explore	26097	2739	0
Elife	2021-07-01	8024024	methods	explore	9771	1174	0
Elife	2021-07-01	8024024	sa1	explore	5270	815	0
Elife	2021-07-01	8024024	sa2	explore	8960	1382	0
Elife	2021-07-01	8024024	sa3	explore	-1	-1	-1
Elife	2021-07-01	8024024	sa4	explore	-1	-1	-1
Elife	2021-07-01	8024024	sa5	explore	-1	-1	-1
Elife	2021-07-01	8024024	sa6	explore	-1	-1	-1
Elife	2021-07-01	8087445	introduction	explore	5093	644	0
Elife	2021-07-01	8087445	results	explore	36411	4444	0
Elife	2021-07-01	8087445	discussion	explore	8578	1107	0
Elife	2021-07-01	8087445	methods	explore	29888	3641	0
Elife	2021-07-01	8087445	sa1	explore	8566	1297	0
Elife	2021-07-01	8087445	sa2	explore	78499	11580	0
Elife	2021-07-01	8087445	sa3	explore	-1	-1	-1
Elife	2021-07-01	8087445	sa4	explore	-1	-1	-1
Elife	2021-07-01	8087445	sa5	explore	-1	-1	-1
Elife	2021-07-01	8087445	sa6	explore	-1	-1	-1
Elife	2021-07-01	8096433	introduction	explore	9572	1180	0
Elife	2021-07-01	8096433	results	explore	61774	7677	1
Elife	2021-07-01	8096433	discussion	explore	14271	1948	0
Elife	2021-07-01	8096433	methods	explore	42423	4260	0
Elife	2021-07-01	8096433	sa1	explore	4432	616	1
Elife	2021-07-01	8096433	sa2	explore	6759	960	1
Elife	2021-07-01	8096433	sa3	explore	-1	-1	-1
Elife	2021-07-01	8096433	sa4	explore	-1	-1	-1
Elife	2021-07-01	8096433	sa5	explore	-1	-1	-1
Elife	2021-07-01	8096433	sa6	explore	-1	-1	-1
Elife	2021-07-01	8032397	introduction	explore	8578	1083	1
Elife	2021-07-01	8032397	results	explore	47031	6004	0
Elife	2021-07-01	8032397	discussion	explore	10063	1416	0
Elife	2021-07-01	8032397	methods	explore	15387	2293	0
Elife	2021-07-01	8032397	sa1	explore	8821	1304	0
Elife	2021-07-01	8032397	sa2	explore	20489	3027	0
Elife	2021-07-01	8032397	sa3	explore	-1	-1	-1
Elife	2021-07-01	8032397	sa4	explore	-1	-1	-1
Elife	2021-07-01	8032397	sa5	explore	-1	-1	-1
Elife	2021-07-01	8032397	sa6	explore	-1	-1	-1
Elife	2021-07-01	8087447	introduction	explore	8013	1089	0
Elife	2021-07-01	8087447	results	explore	74265	8817	0
Elife	2021-07-01	8087447	discussion	explore	10524	1489	0
Elife	2021-07-01	8087447	methods	explore	40120	4473	0
Elife	2021-07-01	8087447	sa1	explore	12129	1838	0
Elife	2021-07-01	8087447	sa2	explore	19027	2802	1
Elife	2021-07-01	8087447	sa3	explore	-1	-1	-1
Elife	2021-07-01	8087447	sa4	explore	-1	-1	-1
Elife	2021-07-01	8087447	sa5	explore	-1	-1	-1
Elife	2021-07-01	8087447	sa6	explore	-1	-1	-1
Elife	2021-07-01	8043743	introduction	explore	6544	872	0
Elife	2021-07-01	8043743	results	explore	25842	3400	0
Elife	2021-07-01	8043743	discussion	explore	7666	1019	0
Elife	2021-07-01	8043743	methods	explore	13531	1904	0
Elife	2021-07-01	8043743	sa1	explore	6296	937	1
Elife	2021-07-01	8043743	sa2	explore	5264	774	0
Elife	2021-07-01	8043743	sa3	explore	-1	-1	-1
Elife	2021-07-01	8043743	sa4	explore	-1	-1	-1
Elife	2021-07-01	8043743	sa5	explore	-1	-1	-1
Elife	2021-07-01	8043743	sa6	explore	-1	-1	-1
Elife	2021-07-01	8116059	introduction	explore	14035	1799	0
Elife	2021-07-01	8116059	results	explore	76577	9374	1
Elife	2021-07-01	8116059	discussion	explore	21587	3011	0
Elife	2021-07-01	8116059	methods	explore	27434	2749	0
Elife	2021-07-01	8116059	sa1	explore	17515	2663	0
Elife	2021-07-01	8116059	sa2	explore	26598	4115	0
Elife	2021-07-01	8116059	sa3	explore	-1	-1	-1
Elife	2021-07-01	8116059	sa4	explore	-1	-1	-1
Elife	2021-07-01	8116059	sa5	explore	-1	-1	-1
Elife	2021-07-01	8116059	sa6	explore	-1	-1	-1
Elife	2021-07-01	8049743	introduction	explore	5040	607	0
Elife	2021-07-01	8049743	results	explore	44364	5263	2
Elife	2021-07-01	8049743	discussion	explore	13103	1769	0
Elife	2021-07-01	8049743	methods	explore	16667	2344	0
Elife	2021-07-01	8049743	sa1	explore	5046	731	0
Elife	2021-07-01	8049743	sa2	explore	5360	794	0
Elife	2021-07-01	8049743	sa3	explore	-1	-1	-1
Elife	2021-07-01	8049743	sa4	explore	-1	-1	-1
Elife	2021-07-01	8049743	sa5	explore	-1	-1	-1
Elife	2021-07-01	8049743	sa6	explore	-1	-1	-1
Elife	2021-07-01	8024021	introduction	explore	6607	843	0
Elife	2021-07-01	8024021	results	explore	43694	4924	0
Elife	2021-07-01	8024021	discussion	explore	15052	2074	0
Elife	2021-07-01	8024021	methods	explore	37401	3643	0
Elife	2021-07-01	8024021	sa1	explore	5569	825	1
Elife	2021-07-01	8024021	sa2	explore	11564	1640	1
Elife	2021-07-01	8024021	sa3	explore	-1	-1	-1
Elife	2021-07-01	8024021	sa4	explore	-1	-1	-1
Elife	2021-07-01	8024021	sa5	explore	-1	-1	-1
Elife	2021-07-01	8024021	sa6	explore	-1	-1	-1
Elife	2021-07-01	8110307	introduction	explore	7533	903	0
Elife	2021-07-01	8110307	results	explore	60680	7038	1
Elife	2021-07-01	8110307	discussion	explore	21151	2679	1
Elife	2021-07-01	8110307	methods	explore	52444	4770	0
Elife	2021-07-01	8110307	sa1	explore	15351	2257	0
Elife	2021-07-01	8110307	sa2	explore	24115	3446	1
Elife	2021-07-01	8110307	sa3	explore	-1	-1	-1
Elife	2021-07-01	8110307	sa4	explore	-1	-1	-1
Elife	2021-07-01	8110307	sa5	explore	-1	-1	-1
Elife	2021-07-01	8110307	sa6	explore	-1	-1	-1
Elife	2021-07-01	8057812	introduction	explore	4811	573	0
Elife	2021-07-01	8057812	results	explore	45587	5547	1
Elife	2021-07-01	8057812	discussion	explore	6298	877	0
Elife	2021-07-01	8057812	methods	explore	29552	3547	0
Elife	2021-07-01	8057812	sa1	explore	17567	2720	0
Elife	2021-07-01	8057812	sa2	explore	28236	4259	1
Elife	2021-07-01	8057812	sa3	explore	-1	-1	-1
Elife	2021-07-01	8057812	sa4	explore	-1	-1	-1
Elife	2021-07-01	8057812	sa5	explore	-1	-1	-1
Elife	2021-07-01	8057812	sa6	explore	-1	-1	-1
Elife	2021-07-01	8102064	introduction	explore	72456	6059	0
Elife	2021-07-01	8102064	results	explore	38196	4299	0
Elife	2021-07-01	8102064	discussion	explore	21224	2794	4
Elife	2021-07-01	8102064	methods	explore	68325	3956	0
Elife	2021-07-01	8102064	sa1	explore	15024	2298	0
Elife	2021-07-01	8102064	sa2	explore	24755	3834	0
Elife	2021-07-01	8102064	sa3	explore	-1	-1	-1
Elife	2021-07-01	8102064	sa4	explore	-1	-1	-1
Elife	2021-07-01	8102064	sa5	explore	-1	-1	-1
Elife	2021-07-01	8102064	sa6	explore	-1	-1	-1
Elife	2021-07-01	8064747	introduction	explore	1901	247	0
Elife	2021-07-01	8064747	results	explore	9753	1037	0
Elife	2021-07-01	8064747	discussion	explore	2881	384	0
Elife	2021-07-01	8064747	methods	explore	-1	-1	-1
Elife	2021-07-01	8064747	sa1	explore	1365	172	0
Elife	2021-07-01	8064747	sa2	explore	44923	6885	0
Elife	2021-07-01	8064747	sa3	explore	-1	-1	-1
Elife	2021-07-01	8064747	sa4	explore	-1	-1	-1
Elife	2021-07-01	8064747	sa5	explore	-1	-1	-1
Elife	2021-07-01	8064747	sa6	explore	-1	-1	-1
Elife	2021-07-01	8051950	introduction	explore	6778	767	0
Elife	2021-07-01	8051950	results	explore	21694	2987	0
Elife	2021-07-01	8051950	discussion	explore	27259	3409	0
Elife	2021-07-01	8051950	methods	explore	24057	3204	0
Elife	2021-07-01	8051950	sa1	explore	10384	1670	0
Elife	2021-07-01	8051950	sa2	explore	40337	5969	0
Elife	2021-07-01	8051950	sa3	explore	-1	-1	-1
Elife	2021-07-01	8051950	sa4	explore	-1	-1	-1
Elife	2021-07-01	8051950	sa5	explore	-1	-1	-1
Elife	2021-07-01	8051950	sa6	explore	-1	-1	-1
Elife	2021-07-01	8032402	introduction	explore	8831	1041	0
Elife	2021-07-01	8032402	results	explore	47392	5947	0
Elife	2021-07-01	8032402	discussion	explore	16980	2265	0
Elife	2021-07-01	8032402	methods	explore	26071	2059	0
Elife	2021-07-01	8032402	sa1	explore	11153	1664	0
Elife	2021-07-01	8032402	sa2	explore	17437	2635	0
Elife	2021-07-01	8032402	sa3	explore	-1	-1	-1
Elife	2021-07-01	8032402	sa4	explore	-1	-1	-1
Elife	2021-07-01	8032402	sa5	explore	-1	-1	-1
Elife	2021-07-01	8032402	sa6	explore	-1	-1	-1
Elife	2021-07-01	8075579	introduction	explore	13427	1640	1
Elife	2021-07-01	8075579	results	explore	50516	6508	1
Elife	2021-07-01	8075579	discussion	explore	10700	1422	0
Elife	2021-07-01	8075579	methods	explore	17616	2309	0
Elife	2021-07-01	8075579	sa1	explore	24048	3501	0
Elife	2021-07-01	8075579	sa2	explore	29246	4394	0
Elife	2021-07-01	8075579	sa3	explore	-1	-1	-1
