journal	date	pmc_id	paper_section	word	Nchar	Nwords	n
Elife	2021-07-01	8024024	introduction	expose	4720	611	0
Elife	2021-07-01	8024024	results	expose	36081	4053	0
Elife	2021-07-01	8024024	discussion	expose	26097	2739	0
Elife	2021-07-01	8024024	methods	expose	9771	1174	0
Elife	2021-07-01	8024024	sa1	expose	5270	815	0
Elife	2021-07-01	8024024	sa2	expose	8960	1382	0
Elife	2021-07-01	8024024	sa3	expose	-1	-1	-1
Elife	2021-07-01	8024024	sa4	expose	-1	-1	-1
Elife	2021-07-01	8024024	sa5	expose	-1	-1	-1
Elife	2021-07-01	8024024	sa6	expose	-1	-1	-1
Elife	2021-07-01	8087445	introduction	expose	5093	644	0
Elife	2021-07-01	8087445	results	expose	36411	4444	0
Elife	2021-07-01	8087445	discussion	expose	8578	1107	0
Elife	2021-07-01	8087445	methods	expose	29888	3641	1
Elife	2021-07-01	8087445	sa1	expose	8566	1297	0
Elife	2021-07-01	8087445	sa2	expose	78499	11580	0
Elife	2021-07-01	8087445	sa3	expose	-1	-1	-1
Elife	2021-07-01	8087445	sa4	expose	-1	-1	-1
Elife	2021-07-01	8087445	sa5	expose	-1	-1	-1
Elife	2021-07-01	8087445	sa6	expose	-1	-1	-1
Elife	2021-07-01	8096433	introduction	expose	9572	1180	0
Elife	2021-07-01	8096433	results	expose	61774	7677	26
Elife	2021-07-01	8096433	discussion	expose	14271	1948	1
Elife	2021-07-01	8096433	methods	expose	42423	4260	0
Elife	2021-07-01	8096433	sa1	expose	4432	616	0
Elife	2021-07-01	8096433	sa2	expose	6759	960	2
Elife	2021-07-01	8096433	sa3	expose	-1	-1	-1
Elife	2021-07-01	8096433	sa4	expose	-1	-1	-1
Elife	2021-07-01	8096433	sa5	expose	-1	-1	-1
Elife	2021-07-01	8096433	sa6	expose	-1	-1	-1
Elife	2021-07-01	8032397	introduction	expose	8578	1083	0
Elife	2021-07-01	8032397	results	expose	47031	6004	1
Elife	2021-07-01	8032397	discussion	expose	10063	1416	0
Elife	2021-07-01	8032397	methods	expose	15387	2293	0
Elife	2021-07-01	8032397	sa1	expose	8821	1304	0
Elife	2021-07-01	8032397	sa2	expose	20489	3027	0
Elife	2021-07-01	8032397	sa3	expose	-1	-1	-1
Elife	2021-07-01	8032397	sa4	expose	-1	-1	-1
Elife	2021-07-01	8032397	sa5	expose	-1	-1	-1
Elife	2021-07-01	8032397	sa6	expose	-1	-1	-1
Elife	2021-07-01	8087447	introduction	expose	8013	1089	0
Elife	2021-07-01	8087447	results	expose	74265	8817	0
Elife	2021-07-01	8087447	discussion	expose	10524	1489	0
Elife	2021-07-01	8087447	methods	expose	40120	4473	1
Elife	2021-07-01	8087447	sa1	expose	12129	1838	1
Elife	2021-07-01	8087447	sa2	expose	19027	2802	1
Elife	2021-07-01	8087447	sa3	expose	-1	-1	-1
Elife	2021-07-01	8087447	sa4	expose	-1	-1	-1
Elife	2021-07-01	8087447	sa5	expose	-1	-1	-1
Elife	2021-07-01	8087447	sa6	expose	-1	-1	-1
Elife	2021-07-01	8043743	introduction	expose	6544	872	0
Elife	2021-07-01	8043743	results	expose	25842	3400	0
Elife	2021-07-01	8043743	discussion	expose	7666	1019	0
Elife	2021-07-01	8043743	methods	expose	13531	1904	0
Elife	2021-07-01	8043743	sa1	expose	6296	937	0
Elife	2021-07-01	8043743	sa2	expose	5264	774	0
Elife	2021-07-01	8043743	sa3	expose	-1	-1	-1
Elife	2021-07-01	8043743	sa4	expose	-1	-1	-1
Elife	2021-07-01	8043743	sa5	expose	-1	-1	-1
Elife	2021-07-01	8043743	sa6	expose	-1	-1	-1
Elife	2021-07-01	8116059	introduction	expose	14035	1799	1
Elife	2021-07-01	8116059	results	expose	76577	9374	3
Elife	2021-07-01	8116059	discussion	expose	21587	3011	4
Elife	2021-07-01	8116059	methods	expose	27434	2749	0
Elife	2021-07-01	8116059	sa1	expose	17515	2663	0
