journal	date	pmc_id	paper_section	word	Nchar	Nwords	n
Elife	2021-07-01	8024024	introduction	ignore	4720	611	0
Elife	2021-07-01	8024024	results	ignore	36081	4053	0
Elife	2021-07-01	8024024	discussion	ignore	26097	2739	0
Elife	2021-07-01	8024024	methods	ignore	9771	1174	0
Elife	2021-07-01	8024024	sa1	ignore	5270	815	0
Elife	2021-07-01	8024024	sa2	ignore	8960	1382	0
Elife	2021-07-01	8024024	sa3	ignore	-1	-1	-1
Elife	2021-07-01	8024024	sa4	ignore	-1	-1	-1
Elife	2021-07-01	8024024	sa5	ignore	-1	-1	-1
Elife	2021-07-01	8024024	sa6	ignore	-1	-1	-1
Elife	2021-07-01	8087445	introduction	ignore	5093	644	0
Elife	2021-07-01	8087445	results	ignore	36411	4444	0
Elife	2021-07-01	8087445	discussion	ignore	8578	1107	0
Elife	2021-07-01	8087445	methods	ignore	29888	3641	0
Elife	2021-07-01	8087445	sa1	ignore	8566	1297	0
Elife	2021-07-01	8087445	sa2	ignore	78499	11580	1
Elife	2021-07-01	8087445	sa3	ignore	-1	-1	-1
Elife	2021-07-01	8087445	sa4	ignore	-1	-1	-1
Elife	2021-07-01	8087445	sa5	ignore	-1	-1	-1
Elife	2021-07-01	8087445	sa6	ignore	-1	-1	-1
Elife	2021-07-01	8096433	introduction	ignore	9572	1180	0
Elife	2021-07-01	8096433	results	ignore	61774	7677	0
Elife	2021-07-01	8096433	discussion	ignore	14271	1948	0
Elife	2021-07-01	8096433	methods	ignore	42423	4260	0
Elife	2021-07-01	8096433	sa1	ignore	4432	616	0
Elife	2021-07-01	8096433	sa2	ignore	6759	960	0
Elife	2021-07-01	8096433	sa3	ignore	-1	-1	-1
Elife	2021-07-01	8096433	sa4	ignore	-1	-1	-1
Elife	2021-07-01	8096433	sa5	ignore	-1	-1	-1
Elife	2021-07-01	8096433	sa6	ignore	-1	-1	-1
Elife	2021-07-01	8032397	introduction	ignore	8578	1083	0
Elife	2021-07-01	8032397	results	ignore	47031	6004	0
Elife	2021-07-01	8032397	discussion	ignore	10063	1416	0
Elife	2021-07-01	8032397	methods	ignore	15387	2293	2
Elife	2021-07-01	8032397	sa1	ignore	8821	1304	1
Elife	2021-07-01	8032397	sa2	ignore	20489	3027	2
Elife	2021-07-01	8032397	sa3	ignore	-1	-1	-1
Elife	2021-07-01	8032397	sa4	ignore	-1	-1	-1
Elife	2021-07-01	8032397	sa5	ignore	-1	-1	-1
Elife	2021-07-01	8032397	sa6	ignore	-1	-1	-1
Elife	2021-07-01	8087447	introduction	ignore	8013	1089	0
Elife	2021-07-01	8087447	results	ignore	74265	8817	0
Elife	2021-07-01	8087447	discussion	ignore	10524	1489	0
Elife	2021-07-01	8087447	methods	ignore	40120	4473	0
Elife	2021-07-01	8087447	sa1	ignore	12129	1838	0
Elife	2021-07-01	8087447	sa2	ignore	19027	2802	0
Elife	2021-07-01	8087447	sa3	ignore	-1	-1	-1
Elife	2021-07-01	8087447	sa4	ignore	-1	-1	-1
Elife	2021-07-01	8087447	sa5	ignore	-1	-1	-1
Elife	2021-07-01	8087447	sa6	ignore	-1	-1	-1
Elife	2021-07-01	8043743	introduction	ignore	6544	872	0
Elife	2021-07-01	8043743	results	ignore	25842	3400	0
Elife	2021-07-01	8043743	discussion	ignore	7666	1019	0
Elife	2021-07-01	8043743	methods	ignore	13531	1904	0
Elife	2021-07-01	8043743	sa1	ignore	6296	937	0
Elife	2021-07-01	8043743	sa2	ignore	5264	774	0
Elife	2021-07-01	8043743	sa3	ignore	-1	-1	-1
Elife	2021-07-01	8043743	sa4	ignore	-1	-1	-1
Elife	2021-07-01	8043743	sa5	ignore	-1	-1	-1
Elife	2021-07-01	8043743	sa6	ignore	-1	-1	-1
Elife	2021-07-01	8116059	introduction	ignore	14035	1799	0
Elife	2021-07-01	8116059	results	ignore	76577	9374	0
Elife	2021-07-01	8116059	discussion	ignore	21587	3011	0
Elife	2021-07-01	8116059	methods	ignore	27434	2749	0
Elife	2021-07-01	8116059	sa1	ignore	17515	2663	0
Elife	2021-07-01	8116059	sa2	ignore	26598	4115	0
Elife	2021-07-01	8116059	sa3	ignore	-1	-1	-1
Elife	2021-07-01	8116059	sa4	ignore	-1	-1	-1
Elife	2021-07-01	8116059	sa5	ignore	-1	-1	-1
Elife	2021-07-01	8116059	sa6	ignore	-1	-1	-1
Elife	2021-07-01	8049743	introduction	ignore	5040	607	0
Elife	2021-07-01	8049743	results	ignore	44364	5263	0
Elife	2021-07-01	8049743	discussion	ignore	13103	1769	0
Elife	2021-07-01	8049743	methods	ignore	16667	2344	0
Elife	2021-07-01	8049743	sa1	ignore	5046	731	0
Elife	2021-07-01	8049743	sa2	ignore	5360	794	0
Elife	2021-07-01	8049743	sa3	ignore	-1	-1	-1
Elife	2021-07-01	8049743	sa4	ignore	-1	-1	-1
Elife	2021-07-01	8049743	sa5	ignore	-1	-1	-1
Elife	2021-07-01	8049743	sa6	ignore	-1	-1	-1
Elife	2021-07-01	8024021	introduction	ignore	6607	843	0
Elife	2021-07-01	8024021	results	ignore	43694	4924	0
Elife	2021-07-01	8024021	discussion	ignore	15052	2074	0
Elife	2021-07-01	8024021	methods	ignore	37401	3643	0
Elife	2021-07-01	8024021	sa1	ignore	5569	825	0
Elife	2021-07-01	8024021	sa2	ignore	11564	1640	0
Elife	2021-07-01	8024021	sa3	ignore	-1	-1	-1
Elife	2021-07-01	8024021	sa4	ignore	-1	-1	-1
Elife	2021-07-01	8024021	sa5	ignore	-1	-1	-1
Elife	2021-07-01	8024021	sa6	ignore	-1	-1	-1
Elife	2021-07-01	8110307	introduction	ignore	7533	903	0
Elife	2021-07-01	8110307	results	ignore	60680	7038	0
Elife	2021-07-01	8110307	discussion	ignore	21151	2679	0
Elife	2021-07-01	8110307	methods	ignore	52444	4770	0
Elife	2021-07-01	8110307	sa1	ignore	15351	2257	0
Elife	2021-07-01	8110307	sa2	ignore	24115	3446	0
Elife	2021-07-01	8110307	sa3	ignore	-1	-1	-1
Elife	2021-07-01	8110307	sa4	ignore	-1	-1	-1
Elife	2021-07-01	8110307	sa5	ignore	-1	-1	-1
Elife	2021-07-01	8110307	sa6	ignore	-1	-1	-1
