journal	date	pmc_id	paper_section	word	Nchar	Nwords	n
Elife	2021-07-01	8024024	introduction	inspect	4720	611	0
Elife	2021-07-01	8024024	results	inspect	36081	4053	0
Elife	2021-07-01	8024024	discussion	inspect	26097	2739	0
Elife	2021-07-01	8024024	methods	inspect	9771	1174	0
Elife	2021-07-01	8024024	sa1	inspect	5270	815	0
Elife	2021-07-01	8024024	sa2	inspect	8960	1382	0
Elife	2021-07-01	8024024	sa3	inspect	-1	-1	-1
Elife	2021-07-01	8024024	sa4	inspect	-1	-1	-1
Elife	2021-07-01	8024024	sa5	inspect	-1	-1	-1
Elife	2021-07-01	8024024	sa6	inspect	-1	-1	-1
Elife	2021-07-01	8087445	introduction	inspect	5093	644	0
Elife	2021-07-01	8087445	results	inspect	36411	4444	0
Elife	2021-07-01	8087445	discussion	inspect	8578	1107	0
Elife	2021-07-01	8087445	methods	inspect	29888	3641	0
Elife	2021-07-01	8087445	sa1	inspect	8566	1297	0
Elife	2021-07-01	8087445	sa2	inspect	78499	11580	0
Elife	2021-07-01	8087445	sa3	inspect	-1	-1	-1
Elife	2021-07-01	8087445	sa4	inspect	-1	-1	-1
Elife	2021-07-01	8087445	sa5	inspect	-1	-1	-1
Elife	2021-07-01	8087445	sa6	inspect	-1	-1	-1
Elife	2021-07-01	8096433	introduction	inspect	9572	1180	0
Elife	2021-07-01	8096433	results	inspect	61774	7677	0
Elife	2021-07-01	8096433	discussion	inspect	14271	1948	0
Elife	2021-07-01	8096433	methods	inspect	42423	4260	0
Elife	2021-07-01	8096433	sa1	inspect	4432	616	0
Elife	2021-07-01	8096433	sa2	inspect	6759	960	0
Elife	2021-07-01	8096433	sa3	inspect	-1	-1	-1
Elife	2021-07-01	8096433	sa4	inspect	-1	-1	-1
Elife	2021-07-01	8096433	sa5	inspect	-1	-1	-1
Elife	2021-07-01	8096433	sa6	inspect	-1	-1	-1
Elife	2021-07-01	8032397	introduction	inspect	8578	1083	0
Elife	2021-07-01	8032397	results	inspect	47031	6004	0
Elife	2021-07-01	8032397	discussion	inspect	10063	1416	0
Elife	2021-07-01	8032397	methods	inspect	15387	2293	0
Elife	2021-07-01	8032397	sa1	inspect	8821	1304	0
Elife	2021-07-01	8032397	sa2	inspect	20489	3027	0
Elife	2021-07-01	8032397	sa3	inspect	-1	-1	-1
Elife	2021-07-01	8032397	sa4	inspect	-1	-1	-1
Elife	2021-07-01	8032397	sa5	inspect	-1	-1	-1
Elife	2021-07-01	8032397	sa6	inspect	-1	-1	-1
Elife	2021-07-01	8087447	introduction	inspect	8013	1089	0
Elife	2021-07-01	8087447	results	inspect	74265	8817	0
Elife	2021-07-01	8087447	discussion	inspect	10524	1489	0
Elife	2021-07-01	8087447	methods	inspect	40120	4473	0
Elife	2021-07-01	8087447	sa1	inspect	12129	1838	0
Elife	2021-07-01	8087447	sa2	inspect	19027	2802	0
Elife	2021-07-01	8087447	sa3	inspect	-1	-1	-1
Elife	2021-07-01	8087447	sa4	inspect	-1	-1	-1
Elife	2021-07-01	8087447	sa5	inspect	-1	-1	-1
Elife	2021-07-01	8087447	sa6	inspect	-1	-1	-1
Elife	2021-07-01	8043743	introduction	inspect	6544	872	0
Elife	2021-07-01	8043743	results	inspect	25842	3400	0
Elife	2021-07-01	8043743	discussion	inspect	7666	1019	0
Elife	2021-07-01	8043743	methods	inspect	13531	1904	0
Elife	2021-07-01	8043743	sa1	inspect	6296	937	0
Elife	2021-07-01	8043743	sa2	inspect	5264	774	0
Elife	2021-07-01	8043743	sa3	inspect	-1	-1	-1
