journal	date	pmc_id	paper_section	word	Nchar	Nwords	n
Elife	2021-07-01	8024024	introduction	interpret	4720	611	0
Elife	2021-07-01	8024024	results	interpret	36081	4053	0
Elife	2021-07-01	8024024	discussion	interpret	26097	2739	0
Elife	2021-07-01	8024024	methods	interpret	9771	1174	0
Elife	2021-07-01	8024024	sa1	interpret	5270	815	0
Elife	2021-07-01	8024024	sa2	interpret	8960	1382	0
Elife	2021-07-01	8024024	sa3	interpret	-1	-1	-1
Elife	2021-07-01	8024024	sa4	interpret	-1	-1	-1
Elife	2021-07-01	8024024	sa5	interpret	-1	-1	-1
Elife	2021-07-01	8024024	sa6	interpret	-1	-1	-1
Elife	2021-07-01	8087445	introduction	interpret	5093	644	0
Elife	2021-07-01	8087445	results	interpret	36411	4444	0
Elife	2021-07-01	8087445	discussion	interpret	8578	1107	2
Elife	2021-07-01	8087445	methods	interpret	29888	3641	0
Elife	2021-07-01	8087445	sa1	interpret	8566	1297	1
Elife	2021-07-01	8087445	sa2	interpret	78499	11580	1
Elife	2021-07-01	8087445	sa3	interpret	-1	-1	-1
Elife	2021-07-01	8087445	sa4	interpret	-1	-1	-1
Elife	2021-07-01	8087445	sa5	interpret	-1	-1	-1
Elife	2021-07-01	8087445	sa6	interpret	-1	-1	-1
Elife	2021-07-01	8096433	introduction	interpret	9572	1180	0
Elife	2021-07-01	8096433	results	interpret	61774	7677	0
Elife	2021-07-01	8096433	discussion	interpret	14271	1948	0
Elife	2021-07-01	8096433	methods	interpret	42423	4260	0
Elife	2021-07-01	8096433	sa1	interpret	4432	616	1
Elife	2021-07-01	8096433	sa2	interpret	6759	960	1
Elife	2021-07-01	8096433	sa3	interpret	-1	-1	-1
Elife	2021-07-01	8096433	sa4	interpret	-1	-1	-1
Elife	2021-07-01	8096433	sa5	interpret	-1	-1	-1
Elife	2021-07-01	8096433	sa6	interpret	-1	-1	-1
Elife	2021-07-01	8032397	introduction	interpret	8578	1083	0
Elife	2021-07-01	8032397	results	interpret	47031	6004	0
Elife	2021-07-01	8032397	discussion	interpret	10063	1416	0
Elife	2021-07-01	8032397	methods	interpret	15387	2293	0
Elife	2021-07-01	8032397	sa1	interpret	8821	1304	0
Elife	2021-07-01	8032397	sa2	interpret	20489	3027	0
Elife	2021-07-01	8032397	sa3	interpret	-1	-1	-1
Elife	2021-07-01	8032397	sa4	interpret	-1	-1	-1
Elife	2021-07-01	8032397	sa5	interpret	-1	-1	-1
Elife	2021-07-01	8032397	sa6	interpret	-1	-1	-1
Elife	2021-07-01	8087447	introduction	interpret	8013	1089	0
Elife	2021-07-01	8087447	results	interpret	74265	8817	0
Elife	2021-07-01	8087447	discussion	interpret	10524	1489	0
Elife	2021-07-01	8087447	methods	interpret	40120	4473	0
Elife	2021-07-01	8087447	sa1	interpret	12129	1838	1
Elife	2021-07-01	8087447	sa2	interpret	19027	2802	1
Elife	2021-07-01	8087447	sa3	interpret	-1	-1	-1
Elife	2021-07-01	8087447	sa4	interpret	-1	-1	-1
Elife	2021-07-01	8087447	sa5	interpret	-1	-1	-1
Elife	2021-07-01	8087447	sa6	interpret	-1	-1	-1
Elife	2021-07-01	8043743	introduction	interpret	6544	872	0
Elife	2021-07-01	8043743	results	interpret	25842	3400	0
Elife	2021-07-01	8043743	discussion	interpret	7666	1019	0
Elife	2021-07-01	8043743	methods	interpret	13531	1904	1
