journal	date	pmc_id	paper_section	word	Nchar	Nwords	n
Elife	2021-07-01	8024024	introduction	investigate	4720	611	2
Elife	2021-07-01	8024024	results	investigate	36081	4053	3
Elife	2021-07-01	8024024	discussion	investigate	26097	2739	1
Elife	2021-07-01	8024024	methods	investigate	9771	1174	0
Elife	2021-07-01	8024024	sa1	investigate	5270	815	0
Elife	2021-07-01	8024024	sa2	investigate	8960	1382	0
Elife	2021-07-01	8024024	sa3	investigate	-1	-1	-1
Elife	2021-07-01	8024024	sa4	investigate	-1	-1	-1
Elife	2021-07-01	8024024	sa5	investigate	-1	-1	-1
Elife	2021-07-01	8024024	sa6	investigate	-1	-1	-1
Elife	2021-07-01	8087445	introduction	investigate	5093	644	2
Elife	2021-07-01	8087445	results	investigate	36411	4444	1
Elife	2021-07-01	8087445	discussion	investigate	8578	1107	0
Elife	2021-07-01	8087445	methods	investigate	29888	3641	2
Elife	2021-07-01	8087445	sa1	investigate	8566	1297	0
Elife	2021-07-01	8087445	sa2	investigate	78499	11580	3
Elife	2021-07-01	8087445	sa3	investigate	-1	-1	-1
Elife	2021-07-01	8087445	sa4	investigate	-1	-1	-1
Elife	2021-07-01	8087445	sa5	investigate	-1	-1	-1
Elife	2021-07-01	8087445	sa6	investigate	-1	-1	-1
Elife	2021-07-01	8096433	introduction	investigate	9572	1180	0
Elife	2021-07-01	8096433	results	investigate	61774	7677	3
Elife	2021-07-01	8096433	discussion	investigate	14271	1948	0
Elife	2021-07-01	8096433	methods	investigate	42423	4260	0
Elife	2021-07-01	8096433	sa1	investigate	4432	616	0
Elife	2021-07-01	8096433	sa2	investigate	6759	960	1
Elife	2021-07-01	8096433	sa3	investigate	-1	-1	-1
Elife	2021-07-01	8096433	sa4	investigate	-1	-1	-1
Elife	2021-07-01	8096433	sa5	investigate	-1	-1	-1
Elife	2021-07-01	8096433	sa6	investigate	-1	-1	-1
Elife	2021-07-01	8032397	introduction	investigate	8578	1083	0
Elife	2021-07-01	8032397	results	investigate	47031	6004	1
Elife	2021-07-01	8032397	discussion	investigate	10063	1416	0
Elife	2021-07-01	8032397	methods	investigate	15387	2293	0
Elife	2021-07-01	8032397	sa1	investigate	8821	1304	0
Elife	2021-07-01	8032397	sa2	investigate	20489	3027	1
Elife	2021-07-01	8032397	sa3	investigate	-1	-1	-1
Elife	2021-07-01	8032397	sa4	investigate	-1	-1	-1
Elife	2021-07-01	8032397	sa5	investigate	-1	-1	-1
Elife	2021-07-01	8032397	sa6	investigate	-1	-1	-1
Elife	2021-07-01	8087447	introduction	investigate	8013	1089	2
Elife	2021-07-01	8087447	results	investigate	74265	8817	5
Elife	2021-07-01	8087447	discussion	investigate	10524	1489	1
Elife	2021-07-01	8087447	methods	investigate	40120	4473	1
Elife	2021-07-01	8087447	sa1	investigate	12129	1838	2
Elife	2021-07-01	8087447	sa2	investigate	19027	2802	2
Elife	2021-07-01	8087447	sa3	investigate	-1	-1	-1
Elife	2021-07-01	8087447	sa4	investigate	-1	-1	-1
Elife	2021-07-01	8087447	sa5	investigate	-1	-1	-1
Elife	2021-07-01	8087447	sa6	investigate	-1	-1	-1
Elife	2021-07-01	8043743	introduction	investigate	6544	872	0
Elife	2021-07-01	8043743	results	investigate	25842	3400	1
Elife	2021-07-01	8043743	discussion	investigate	7666	1019	0
Elife	2021-07-01	8043743	methods	investigate	13531	1904	0
Elife	2021-07-01	8043743	sa1	investigate	6296	937	0
Elife	2021-07-01	8043743	sa2	investigate	5264	774	0
Elife	2021-07-01	8043743	sa3	investigate	-1	-1	-1
