journal	date	pmc_id	paper_section	word	Nchar	Nwords	n
Elife	2021-07-01	8024024	introduction	omit	4720	611	0
Elife	2021-07-01	8024024	results	omit	36081	4053	0
Elife	2021-07-01	8024024	discussion	omit	26097	2739	0
Elife	2021-07-01	8024024	methods	omit	9771	1174	0
Elife	2021-07-01	8024024	sa1	omit	5270	815	0
Elife	2021-07-01	8024024	sa2	omit	8960	1382	1
Elife	2021-07-01	8024024	sa3	omit	-1	-1	-1
Elife	2021-07-01	8024024	sa4	omit	-1	-1	-1
Elife	2021-07-01	8024024	sa5	omit	-1	-1	-1
Elife	2021-07-01	8024024	sa6	omit	-1	-1	-1
Elife	2021-07-01	8087445	introduction	omit	5093	644	0
Elife	2021-07-01	8087445	results	omit	36411	4444	0
Elife	2021-07-01	8087445	discussion	omit	8578	1107	0
Elife	2021-07-01	8087445	methods	omit	29888	3641	0
Elife	2021-07-01	8087445	sa1	omit	8566	1297	0
Elife	2021-07-01	8087445	sa2	omit	78499	11580	1
Elife	2021-07-01	8087445	sa3	omit	-1	-1	-1
Elife	2021-07-01	8087445	sa4	omit	-1	-1	-1
Elife	2021-07-01	8087445	sa5	omit	-1	-1	-1
Elife	2021-07-01	8087445	sa6	omit	-1	-1	-1
Elife	2021-07-01	8096433	introduction	omit	9572	1180	0
Elife	2021-07-01	8096433	results	omit	61774	7677	1
Elife	2021-07-01	8096433	discussion	omit	14271	1948	0
Elife	2021-07-01	8096433	methods	omit	42423	4260	0
Elife	2021-07-01	8096433	sa1	omit	4432	616	0
Elife	2021-07-01	8096433	sa2	omit	6759	960	0
Elife	2021-07-01	8096433	sa3	omit	-1	-1	-1
Elife	2021-07-01	8096433	sa4	omit	-1	-1	-1
Elife	2021-07-01	8096433	sa5	omit	-1	-1	-1
Elife	2021-07-01	8096433	sa6	omit	-1	-1	-1
Elife	2021-07-01	8032397	introduction	omit	8578	1083	0
Elife	2021-07-01	8032397	results	omit	47031	6004	0
Elife	2021-07-01	8032397	discussion	omit	10063	1416	0
Elife	2021-07-01	8032397	methods	omit	15387	2293	0
Elife	2021-07-01	8032397	sa1	omit	8821	1304	0
Elife	2021-07-01	8032397	sa2	omit	20489	3027	0
Elife	2021-07-01	8032397	sa3	omit	-1	-1	-1
Elife	2021-07-01	8032397	sa4	omit	-1	-1	-1
Elife	2021-07-01	8032397	sa5	omit	-1	-1	-1
Elife	2021-07-01	8032397	sa6	omit	-1	-1	-1
Elife	2021-07-01	8087447	introduction	omit	8013	1089	0
Elife	2021-07-01	8087447	results	omit	74265	8817	0
Elife	2021-07-01	8087447	discussion	omit	10524	1489	0
Elife	2021-07-01	8087447	methods	omit	40120	4473	0
Elife	2021-07-01	8087447	sa1	omit	12129	1838	0
Elife	2021-07-01	8087447	sa2	omit	19027	2802	0
Elife	2021-07-01	8087447	sa3	omit	-1	-1	-1
Elife	2021-07-01	8087447	sa4	omit	-1	-1	-1
Elife	2021-07-01	8087447	sa5	omit	-1	-1	-1
Elife	2021-07-01	8087447	sa6	omit	-1	-1	-1
Elife	2021-07-01	8043743	introduction	omit	6544	872	0
Elife	2021-07-01	8043743	results	omit	25842	3400	0
Elife	2021-07-01	8043743	discussion	omit	7666	1019	0
Elife	2021-07-01	8043743	methods	omit	13531	1904	0
Elife	2021-07-01	8043743	sa1	omit	6296	937	0
Elife	2021-07-01	8043743	sa2	omit	5264	774	0
Elife	2021-07-01	8043743	sa3	omit	-1	-1	-1
Elife	2021-07-01	8043743	sa4	omit	-1	-1	-1
Elife	2021-07-01	8043743	sa5	omit	-1	-1	-1
Elife	2021-07-01	8043743	sa6	omit	-1	-1	-1
Elife	2021-07-01	8116059	introduction	omit	14035	1799	0
Elife	2021-07-01	8116059	results	omit	76577	9374	0
Elife	2021-07-01	8116059	discussion	omit	21587	3011	0
Elife	2021-07-01	8116059	methods	omit	27434	2749	0
Elife	2021-07-01	8116059	sa1	omit	17515	2663	0
Elife	2021-07-01	8116059	sa2	omit	26598	4115	1
Elife	2021-07-01	8116059	sa3	omit	-1	-1	-1
Elife	2021-07-01	8116059	sa4	omit	-1	-1	-1
Elife	2021-07-01	8116059	sa5	omit	-1	-1	-1
Elife	2021-07-01	8116059	sa6	omit	-1	-1	-1
Elife	2021-07-01	8049743	introduction	omit	5040	607	0
Elife	2021-07-01	8049743	results	omit	44364	5263	0
Elife	2021-07-01	8049743	discussion	omit	13103	1769	0
