journal	date	pmc_id	paper_section	word	Nchar	Nwords	n
Elife	2021-07-01	8024024	introduction	overlook	4720	611	0
Elife	2021-07-01	8024024	results	overlook	36081	4053	0
Elife	2021-07-01	8024024	discussion	overlook	26097	2739	0
Elife	2021-07-01	8024024	methods	overlook	9771	1174	0
Elife	2021-07-01	8024024	sa1	overlook	5270	815	0
Elife	2021-07-01	8024024	sa2	overlook	8960	1382	0
Elife	2021-07-01	8024024	sa3	overlook	-1	-1	-1
Elife	2021-07-01	8024024	sa4	overlook	-1	-1	-1
Elife	2021-07-01	8024024	sa5	overlook	-1	-1	-1
Elife	2021-07-01	8024024	sa6	overlook	-1	-1	-1
Elife	2021-07-01	8087445	introduction	overlook	5093	644	0
Elife	2021-07-01	8087445	results	overlook	36411	4444	0
Elife	2021-07-01	8087445	discussion	overlook	8578	1107	0
Elife	2021-07-01	8087445	methods	overlook	29888	3641	0
Elife	2021-07-01	8087445	sa1	overlook	8566	1297	0
Elife	2021-07-01	8087445	sa2	overlook	78499	11580	0
Elife	2021-07-01	8087445	sa3	overlook	-1	-1	-1
Elife	2021-07-01	8087445	sa4	overlook	-1	-1	-1
Elife	2021-07-01	8087445	sa5	overlook	-1	-1	-1
Elife	2021-07-01	8087445	sa6	overlook	-1	-1	-1
Elife	2021-07-01	8096433	introduction	overlook	9572	1180	0
Elife	2021-07-01	8096433	results	overlook	61774	7677	0
Elife	2021-07-01	8096433	discussion	overlook	14271	1948	0
Elife	2021-07-01	8096433	methods	overlook	42423	4260	0
Elife	2021-07-01	8096433	sa1	overlook	4432	616	0
Elife	2021-07-01	8096433	sa2	overlook	6759	960	0
Elife	2021-07-01	8096433	sa3	overlook	-1	-1	-1
Elife	2021-07-01	8096433	sa4	overlook	-1	-1	-1
Elife	2021-07-01	8096433	sa5	overlook	-1	-1	-1
Elife	2021-07-01	8096433	sa6	overlook	-1	-1	-1
Elife	2021-07-01	8032397	introduction	overlook	8578	1083	0
Elife	2021-07-01	8032397	results	overlook	47031	6004	0
Elife	2021-07-01	8032397	discussion	overlook	10063	1416	0
Elife	2021-07-01	8032397	methods	overlook	15387	2293	0
Elife	2021-07-01	8032397	sa1	overlook	8821	1304	0
Elife	2021-07-01	8032397	sa2	overlook	20489	3027	0
Elife	2021-07-01	8032397	sa3	overlook	-1	-1	-1
Elife	2021-07-01	8032397	sa4	overlook	-1	-1	-1
Elife	2021-07-01	8032397	sa5	overlook	-1	-1	-1
Elife	2021-07-01	8032397	sa6	overlook	-1	-1	-1
Elife	2021-07-01	8087447	introduction	overlook	8013	1089	0
Elife	2021-07-01	8087447	results	overlook	74265	8817	0
Elife	2021-07-01	8087447	discussion	overlook	10524	1489	0
Elife	2021-07-01	8087447	methods	overlook	40120	4473	0
Elife	2021-07-01	8087447	sa1	overlook	12129	1838	0
Elife	2021-07-01	8087447	sa2	overlook	19027	2802	0
Elife	2021-07-01	8087447	sa3	overlook	-1	-1	-1
Elife	2021-07-01	8087447	sa4	overlook	-1	-1	-1
Elife	2021-07-01	8087447	sa5	overlook	-1	-1	-1
Elife	2021-07-01	8087447	sa6	overlook	-1	-1	-1
Elife	2021-07-01	8043743	introduction	overlook	6544	872	0
Elife	2021-07-01	8043743	results	overlook	25842	3400	0
Elife	2021-07-01	8043743	discussion	overlook	7666	1019	0
Elife	2021-07-01	8043743	methods	overlook	13531	1904	0
Elife	2021-07-01	8043743	sa1	overlook	6296	937	0
