journal	date	pmc_id	paper_section	word	Nchar	Nwords	n
Elife	2021-07-01	8024024	introduction	ponder	4720	611	0
Elife	2021-07-01	8024024	results	ponder	36081	4053	0
Elife	2021-07-01	8024024	discussion	ponder	26097	2739	0
Elife	2021-07-01	8024024	methods	ponder	9771	1174	0
Elife	2021-07-01	8024024	sa1	ponder	5270	815	0
Elife	2021-07-01	8024024	sa2	ponder	8960	1382	0
Elife	2021-07-01	8024024	sa3	ponder	-1	-1	-1
Elife	2021-07-01	8024024	sa4	ponder	-1	-1	-1
Elife	2021-07-01	8024024	sa5	ponder	-1	-1	-1
Elife	2021-07-01	8024024	sa6	ponder	-1	-1	-1
Elife	2021-07-01	8087445	introduction	ponder	5093	644	0
Elife	2021-07-01	8087445	results	ponder	36411	4444	0
Elife	2021-07-01	8087445	discussion	ponder	8578	1107	0
Elife	2021-07-01	8087445	methods	ponder	29888	3641	0
Elife	2021-07-01	8087445	sa1	ponder	8566	1297	0
Elife	2021-07-01	8087445	sa2	ponder	78499	11580	0
Elife	2021-07-01	8087445	sa3	ponder	-1	-1	-1
Elife	2021-07-01	8087445	sa4	ponder	-1	-1	-1
Elife	2021-07-01	8087445	sa5	ponder	-1	-1	-1
Elife	2021-07-01	8087445	sa6	ponder	-1	-1	-1
Elife	2021-07-01	8096433	introduction	ponder	9572	1180	0
Elife	2021-07-01	8096433	results	ponder	61774	7677	0
Elife	2021-07-01	8096433	discussion	ponder	14271	1948	0
Elife	2021-07-01	8096433	methods	ponder	42423	4260	0
Elife	2021-07-01	8096433	sa1	ponder	4432	616	0
Elife	2021-07-01	8096433	sa2	ponder	6759	960	0
Elife	2021-07-01	8096433	sa3	ponder	-1	-1	-1
Elife	2021-07-01	8096433	sa4	ponder	-1	-1	-1
Elife	2021-07-01	8096433	sa5	ponder	-1	-1	-1
Elife	2021-07-01	8096433	sa6	ponder	-1	-1	-1
Elife	2021-07-01	8032397	introduction	ponder	8578	1083	0
Elife	2021-07-01	8032397	results	ponder	47031	6004	0
Elife	2021-07-01	8032397	discussion	ponder	10063	1416	0
Elife	2021-07-01	8032397	methods	ponder	15387	2293	0
Elife	2021-07-01	8032397	sa1	ponder	8821	1304	0
Elife	2021-07-01	8032397	sa2	ponder	20489	3027	0
Elife	2021-07-01	8032397	sa3	ponder	-1	-1	-1
Elife	2021-07-01	8032397	sa4	ponder	-1	-1	-1
Elife	2021-07-01	8032397	sa5	ponder	-1	-1	-1
Elife	2021-07-01	8032397	sa6	ponder	-1	-1	-1
Elife	2021-07-01	8087447	introduction	ponder	8013	1089	0
Elife	2021-07-01	8087447	results	ponder	74265	8817	0
