journal	date	pmc_id	paper_section	word	Nchar	Nwords	n
Elife	2021-07-01	8024024	introduction	reason	4720	611	0
Elife	2021-07-01	8024024	results	reason	36081	4053	0
Elife	2021-07-01	8024024	discussion	reason	26097	2739	0
Elife	2021-07-01	8024024	methods	reason	9771	1174	0
Elife	2021-07-01	8024024	sa1	reason	5270	815	0
Elife	2021-07-01	8024024	sa2	reason	8960	1382	0
Elife	2021-07-01	8024024	sa3	reason	-1	-1	-1
Elife	2021-07-01	8024024	sa4	reason	-1	-1	-1
Elife	2021-07-01	8024024	sa5	reason	-1	-1	-1
Elife	2021-07-01	8024024	sa6	reason	-1	-1	-1
Elife	2021-07-01	8087445	introduction	reason	5093	644	0
Elife	2021-07-01	8087445	results	reason	36411	4444	0
Elife	2021-07-01	8087445	discussion	reason	8578	1107	0
Elife	2021-07-01	8087445	methods	reason	29888	3641	0
Elife	2021-07-01	8087445	sa1	reason	8566	1297	0
Elife	2021-07-01	8087445	sa2	reason	78499	11580	2
Elife	2021-07-01	8087445	sa3	reason	-1	-1	-1
Elife	2021-07-01	8087445	sa4	reason	-1	-1	-1
Elife	2021-07-01	8087445	sa5	reason	-1	-1	-1
Elife	2021-07-01	8087445	sa6	reason	-1	-1	-1
Elife	2021-07-01	8096433	introduction	reason	9572	1180	0
Elife	2021-07-01	8096433	results	reason	61774	7677	0
Elife	2021-07-01	8096433	discussion	reason	14271	1948	0
Elife	2021-07-01	8096433	methods	reason	42423	4260	0
Elife	2021-07-01	8096433	sa1	reason	4432	616	0
Elife	2021-07-01	8096433	sa2	reason	6759	960	0
Elife	2021-07-01	8096433	sa3	reason	-1	-1	-1
Elife	2021-07-01	8096433	sa4	reason	-1	-1	-1
Elife	2021-07-01	8096433	sa5	reason	-1	-1	-1
Elife	2021-07-01	8096433	sa6	reason	-1	-1	-1
Elife	2021-07-01	8032397	introduction	reason	8578	1083	0
Elife	2021-07-01	8032397	results	reason	47031	6004	0
Elife	2021-07-01	8032397	discussion	reason	10063	1416	0
Elife	2021-07-01	8032397	methods	reason	15387	2293	0
Elife	2021-07-01	8032397	sa1	reason	8821	1304	0
Elife	2021-07-01	8032397	sa2	reason	20489	3027	0
Elife	2021-07-01	8032397	sa3	reason	-1	-1	-1
Elife	2021-07-01	8032397	sa4	reason	-1	-1	-1
Elife	2021-07-01	8032397	sa5	reason	-1	-1	-1
Elife	2021-07-01	8032397	sa6	reason	-1	-1	-1
Elife	2021-07-01	8087447	introduction	reason	8013	1089	0
Elife	2021-07-01	8087447	results	reason	74265	8817	0
Elife	2021-07-01	8087447	discussion	reason	10524	1489	0
Elife	2021-07-01	8087447	methods	reason	40120	4473	0
Elife	2021-07-01	8087447	sa1	reason	12129	1838	0
Elife	2021-07-01	8087447	sa2	reason	19027	2802	0
Elife	2021-07-01	8087447	sa3	reason	-1	-1	-1
Elife	2021-07-01	8087447	sa4	reason	-1	-1	-1
Elife	2021-07-01	8087447	sa5	reason	-1	-1	-1
Elife	2021-07-01	8087447	sa6	reason	-1	-1	-1
Elife	2021-07-01	8043743	introduction	reason	6544	872	0
Elife	2021-07-01	8043743	results	reason	25842	3400	0
Elife	2021-07-01	8043743	discussion	reason	7666	1019	0
Elife	2021-07-01	8043743	methods	reason	13531	1904	0
Elife	2021-07-01	8043743	sa1	reason	6296	937	0
Elife	2021-07-01	8043743	sa2	reason	5264	774	0
Elife	2021-07-01	8043743	sa3	reason	-1	-1	-1
Elife	2021-07-01	8043743	sa4	reason	-1	-1	-1
Elife	2021-07-01	8043743	sa5	reason	-1	-1	-1
Elife	2021-07-01	8043743	sa6	reason	-1	-1	-1
Elife	2021-07-01	8116059	introduction	reason	14035	1799	0
Elife	2021-07-01	8116059	results	reason	76577	9374	0
Elife	2021-07-01	8116059	discussion	reason	21587	3011	0
Elife	2021-07-01	8116059	methods	reason	27434	2749	0
Elife	2021-07-01	8116059	sa1	reason	17515	2663	0
Elife	2021-07-01	8116059	sa2	reason	26598	4115	1
Elife	2021-07-01	8116059	sa3	reason	-1	-1	-1
Elife	2021-07-01	8116059	sa4	reason	-1	-1	-1
Elife	2021-07-01	8116059	sa5	reason	-1	-1	-1
Elife	2021-07-01	8116059	sa6	reason	-1	-1	-1
Elife	2021-07-01	8049743	introduction	reason	5040	607	0
Elife	2021-07-01	8049743	results	reason	44364	5263	0
Elife	2021-07-01	8049743	discussion	reason	13103	1769	0
Elife	2021-07-01	8049743	methods	reason	16667	2344	0
Elife	2021-07-01	8049743	sa1	reason	5046	731	0
Elife	2021-07-01	8049743	sa2	reason	5360	794	0
Elife	2021-07-01	8049743	sa3	reason	-1	-1	-1
Elife	2021-07-01	8049743	sa4	reason	-1	-1	-1
Elife	2021-07-01	8049743	sa5	reason	-1	-1	-1
Elife	2021-07-01	8049743	sa6	reason	-1	-1	-1
Elife	2021-07-01	8024021	introduction	reason	6607	843	0
Elife	2021-07-01	8024021	results	reason	43694	4924	0
Elife	2021-07-01	8024021	discussion	reason	15052	2074	0
Elife	2021-07-01	8024021	methods	reason	37401	3643	0
Elife	2021-07-01	8024021	sa1	reason	5569	825	0
Elife	2021-07-01	8024021	sa2	reason	11564	1640	0
Elife	2021-07-01	8024021	sa3	reason	-1	-1	-1
Elife	2021-07-01	8024021	sa4	reason	-1	-1	-1
Elife	2021-07-01	8024021	sa5	reason	-1	-1	-1
Elife	2021-07-01	8024021	sa6	reason	-1	-1	-1
Elife	2021-07-01	8110307	introduction	reason	7533	903	0
Elife	2021-07-01	8110307	results	reason	60680	7038	0
Elife	2021-07-01	8110307	discussion	reason	21151	2679	0
Elife	2021-07-01	8110307	methods	reason	52444	4770	0
Elife	2021-07-01	8110307	sa1	reason	15351	2257	0
Elife	2021-07-01	8110307	sa2	reason	24115	3446	0
Elife	2021-07-01	8110307	sa3	reason	-1	-1	-1
Elife	2021-07-01	8110307	sa4	reason	-1	-1	-1
Elife	2021-07-01	8110307	sa5	reason	-1	-1	-1
Elife	2021-07-01	8110307	sa6	reason	-1	-1	-1
Elife	2021-07-01	8057812	introduction	reason	4811	573	0
Elife	2021-07-01	8057812	results	reason	45587	5547	0
Elife	2021-07-01	8057812	discussion	reason	6298	877	0
Elife	2021-07-01	8057812	methods	reason	29552	3547	0
Elife	2021-07-01	8057812	sa1	reason	17567	2720	0
Elife	2021-07-01	8057812	sa2	reason	28236	4259	0
Elife	2021-07-01	8057812	sa3	reason	-1	-1	-1
Elife	2021-07-01	8057812	sa4	reason	-1	-1	-1
Elife	2021-07-01	8057812	sa5	reason	-1	-1	-1
Elife	2021-07-01	8057812	sa6	reason	-1	-1	-1
Elife	2021-07-01	8102064	introduction	reason	72456	6059	0
Elife	2021-07-01	8102064	results	reason	38196	4299	0
Elife	2021-07-01	8102064	discussion	reason	21224	2794	1
Elife	2021-07-01	8102064	methods	reason	68325	3956	0
Elife	2021-07-01	8102064	sa1	reason	15024	2298	1
Elife	2021-07-01	8102064	sa2	reason	24755	3834	1
Elife	2021-07-01	8102064	sa3	reason	-1	-1	-1
Elife	2021-07-01	8102064	sa4	reason	-1	-1	-1
Elife	2021-07-01	8102064	sa5	reason	-1	-1	-1
Elife	2021-07-01	8102064	sa6	reason	-1	-1	-1
Elife	2021-07-01	8064747	introduction	reason	1901	247	0
Elife	2021-07-01	8064747	results	reason	9753	1037	0
Elife	2021-07-01	8064747	discussion	reason	2881	384	0
Elife	2021-07-01	8064747	methods	reason	-1	-1	-1
Elife	2021-07-01	8064747	sa1	reason	1365	172	0
Elife	2021-07-01	8064747	sa2	reason	44923	6885	3
Elife	2021-07-01	8064747	sa3	reason	-1	-1	-1
Elife	2021-07-01	8064747	sa4	reason	-1	-1	-1
Elife	2021-07-01	8064747	sa5	reason	-1	-1	-1
Elife	2021-07-01	8064747	sa6	reason	-1	-1	-1
Elife	2021-07-01	8051950	introduction	reason	6778	767	0
Elife	2021-07-01	8051950	results	reason	21694	2987	0
Elife	2021-07-01	8051950	discussion	reason	27259	3409	0
Elife	2021-07-01	8051950	methods	reason	24057	3204	3
Elife	2021-07-01	8051950	sa1	reason	10384	1670	0
Elife	2021-07-01	8051950	sa2	reason	40337	5969	3
Elife	2021-07-01	8051950	sa3	reason	-1	-1	-1
Elife	2021-07-01	8051950	sa4	reason	-1	-1	-1
Elife	2021-07-01	8051950	sa5	reason	-1	-1	-1
Elife	2021-07-01	8051950	sa6	reason	-1	-1	-1
Elife	2021-07-01	8032402	introduction	reason	8831	1041	0
Elife	2021-07-01	8032402	results	reason	47392	5947	0
Elife	2021-07-01	8032402	discussion	reason	16980	2265	0
Elife	2021-07-01	8032402	methods	reason	26071	2059	0
Elife	2021-07-01	8032402	sa1	reason	11153	1664	0
Elife	2021-07-01	8032402	sa2	reason	17437	2635	1
Elife	2021-07-01	8032402	sa3	reason	-1	-1	-1
Elife	2021-07-01	8032402	sa4	reason	-1	-1	-1
Elife	2021-07-01	8032402	sa5	reason	-1	-1	-1
Elife	2021-07-01	8032402	sa6	reason	-1	-1	-1
Elife	2021-07-01	8075579	introduction	reason	13427	1640	1
Elife	2021-07-01	8075579	results	reason	50516	6508	1
Elife	2021-07-01	8075579	discussion	reason	10700	1422	0
Elife	2021-07-01	8075579	methods	reason	17616	2309	0
Elife	2021-07-01	8075579	sa1	reason	24048	3501	0
Elife	2021-07-01	8075579	sa2	reason	29246	4394	0
Elife	2021-07-01	8075579	sa3	reason	-1	-1	-1
Elife	2021-07-01	8075579	sa4	reason	-1	-1	-1
Elife	2021-07-01	8075579	sa5	reason	-1	-1	-1
Elife	2021-07-01	8075579	sa6	reason	-1	-1	-1
Elife	2021-07-01	8064750	introduction	reason	5594	679	0
Elife	2021-07-01	8064750	results	reason	45963	5562	0
Elife	2021-07-01	8064750	discussion	reason	17282	2232	1
Elife	2021-07-01	8064750	methods	reason	25444	3007	0
Elife	2021-07-01	8064750	sa1	reason	21364	3266	0
Elife	2021-07-01	8064750	sa2	reason	53688	8169	4
Elife	2021-07-01	8064750	sa3	reason	-1	-1	-1
Elife	2021-07-01	8064750	sa4	reason	-1	-1	-1
Elife	2021-07-01	8064750	sa5	reason	-1	-1	-1
Elife	2021-07-01	8064750	sa6	reason	-1	-1	-1
Elife	2021-07-01	8062133	introduction	reason	10996	1442	0
Elife	2021-07-01	8062133	results	reason	30440	3405	0
Elife	2021-07-01	8062133	discussion	reason	10887	1538	0
Elife	2021-07-01	8062133	methods	reason	19012	2384	0
Elife	2021-07-01	8062133	sa1	reason	5471	836	0
Elife	2021-07-01	8062133	sa2	reason	6632	964	0
Elife	2021-07-01	8062133	sa3	reason	-1	-1	-1
Elife	2021-07-01	8062133	sa4	reason	-1	-1	-1
Elife	2021-07-01	8062133	sa5	reason	-1	-1	-1
Elife	2021-07-01	8062133	sa6	reason	-1	-1	-1
Elife	2021-07-01	8060034	introduction	reason	14022	1837	0
Elife	2021-07-01	8060034	results	reason	46363	6202	1
Elife	2021-07-01	8060034	discussion	reason	15900	2088	0
Elife	2021-07-01	8060034	methods	reason	27965	3921	1
Elife	2021-07-01	8060034	sa1	reason	13145	2018	1
Elife	2021-07-01	8060034	sa2	reason	54445	8081	5
Elife	2021-07-01	8060034	sa3	reason	-1	-1	-1
Elife	2021-07-01	8060034	sa4	reason	-1	-1	-1
Elife	2021-07-01	8060034	sa5	reason	-1	-1	-1
Elife	2021-07-01	8060034	sa6	reason	-1	-1	-1
Elife	2021-07-01	8024005	introduction	reason	-1	-1	-1
Elife	2021-07-01	8024005	results	reason	-1	-1	-1
Elife	2021-07-01	8024005	discussion	reason	-1	-1	-1
Elife	2021-07-01	8024005	methods	reason	-1	-1	-1
Elife	2021-07-01	8024005	sa1	reason	-1	-1	-1
Elife	2021-07-01	8024005	sa2	reason	-1	-1	-1
Elife	2021-07-01	8024005	sa3	reason	-1	-1	-1
Elife	2021-07-01	8024005	sa4	reason	-1	-1	-1
Elife	2021-07-01	8024005	sa5	reason	-1	-1	-1
Elife	2021-07-01	8024005	sa6	reason	-1	-1	-1
Elife	2021-07-01	8137144	introduction	reason	4816	608	0
Elife	2021-07-01	8137144	results	reason	70258	8541	0
Elife	2021-07-01	8137144	discussion	reason	9126	1265	0
Elife	2021-07-01	8137144	methods	reason	23734	3006	0
Elife	2021-07-01	8137144	sa1	reason	8912	1302	0
Elife	2021-07-01	8137144	sa2	reason	16247	2403	0
Elife	2021-07-01	8137144	sa3	reason	-1	-1	-1
Elife	2021-07-01	8137144	sa4	reason	-1	-1	-1
Elife	2021-07-01	8137144	sa5	reason	-1	-1	-1
Elife	2021-07-01	8137144	sa6	reason	-1	-1	-1
Elife	2021-07-01	8024007	introduction	reason	3141	369	0
Elife	2021-07-01	8024007	results	reason	39206	4446	0
Elife	2021-07-01	8024007	discussion	reason	9569	1173	0
Elife	2021-07-01	8024007	methods	reason	10454	1336	0
Elife	2021-07-01	8024007	sa1	reason	9549	1373	0
Elife	2021-07-01	8024007	sa2	reason	9006	1294	0
Elife	2021-07-01	8024007	sa3	reason	-1	-1	-1
Elife	2021-07-01	8024007	sa4	reason	-1	-1	-1
Elife	2021-07-01	8024007	sa5	reason	-1	-1	-1
Elife	2021-07-01	8024007	sa6	reason	-1	-1	-1
Elife	2021-07-01	8102067	introduction	reason	6350	758	0
Elife	2021-07-01	8102067	results	reason	103141	12201	0
Elife	2021-07-01	8102067	discussion	reason	14899	1938	0
Elife	2021-07-01	8102067	methods	reason	65218	6726	0
Elife	2021-07-01	8102067	sa1	reason	4358	608	0
Elife	2021-07-01	8102067	sa2	reason	10259	1462	0
Elife	2021-07-01	8102067	sa3	reason	-1	-1	-1
Elife	2021-07-01	8102067	sa4	reason	-1	-1	-1
Elife	2021-07-01	8102067	sa5	reason	-1	-1	-1
Elife	2021-07-01	8102067	sa6	reason	-1	-1	-1
Elife	2021-07-01	8184215	introduction	reason	7597	922	0
Elife	2021-07-01	8184215	results	reason	177810	9933	0
Elife	2021-07-01	8184215	discussion	reason	26985	2852	1
Elife	2021-07-01	8184215	methods	reason	146462	6239	1
Elife	2021-07-01	8184215	sa1	reason	28275	4433	1
Elife	2021-07-01	8184215	sa2	reason	89488	13577	3
Elife	2021-07-01	8184215	sa3	reason	-1	-1	-1
Elife	2021-07-01	8184215	sa4	reason	-1	-1	-1
Elife	2021-07-01	8184215	sa5	reason	-1	-1	-1
Elife	2021-07-01	8184215	sa6	reason	-1	-1	-1
Elife	2021-07-01	8025657	introduction	reason	8449	980	0
Elife	2021-07-01	8025657	results	reason	56638	7593	0
Elife	2021-07-01	8025657	discussion	reason	9374	1251	0
Elife	2021-07-01	8025657	methods	reason	78906	4653	0
Elife	2021-07-01	8025657	sa1	reason	10568	1638	0
Elife	2021-07-01	8025657	sa2	reason	25591	3961	0
Elife	2021-07-01	8025657	sa3	reason	-1	-1	-1
Elife	2021-07-01	8025657	sa4	reason	-1	-1	-1
Elife	2021-07-01	8025657	sa5	reason	-1	-1	-1
Elife	2021-07-01	8025657	sa6	reason	-1	-1	-1
Elife	2021-07-01	8043745	introduction	reason	-1	-1	-1
Elife	2021-07-01	8043745	results	reason	-1	-1	-1
Elife	2021-07-01	8043745	discussion	reason	-1	-1	-1
Elife	2021-07-01	8043745	methods	reason	-1	-1	-1
Elife	2021-07-01	8043745	sa1	reason	-1	-1	-1
Elife	2021-07-01	8043745	sa2	reason	-1	-1	-1
Elife	2021-07-01	8043745	sa3	reason	-1	-1	-1
Elife	2021-07-01	8043745	sa4	reason	-1	-1	-1
Elife	2021-07-01	8043745	sa5	reason	-1	-1	-1
Elife	2021-07-01	8043745	sa6	reason	-1	-1	-1
Elife	2021-07-01	8043748	introduction	reason	3909	496	0
Elife	2021-07-01	8043748	results	reason	26887	3464	0
Elife	2021-07-01	8043748	discussion	reason	14010	1833	0
Elife	2021-07-01	8043748	methods	reason	31038	3934	0
Elife	2021-07-01	8043748	sa1	reason	5999	906	0
Elife	2021-07-01	8043748	sa2	reason	13409	1987	0
Elife	2021-07-01	8043748	sa3	reason	-1	-1	-1
Elife	2021-07-01	8043748	sa4	reason	-1	-1	-1
Elife	2021-07-01	8043748	sa5	reason	-1	-1	-1
Elife	2021-07-01	8043748	sa6	reason	-1	-1	-1
Elife	2021-07-01	8034981	introduction	reason	22604	2532	0
Elife	2021-07-01	8034981	results	reason	47484	5905	2
Elife	2021-07-01	8034981	discussion	reason	5913	763	0
Elife	2021-07-01	8034981	methods	reason	142057	14788	0
Elife	2021-07-01	8034981	sa1	reason	5030	755	1
Elife	2021-07-01	8034981	sa2	reason	7995	1203	1
Elife	2021-07-01	8034981	sa3	reason	-1	-1	-1
Elife	2021-07-01	8034981	sa4	reason	-1	-1	-1
Elife	2021-07-01	8034981	sa5	reason	-1	-1	-1
Elife	2021-07-01	8034981	sa6	reason	-1	-1	-1
Elife	2021-07-01	8046433	introduction	reason	5366	659	0
Elife	2021-07-01	8046433	results	reason	39836	5158	0
Elife	2021-07-01	8046433	discussion	reason	25892	3276	0
Elife	2021-07-01	8046433	methods	reason	20018	2372	0
Elife	2021-07-01	8046433	sa1	reason	10633	1599	0
Elife	2021-07-01	8046433	sa2	reason	16080	2362	0
Elife	2021-07-01	8046433	sa3	reason	-1	-1	-1
Elife	2021-07-01	8046433	sa4	reason	-1	-1	-1
Elife	2021-07-01	8046433	sa5	reason	-1	-1	-1
Elife	2021-07-01	8046433	sa6	reason	-1	-1	-1
Elife	2021-07-01	8049741	introduction	reason	-1	-1	-1
