journal	date	pmc_id	paper_section	word	Nchar	Nwords	n
Elife	2021-07-01	8024024	introduction	reject	4720	611	0
Elife	2021-07-01	8024024	results	reject	36081	4053	0
Elife	2021-07-01	8024024	discussion	reject	26097	2739	0
Elife	2021-07-01	8024024	methods	reject	9771	1174	0
Elife	2021-07-01	8024024	sa1	reject	5270	815	0
Elife	2021-07-01	8024024	sa2	reject	8960	1382	0
Elife	2021-07-01	8024024	sa3	reject	-1	-1	-1
Elife	2021-07-01	8024024	sa4	reject	-1	-1	-1
Elife	2021-07-01	8024024	sa5	reject	-1	-1	-1
Elife	2021-07-01	8024024	sa6	reject	-1	-1	-1
Elife	2021-07-01	8087445	introduction	reject	5093	644	0
Elife	2021-07-01	8087445	results	reject	36411	4444	0
Elife	2021-07-01	8087445	discussion	reject	8578	1107	0
Elife	2021-07-01	8087445	methods	reject	29888	3641	0
Elife	2021-07-01	8087445	sa1	reject	8566	1297	0
Elife	2021-07-01	8087445	sa2	reject	78499	11580	0
Elife	2021-07-01	8087445	sa3	reject	-1	-1	-1
Elife	2021-07-01	8087445	sa4	reject	-1	-1	-1
Elife	2021-07-01	8087445	sa5	reject	-1	-1	-1
Elife	2021-07-01	8087445	sa6	reject	-1	-1	-1
Elife	2021-07-01	8096433	introduction	reject	9572	1180	0
Elife	2021-07-01	8096433	results	reject	61774	7677	0
Elife	2021-07-01	8096433	discussion	reject	14271	1948	0
Elife	2021-07-01	8096433	methods	reject	42423	4260	0
Elife	2021-07-01	8096433	sa1	reject	4432	616	0
Elife	2021-07-01	8096433	sa2	reject	6759	960	0
Elife	2021-07-01	8096433	sa3	reject	-1	-1	-1
Elife	2021-07-01	8096433	sa4	reject	-1	-1	-1
Elife	2021-07-01	8096433	sa5	reject	-1	-1	-1
Elife	2021-07-01	8096433	sa6	reject	-1	-1	-1
Elife	2021-07-01	8032397	introduction	reject	8578	1083	0
Elife	2021-07-01	8032397	results	reject	47031	6004	0
Elife	2021-07-01	8032397	discussion	reject	10063	1416	0
Elife	2021-07-01	8032397	methods	reject	15387	2293	0
Elife	2021-07-01	8032397	sa1	reject	8821	1304	0
Elife	2021-07-01	8032397	sa2	reject	20489	3027	0
Elife	2021-07-01	8032397	sa3	reject	-1	-1	-1
Elife	2021-07-01	8032397	sa4	reject	-1	-1	-1
Elife	2021-07-01	8032397	sa5	reject	-1	-1	-1
