journal	date	pmc_id	paper_section	word	Nchar	Nwords	n
Elife	2021-07-01	8024024	introduction	research	4720	611	0
Elife	2021-07-01	8024024	results	research	36081	4053	0
Elife	2021-07-01	8024024	discussion	research	26097	2739	0
Elife	2021-07-01	8024024	methods	research	9771	1174	0
Elife	2021-07-01	8024024	sa1	research	5270	815	0
Elife	2021-07-01	8024024	sa2	research	8960	1382	0
Elife	2021-07-01	8024024	sa3	research	-1	-1	-1
Elife	2021-07-01	8024024	sa4	research	-1	-1	-1
Elife	2021-07-01	8024024	sa5	research	-1	-1	-1
Elife	2021-07-01	8024024	sa6	research	-1	-1	-1
Elife	2021-07-01	8087445	introduction	research	5093	644	0
Elife	2021-07-01	8087445	results	research	36411	4444	0
Elife	2021-07-01	8087445	discussion	research	8578	1107	0
Elife	2021-07-01	8087445	methods	research	29888	3641	0
Elife	2021-07-01	8087445	sa1	research	8566	1297	0
Elife	2021-07-01	8087445	sa2	research	78499	11580	0
Elife	2021-07-01	8087445	sa3	research	-1	-1	-1
Elife	2021-07-01	8087445	sa4	research	-1	-1	-1
Elife	2021-07-01	8087445	sa5	research	-1	-1	-1
Elife	2021-07-01	8087445	sa6	research	-1	-1	-1
Elife	2021-07-01	8096433	introduction	research	9572	1180	0
Elife	2021-07-01	8096433	results	research	61774	7677	0
Elife	2021-07-01	8096433	discussion	research	14271	1948	0
Elife	2021-07-01	8096433	methods	research	42423	4260	0
Elife	2021-07-01	8096433	sa1	research	4432	616	0
Elife	2021-07-01	8096433	sa2	research	6759	960	0
Elife	2021-07-01	8096433	sa3	research	-1	-1	-1
Elife	2021-07-01	8096433	sa4	research	-1	-1	-1
Elife	2021-07-01	8096433	sa5	research	-1	-1	-1
Elife	2021-07-01	8096433	sa6	research	-1	-1	-1
Elife	2021-07-01	8032397	introduction	research	8578	1083	0
Elife	2021-07-01	8032397	results	research	47031	6004	0
Elife	2021-07-01	8032397	discussion	research	10063	1416	0
Elife	2021-07-01	8032397	methods	research	15387	2293	0
Elife	2021-07-01	8032397	sa1	research	8821	1304	0
Elife	2021-07-01	8032397	sa2	research	20489	3027	0
Elife	2021-07-01	8032397	sa3	research	-1	-1	-1
