journal	date	pmc_id	paper_section	word	Nchar	Nwords	n
Elife	2021-07-01	8024024	introduction	retrieve	4720	611	0
Elife	2021-07-01	8024024	results	retrieve	36081	4053	0
Elife	2021-07-01	8024024	discussion	retrieve	26097	2739	0
Elife	2021-07-01	8024024	methods	retrieve	9771	1174	0
Elife	2021-07-01	8024024	sa1	retrieve	5270	815	0
Elife	2021-07-01	8024024	sa2	retrieve	8960	1382	0
Elife	2021-07-01	8024024	sa3	retrieve	-1	-1	-1
Elife	2021-07-01	8024024	sa4	retrieve	-1	-1	-1
Elife	2021-07-01	8024024	sa5	retrieve	-1	-1	-1
Elife	2021-07-01	8024024	sa6	retrieve	-1	-1	-1
Elife	2021-07-01	8087445	introduction	retrieve	5093	644	0
Elife	2021-07-01	8087445	results	retrieve	36411	4444	0
Elife	2021-07-01	8087445	discussion	retrieve	8578	1107	0
Elife	2021-07-01	8087445	methods	retrieve	29888	3641	0
Elife	2021-07-01	8087445	sa1	retrieve	8566	1297	0
Elife	2021-07-01	8087445	sa2	retrieve	78499	11580	0
Elife	2021-07-01	8087445	sa3	retrieve	-1	-1	-1
Elife	2021-07-01	8087445	sa4	retrieve	-1	-1	-1
Elife	2021-07-01	8087445	sa5	retrieve	-1	-1	-1
Elife	2021-07-01	8087445	sa6	retrieve	-1	-1	-1
Elife	2021-07-01	8096433	introduction	retrieve	9572	1180	0
Elife	2021-07-01	8096433	results	retrieve	61774	7677	0
Elife	2021-07-01	8096433	discussion	retrieve	14271	1948	0
Elife	2021-07-01	8096433	methods	retrieve	42423	4260	0
Elife	2021-07-01	8096433	sa1	retrieve	4432	616	0
Elife	2021-07-01	8096433	sa2	retrieve	6759	960	0
Elife	2021-07-01	8096433	sa3	retrieve	-1	-1	-1
Elife	2021-07-01	8096433	sa4	retrieve	-1	-1	-1
Elife	2021-07-01	8096433	sa5	retrieve	-1	-1	-1
Elife	2021-07-01	8096433	sa6	retrieve	-1	-1	-1
Elife	2021-07-01	8032397	introduction	retrieve	8578	1083	0
Elife	2021-07-01	8032397	results	retrieve	47031	6004	0
Elife	2021-07-01	8032397	discussion	retrieve	10063	1416	0
Elife	2021-07-01	8032397	methods	retrieve	15387	2293	0
Elife	2021-07-01	8032397	sa1	retrieve	8821	1304	0
Elife	2021-07-01	8032397	sa2	retrieve	20489	3027	0
Elife	2021-07-01	8032397	sa3	retrieve	-1	-1	-1
Elife	2021-07-01	8032397	sa4	retrieve	-1	-1	-1
Elife	2021-07-01	8032397	sa5	retrieve	-1	-1	-1
Elife	2021-07-01	8032397	sa6	retrieve	-1	-1	-1
Elife	2021-07-01	8087447	introduction	retrieve	8013	1089	0
Elife	2021-07-01	8087447	results	retrieve	74265	8817	0
Elife	2021-07-01	8087447	discussion	retrieve	10524	1489	0
Elife	2021-07-01	8087447	methods	retrieve	40120	4473	0
Elife	2021-07-01	8087447	sa1	retrieve	12129	1838	0
Elife	2021-07-01	8087447	sa2	retrieve	19027	2802	0
Elife	2021-07-01	8087447	sa3	retrieve	-1	-1	-1
Elife	2021-07-01	8087447	sa4	retrieve	-1	-1	-1
Elife	2021-07-01	8087447	sa5	retrieve	-1	-1	-1
Elife	2021-07-01	8087447	sa6	retrieve	-1	-1	-1
Elife	2021-07-01	8043743	introduction	retrieve	6544	872	0
Elife	2021-07-01	8043743	results	retrieve	25842	3400	0
Elife	2021-07-01	8043743	discussion	retrieve	7666	1019	0
Elife	2021-07-01	8043743	methods	retrieve	13531	1904	0
Elife	2021-07-01	8043743	sa1	retrieve	6296	937	0
Elife	2021-07-01	8043743	sa2	retrieve	5264	774	0
Elife	2021-07-01	8043743	sa3	retrieve	-1	-1	-1
Elife	2021-07-01	8043743	sa4	retrieve	-1	-1	-1
Elife	2021-07-01	8043743	sa5	retrieve	-1	-1	-1
Elife	2021-07-01	8043743	sa6	retrieve	-1	-1	-1
Elife	2021-07-01	8116059	introduction	retrieve	14035	1799	0
Elife	2021-07-01	8116059	results	retrieve	76577	9374	0
Elife	2021-07-01	8116059	discussion	retrieve	21587	3011	0
Elife	2021-07-01	8116059	methods	retrieve	27434	2749	0
Elife	2021-07-01	8116059	sa1	retrieve	17515	2663	0
Elife	2021-07-01	8116059	sa2	retrieve	26598	4115	0
Elife	2021-07-01	8116059	sa3	retrieve	-1	-1	-1
Elife	2021-07-01	8116059	sa4	retrieve	-1	-1	-1
Elife	2021-07-01	8116059	sa5	retrieve	-1	-1	-1
Elife	2021-07-01	8116059	sa6	retrieve	-1	-1	-1
Elife	2021-07-01	8049743	introduction	retrieve	5040	607	0
Elife	2021-07-01	8049743	results	retrieve	44364	5263	0
Elife	2021-07-01	8049743	discussion	retrieve	13103	1769	0
Elife	2021-07-01	8049743	methods	retrieve	16667	2344	0
Elife	2021-07-01	8049743	sa1	retrieve	5046	731	0
Elife	2021-07-01	8049743	sa2	retrieve	5360	794	0
Elife	2021-07-01	8049743	sa3	retrieve	-1	-1	-1
Elife	2021-07-01	8049743	sa4	retrieve	-1	-1	-1
Elife	2021-07-01	8049743	sa5	retrieve	-1	-1	-1
Elife	2021-07-01	8049743	sa6	retrieve	-1	-1	-1
Elife	2021-07-01	8024021	introduction	retrieve	6607	843	0
Elife	2021-07-01	8024021	results	retrieve	43694	4924	0
Elife	2021-07-01	8024021	discussion	retrieve	15052	2074	0
Elife	2021-07-01	8024021	methods	retrieve	37401	3643	0
Elife	2021-07-01	8024021	sa1	retrieve	5569	825	0
Elife	2021-07-01	8024021	sa2	retrieve	11564	1640	0
Elife	2021-07-01	8024021	sa3	retrieve	-1	-1	-1
Elife	2021-07-01	8024021	sa4	retrieve	-1	-1	-1
Elife	2021-07-01	8024021	sa5	retrieve	-1	-1	-1
Elife	2021-07-01	8024021	sa6	retrieve	-1	-1	-1
Elife	2021-07-01	8110307	introduction	retrieve	7533	903	0
Elife	2021-07-01	8110307	results	retrieve	60680	7038	0
Elife	2021-07-01	8110307	discussion	retrieve	21151	2679	0
Elife	2021-07-01	8110307	methods	retrieve	52444	4770	0
Elife	2021-07-01	8110307	sa1	retrieve	15351	2257	0
Elife	2021-07-01	8110307	sa2	retrieve	24115	3446	0
