journal	date	pmc_id	paper_section	word	Nchar	Nwords	n
Elife	2021-07-01	8024024	introduction	scrutinise	4720	611	0
Elife	2021-07-01	8024024	results	scrutinise	36081	4053	0
Elife	2021-07-01	8024024	discussion	scrutinise	26097	2739	0
Elife	2021-07-01	8024024	methods	scrutinise	9771	1174	0
Elife	2021-07-01	8024024	sa1	scrutinise	5270	815	0
Elife	2021-07-01	8024024	sa2	scrutinise	8960	1382	0
Elife	2021-07-01	8024024	sa3	scrutinise	-1	-1	-1
Elife	2021-07-01	8024024	sa4	scrutinise	-1	-1	-1
Elife	2021-07-01	8024024	sa5	scrutinise	-1	-1	-1
Elife	2021-07-01	8024024	sa6	scrutinise	-1	-1	-1
Elife	2021-07-01	8087445	introduction	scrutinise	5093	644	0
Elife	2021-07-01	8087445	results	scrutinise	36411	4444	0
Elife	2021-07-01	8087445	discussion	scrutinise	8578	1107	0
Elife	2021-07-01	8087445	methods	scrutinise	29888	3641	0
Elife	2021-07-01	8087445	sa1	scrutinise	8566	1297	0
Elife	2021-07-01	8087445	sa2	scrutinise	78499	11580	0
Elife	2021-07-01	8087445	sa3	scrutinise	-1	-1	-1
Elife	2021-07-01	8087445	sa4	scrutinise	-1	-1	-1
Elife	2021-07-01	8087445	sa5	scrutinise	-1	-1	-1
Elife	2021-07-01	8087445	sa6	scrutinise	-1	-1	-1
Elife	2021-07-01	8096433	introduction	scrutinise	9572	1180	0
Elife	2021-07-01	8096433	results	scrutinise	61774	7677	0
Elife	2021-07-01	8096433	discussion	scrutinise	14271	1948	0
Elife	2021-07-01	8096433	methods	scrutinise	42423	4260	0
Elife	2021-07-01	8096433	sa1	scrutinise	4432	616	0
Elife	2021-07-01	8096433	sa2	scrutinise	6759	960	0
Elife	2021-07-01	8096433	sa3	scrutinise	-1	-1	-1
Elife	2021-07-01	8096433	sa4	scrutinise	-1	-1	-1
Elife	2021-07-01	8096433	sa5	scrutinise	-1	-1	-1
Elife	2021-07-01	8096433	sa6	scrutinise	-1	-1	-1
Elife	2021-07-01	8032397	introduction	scrutinise	8578	1083	0
Elife	2021-07-01	8032397	results	scrutinise	47031	6004	0
Elife	2021-07-01	8032397	discussion	scrutinise	10063	1416	0
Elife	2021-07-01	8032397	methods	scrutinise	15387	2293	0
Elife	2021-07-01	8032397	sa1	scrutinise	8821	1304	0
Elife	2021-07-01	8032397	sa2	scrutinise	20489	3027	0
Elife	2021-07-01	8032397	sa3	scrutinise	-1	-1	-1
Elife	2021-07-01	8032397	sa4	scrutinise	-1	-1	-1
Elife	2021-07-01	8032397	sa5	scrutinise	-1	-1	-1
Elife	2021-07-01	8032397	sa6	scrutinise	-1	-1	-1
Elife	2021-07-01	8087447	introduction	scrutinise	8013	1089	0
Elife	2021-07-01	8087447	results	scrutinise	74265	8817	0
Elife	2021-07-01	8087447	discussion	scrutinise	10524	1489	0
Elife	2021-07-01	8087447	methods	scrutinise	40120	4473	0
Elife	2021-07-01	8087447	sa1	scrutinise	12129	1838	0
Elife	2021-07-01	8087447	sa2	scrutinise	19027	2802	0
Elife	2021-07-01	8087447	sa3	scrutinise	-1	-1	-1
Elife	2021-07-01	8087447	sa4	scrutinise	-1	-1	-1
Elife	2021-07-01	8087447	sa5	scrutinise	-1	-1	-1
Elife	2021-07-01	8087447	sa6	scrutinise	-1	-1	-1
Elife	2021-07-01	8043743	introduction	scrutinise	6544	872	0
Elife	2021-07-01	8043743	results	scrutinise	25842	3400	0
Elife	2021-07-01	8043743	discussion	scrutinise	7666	1019	0
Elife	2021-07-01	8043743	methods	scrutinise	13531	1904	0
Elife	2021-07-01	8043743	sa1	scrutinise	6296	937	0
Elife	2021-07-01	8043743	sa2	scrutinise	5264	774	0
Elife	2021-07-01	8043743	sa3	scrutinise	-1	-1	-1
Elife	2021-07-01	8043743	sa4	scrutinise	-1	-1	-1
Elife	2021-07-01	8043743	sa5	scrutinise	-1	-1	-1
Elife	2021-07-01	8043743	sa6	scrutinise	-1	-1	-1
Elife	2021-07-01	8116059	introduction	scrutinise	14035	1799	0
Elife	2021-07-01	8116059	results	scrutinise	76577	9374	0
Elife	2021-07-01	8116059	discussion	scrutinise	21587	3011	0
Elife	2021-07-01	8116059	methods	scrutinise	27434	2749	0
Elife	2021-07-01	8116059	sa1	scrutinise	17515	2663	0
Elife	2021-07-01	8116059	sa2	scrutinise	26598	4115	0
