journal	date	pmc_id	paper_section	word	Nchar	Nwords	n
Elife	2021-07-01	8024024	introduction	skip	4720	611	0
Elife	2021-07-01	8024024	results	skip	36081	4053	0
Elife	2021-07-01	8024024	discussion	skip	26097	2739	0
Elife	2021-07-01	8024024	methods	skip	9771	1174	0
Elife	2021-07-01	8024024	sa1	skip	5270	815	0
Elife	2021-07-01	8024024	sa2	skip	8960	1382	0
Elife	2021-07-01	8024024	sa3	skip	-1	-1	-1
Elife	2021-07-01	8024024	sa4	skip	-1	-1	-1
Elife	2021-07-01	8024024	sa5	skip	-1	-1	-1
Elife	2021-07-01	8024024	sa6	skip	-1	-1	-1
Elife	2021-07-01	8087445	introduction	skip	5093	644	0
Elife	2021-07-01	8087445	results	skip	36411	4444	0
Elife	2021-07-01	8087445	discussion	skip	8578	1107	0
Elife	2021-07-01	8087445	methods	skip	29888	3641	0
Elife	2021-07-01	8087445	sa1	skip	8566	1297	0
Elife	2021-07-01	8087445	sa2	skip	78499	11580	0
Elife	2021-07-01	8087445	sa3	skip	-1	-1	-1
Elife	2021-07-01	8087445	sa4	skip	-1	-1	-1
Elife	2021-07-01	8087445	sa5	skip	-1	-1	-1
Elife	2021-07-01	8087445	sa6	skip	-1	-1	-1
Elife	2021-07-01	8096433	introduction	skip	9572	1180	0
Elife	2021-07-01	8096433	results	skip	61774	7677	0
Elife	2021-07-01	8096433	discussion	skip	14271	1948	0
Elife	2021-07-01	8096433	methods	skip	42423	4260	0
Elife	2021-07-01	8096433	sa1	skip	4432	616	0
Elife	2021-07-01	8096433	sa2	skip	6759	960	0
Elife	2021-07-01	8096433	sa3	skip	-1	-1	-1
Elife	2021-07-01	8096433	sa4	skip	-1	-1	-1
Elife	2021-07-01	8096433	sa5	skip	-1	-1	-1
Elife	2021-07-01	8096433	sa6	skip	-1	-1	-1
Elife	2021-07-01	8032397	introduction	skip	8578	1083	0
Elife	2021-07-01	8032397	results	skip	47031	6004	2
Elife	2021-07-01	8032397	discussion	skip	10063	1416	0
Elife	2021-07-01	8032397	methods	skip	15387	2293	0
Elife	2021-07-01	8032397	sa1	skip	8821	1304	0
Elife	2021-07-01	8032397	sa2	skip	20489	3027	0
Elife	2021-07-01	8032397	sa3	skip	-1	-1	-1
Elife	2021-07-01	8032397	sa4	skip	-1	-1	-1
Elife	2021-07-01	8032397	sa5	skip	-1	-1	-1
Elife	2021-07-01	8032397	sa6	skip	-1	-1	-1
Elife	2021-07-01	8087447	introduction	skip	8013	1089	0
Elife	2021-07-01	8087447	results	skip	74265	8817	0
Elife	2021-07-01	8087447	discussion	skip	10524	1489	0
Elife	2021-07-01	8087447	methods	skip	40120	4473	0
Elife	2021-07-01	8087447	sa1	skip	12129	1838	0
Elife	2021-07-01	8087447	sa2	skip	19027	2802	0
Elife	2021-07-01	8087447	sa3	skip	-1	-1	-1
Elife	2021-07-01	8087447	sa4	skip	-1	-1	-1
Elife	2021-07-01	8087447	sa5	skip	-1	-1	-1
Elife	2021-07-01	8087447	sa6	skip	-1	-1	-1
Elife	2021-07-01	8043743	introduction	skip	6544	872	0
