journal	date	pmc_id	paper_section	word	Nchar	Nwords	n
Elife	2021-07-01	8024024	introduction	study	4720	611	2
Elife	2021-07-01	8024024	results	study	36081	4053	8
Elife	2021-07-01	8024024	discussion	study	26097	2739	4
Elife	2021-07-01	8024024	methods	study	9771	1174	0
Elife	2021-07-01	8024024	sa1	study	5270	815	1
Elife	2021-07-01	8024024	sa2	study	8960	1382	1
Elife	2021-07-01	8024024	sa3	study	-1	-1	-1
Elife	2021-07-01	8024024	sa4	study	-1	-1	-1
Elife	2021-07-01	8024024	sa5	study	-1	-1	-1
Elife	2021-07-01	8024024	sa6	study	-1	-1	-1
Elife	2021-07-01	8087445	introduction	study	5093	644	1
Elife	2021-07-01	8087445	results	study	36411	4444	2
Elife	2021-07-01	8087445	discussion	study	8578	1107	3
Elife	2021-07-01	8087445	methods	study	29888	3641	10
Elife	2021-07-01	8087445	sa1	study	8566	1297	8
Elife	2021-07-01	8087445	sa2	study	78499	11580	29
Elife	2021-07-01	8087445	sa3	study	-1	-1	-1
Elife	2021-07-01	8087445	sa4	study	-1	-1	-1
Elife	2021-07-01	8087445	sa5	study	-1	-1	-1
Elife	2021-07-01	8087445	sa6	study	-1	-1	-1
Elife	2021-07-01	8096433	introduction	study	9572	1180	0
Elife	2021-07-01	8096433	results	study	61774	7677	1
Elife	2021-07-01	8096433	discussion	study	14271	1948	1
Elife	2021-07-01	8096433	methods	study	42423	4260	16
Elife	2021-07-01	8096433	sa1	study	4432	616	0
Elife	2021-07-01	8096433	sa2	study	6759	960	1
Elife	2021-07-01	8096433	sa3	study	-1	-1	-1
Elife	2021-07-01	8096433	sa4	study	-1	-1	-1
Elife	2021-07-01	8096433	sa5	study	-1	-1	-1
Elife	2021-07-01	8096433	sa6	study	-1	-1	-1
Elife	2021-07-01	8032397	introduction	study	8578	1083	0
Elife	2021-07-01	8032397	results	study	47031	6004	1
Elife	2021-07-01	8032397	discussion	study	10063	1416	0
Elife	2021-07-01	8032397	methods	study	15387	2293	0
Elife	2021-07-01	8032397	sa1	study	8821	1304	3
Elife	2021-07-01	8032397	sa2	study	20489	3027	4
Elife	2021-07-01	8032397	sa3	study	-1	-1	-1
Elife	2021-07-01	8032397	sa4	study	-1	-1	-1
Elife	2021-07-01	8032397	sa5	study	-1	-1	-1
Elife	2021-07-01	8032397	sa6	study	-1	-1	-1
Elife	2021-07-01	8087447	introduction	study	8013	1089	8
Elife	2021-07-01	8087447	results	study	74265	8817	15
Elife	2021-07-01	8087447	discussion	study	10524	1489	4
Elife	2021-07-01	8087447	methods	study	40120	4473	1
Elife	2021-07-01	8087447	sa1	study	12129	1838	6
Elife	2021-07-01	8087447	sa2	study	19027	2802	10
Elife	2021-07-01	8087447	sa3	study	-1	-1	-1
Elife	2021-07-01	8087447	sa4	study	-1	-1	-1
Elife	2021-07-01	8087447	sa5	study	-1	-1	-1
Elife	2021-07-01	8087447	sa6	study	-1	-1	-1
Elife	2021-07-01	8043743	introduction	study	6544	872	3
Elife	2021-07-01	8043743	results	study	25842	3400	3
Elife	2021-07-01	8043743	discussion	study	7666	1019	7
Elife	2021-07-01	8043743	methods	study	13531	1904	3
Elife	2021-07-01	8043743	sa1	study	6296	937	2
Elife	2021-07-01	8043743	sa2	study	5264	774	0
Elife	2021-07-01	8043743	sa3	study	-1	-1	-1
Elife	2021-07-01	8043743	sa4	study	-1	-1	-1
Elife	2021-07-01	8043743	sa5	study	-1	-1	-1
Elife	2021-07-01	8043743	sa6	study	-1	-1	-1
Elife	2021-07-01	8116059	introduction	study	14035	1799	3
Elife	2021-07-01	8116059	results	study	76577	9374	7
Elife	2021-07-01	8116059	discussion	study	21587	3011	12
Elife	2021-07-01	8116059	methods	study	27434	2749	0
Elife	2021-07-01	8116059	sa1	study	17515	2663	7
Elife	2021-07-01	8116059	sa2	study	26598	4115	16
Elife	2021-07-01	8116059	sa3	study	-1	-1	-1
Elife	2021-07-01	8116059	sa4	study	-1	-1	-1
Elife	2021-07-01	8116059	sa5	study	-1	-1	-1
Elife	2021-07-01	8116059	sa6	study	-1	-1	-1
Elife	2021-07-01	8049743	introduction	study	5040	607	2
Elife	2021-07-01	8049743	results	study	44364	5263	3
Elife	2021-07-01	8049743	discussion	study	13103	1769	5
Elife	2021-07-01	8049743	methods	study	16667	2344	0
Elife	2021-07-01	8049743	sa1	study	5046	731	4
Elife	2021-07-01	8049743	sa2	study	5360	794	3
Elife	2021-07-01	8049743	sa3	study	-1	-1	-1
Elife	2021-07-01	8049743	sa4	study	-1	-1	-1
Elife	2021-07-01	8049743	sa5	study	-1	-1	-1
Elife	2021-07-01	8049743	sa6	study	-1	-1	-1
Elife	2021-07-01	8024021	introduction	study	6607	843	6
Elife	2021-07-01	8024021	results	study	43694	4924	24
Elife	2021-07-01	8024021	discussion	study	15052	2074	34
Elife	2021-07-01	8024021	methods	study	37401	3643	22
Elife	2021-07-01	8024021	sa1	study	5569	825	2
Elife	2021-07-01	8024021	sa2	study	11564	1640	1
Elife	2021-07-01	8024021	sa3	study	-1	-1	-1
Elife	2021-07-01	8024021	sa4	study	-1	-1	-1
Elife	2021-07-01	8024021	sa5	study	-1	-1	-1
Elife	2021-07-01	8024021	sa6	study	-1	-1	-1
Elife	2021-07-01	8110307	introduction	study	7533	903	1
Elife	2021-07-01	8110307	results	study	60680	7038	0
Elife	2021-07-01	8110307	discussion	study	21151	2679	0
Elife	2021-07-01	8110307	methods	study	52444	4770	0
Elife	2021-07-01	8110307	sa1	study	15351	2257	0
Elife	2021-07-01	8110307	sa2	study	24115	3446	0
Elife	2021-07-01	8110307	sa3	study	-1	-1	-1
Elife	2021-07-01	8110307	sa4	study	-1	-1	-1
Elife	2021-07-01	8110307	sa5	study	-1	-1	-1
Elife	2021-07-01	8110307	sa6	study	-1	-1	-1
Elife	2021-07-01	8057812	introduction	study	4811	573	1
Elife	2021-07-01	8057812	results	study	45587	5547	1
Elife	2021-07-01	8057812	discussion	study	6298	877	1
Elife	2021-07-01	8057812	methods	study	29552	3547	2
Elife	2021-07-01	8057812	sa1	study	17567	2720	7
Elife	2021-07-01	8057812	sa2	study	28236	4259	13
Elife	2021-07-01	8057812	sa3	study	-1	-1	-1
Elife	2021-07-01	8057812	sa4	study	-1	-1	-1
Elife	2021-07-01	8057812	sa5	study	-1	-1	-1
Elife	2021-07-01	8057812	sa6	study	-1	-1	-1
