journal	date	pmc_id	paper_section	word	Nchar	Nwords	n
Elife	2021-07-01	8024024	introduction	understand	4720	611	0
Elife	2021-07-01	8024024	results	understand	36081	4053	0
Elife	2021-07-01	8024024	discussion	understand	26097	2739	0
Elife	2021-07-01	8024024	methods	understand	9771	1174	0
Elife	2021-07-01	8024024	sa1	understand	5270	815	0
Elife	2021-07-01	8024024	sa2	understand	8960	1382	0
Elife	2021-07-01	8024024	sa3	understand	-1	-1	-1
Elife	2021-07-01	8024024	sa4	understand	-1	-1	-1
Elife	2021-07-01	8024024	sa5	understand	-1	-1	-1
Elife	2021-07-01	8024024	sa6	understand	-1	-1	-1
Elife	2021-07-01	8087445	introduction	understand	5093	644	0
Elife	2021-07-01	8087445	results	understand	36411	4444	0
Elife	2021-07-01	8087445	discussion	understand	8578	1107	1
Elife	2021-07-01	8087445	methods	understand	29888	3641	0
Elife	2021-07-01	8087445	sa1	understand	8566	1297	0
Elife	2021-07-01	8087445	sa2	understand	78499	11580	3
Elife	2021-07-01	8087445	sa3	understand	-1	-1	-1
Elife	2021-07-01	8087445	sa4	understand	-1	-1	-1
Elife	2021-07-01	8087445	sa5	understand	-1	-1	-1
Elife	2021-07-01	8087445	sa6	understand	-1	-1	-1
Elife	2021-07-01	8096433	introduction	understand	9572	1180	2
Elife	2021-07-01	8096433	results	understand	61774	7677	0
Elife	2021-07-01	8096433	discussion	understand	14271	1948	2
Elife	2021-07-01	8096433	methods	understand	42423	4260	0
Elife	2021-07-01	8096433	sa1	understand	4432	616	1
Elife	2021-07-01	8096433	sa2	understand	6759	960	0
Elife	2021-07-01	8096433	sa3	understand	-1	-1	-1
Elife	2021-07-01	8096433	sa4	understand	-1	-1	-1
Elife	2021-07-01	8096433	sa5	understand	-1	-1	-1
Elife	2021-07-01	8096433	sa6	understand	-1	-1	-1
Elife	2021-07-01	8032397	introduction	understand	8578	1083	0
Elife	2021-07-01	8032397	results	understand	47031	6004	1
Elife	2021-07-01	8032397	discussion	understand	10063	1416	0
Elife	2021-07-01	8032397	methods	understand	15387	2293	0
Elife	2021-07-01	8032397	sa1	understand	8821	1304	0
Elife	2021-07-01	8032397	sa2	understand	20489	3027	0
Elife	2021-07-01	8032397	sa3	understand	-1	-1	-1
Elife	2021-07-01	8032397	sa4	understand	-1	-1	-1
Elife	2021-07-01	8032397	sa5	understand	-1	-1	-1
Elife	2021-07-01	8032397	sa6	understand	-1	-1	-1
Elife	2021-07-01	8087447	introduction	understand	8013	1089	2
Elife	2021-07-01	8087447	results	understand	74265	8817	1
Elife	2021-07-01	8087447	discussion	understand	10524	1489	1
Elife	2021-07-01	8087447	methods	understand	40120	4473	0
Elife	2021-07-01	8087447	sa1	understand	12129	1838	0
Elife	2021-07-01	8087447	sa2	understand	19027	2802	0
Elife	2021-07-01	8087447	sa3	understand	-1	-1	-1
Elife	2021-07-01	8087447	sa4	understand	-1	-1	-1
Elife	2021-07-01	8087447	sa5	understand	-1	-1	-1
Elife	2021-07-01	8087447	sa6	understand	-1	-1	-1
Elife	2021-07-01	8043743	introduction	understand	6544	872	0
Elife	2021-07-01	8043743	results	understand	25842	3400	1
Elife	2021-07-01	8043743	discussion	understand	7666	1019	0
Elife	2021-07-01	8043743	methods	understand	13531	1904	0
Elife	2021-07-01	8043743	sa1	understand	6296	937	0
Elife	2021-07-01	8043743	sa2	understand	5264	774	0
Elife	2021-07-01	8043743	sa3	understand	-1	-1	-1
Elife	2021-07-01	8043743	sa4	understand	-1	-1	-1
Elife	2021-07-01	8043743	sa5	understand	-1	-1	-1
Elife	2021-07-01	8043743	sa6	understand	-1	-1	-1
Elife	2021-07-01	8116059	introduction	understand	14035	1799	0
Elife	2021-07-01	8116059	results	understand	76577	9374	0
Elife	2021-07-01	8116059	discussion	understand	21587	3011	0
Elife	2021-07-01	8116059	methods	understand	27434	2749	0
Elife	2021-07-01	8116059	sa1	understand	17515	2663	1
Elife	2021-07-01	8116059	sa2	understand	26598	4115	1
Elife	2021-07-01	8116059	sa3	understand	-1	-1	-1
Elife	2021-07-01	8116059	sa4	understand	-1	-1	-1
Elife	2021-07-01	8116059	sa5	understand	-1	-1	-1
Elife	2021-07-01	8116059	sa6	understand	-1	-1	-1
Elife	2021-07-01	8049743	introduction	understand	5040	607	0
Elife	2021-07-01	8049743	results	understand	44364	5263	0
Elife	2021-07-01	8049743	discussion	understand	13103	1769	0
Elife	2021-07-01	8049743	methods	understand	16667	2344	0
Elife	2021-07-01	8049743	sa1	understand	5046	731	0
Elife	2021-07-01	8049743	sa2	understand	5360	794	0
Elife	2021-07-01	8049743	sa3	understand	-1	-1	-1
Elife	2021-07-01	8049743	sa4	understand	-1	-1	-1
Elife	2021-07-01	8049743	sa5	understand	-1	-1	-1
Elife	2021-07-01	8049743	sa6	understand	-1	-1	-1
Elife	2021-07-01	8024021	introduction	understand	6607	843	1
Elife	2021-07-01	8024021	results	understand	43694	4924	0
Elife	2021-07-01	8024021	discussion	understand	15052	2074	0
Elife	2021-07-01	8024021	methods	understand	37401	3643	0
Elife	2021-07-01	8024021	sa1	understand	5569	825	0
Elife	2021-07-01	8024021	sa2	understand	11564	1640	1
Elife	2021-07-01	8024021	sa3	understand	-1	-1	-1
Elife	2021-07-01	8024021	sa4	understand	-1	-1	-1
Elife	2021-07-01	8024021	sa5	understand	-1	-1	-1
Elife	2021-07-01	8024021	sa6	understand	-1	-1	-1
Elife	2021-07-01	8110307	introduction	understand	7533	903	0
Elife	2021-07-01	8110307	results	understand	60680	7038	0
Elife	2021-07-01	8110307	discussion	understand	21151	2679	1
Elife	2021-07-01	8110307	methods	understand	52444	4770	0
Elife	2021-07-01	8110307	sa1	understand	15351	2257	4
Elife	2021-07-01	8110307	sa2	understand	24115	3446	0
Elife	2021-07-01	8110307	sa3	understand	-1	-1	-1
Elife	2021-07-01	8110307	sa4	understand	-1	-1	-1
Elife	2021-07-01	8110307	sa5	understand	-1	-1	-1
Elife	2021-07-01	8110307	sa6	understand	-1	-1	-1
Elife	2021-07-01	8057812	introduction	understand	4811	573	1
Elife	2021-07-01	8057812	results	understand	45587	5547	0
Elife	2021-07-01	8057812	discussion	understand	6298	877	1
Elife	2021-07-01	8057812	methods	understand	29552	3547	0
Elife	2021-07-01	8057812	sa1	understand	17567	2720	1
Elife	2021-07-01	8057812	sa2	understand	28236	4259	1
Elife	2021-07-01	8057812	sa3	understand	-1	-1	-1
Elife	2021-07-01	8057812	sa4	understand	-1	-1	-1
Elife	2021-07-01	8057812	sa5	understand	-1	-1	-1
Elife	2021-07-01	8057812	sa6	understand	-1	-1	-1
Elife	2021-07-01	8102064	introduction	understand	72456	6059	0
Elife	2021-07-01	8102064	results	understand	38196	4299	0
Elife	2021-07-01	8102064	discussion	understand	21224	2794	0
